20190504,浦东,世博,昌里众盛苑 2室2厅 330万,330万,昌里众盛苑  | 2室2厅 | 66.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-40413779-14f5-411e-8300-b5a30e142527.jpg.296x216.jpg
20190504,浦东,世博,世博后滩板块，7.13号线长清路，板式错层大两房，急售,535万,新世纪花苑(三期)(浦东)  | 2室1厅 | 89.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-46aef353-7f74-4c7b-9782-bac499d96af4.jpg.296x216.jpg
20190504,浦东,世博,紫竹华庭  满五年   电梯商品房   6、7、13号地铁！,695万,紫竹华庭  | 2室2厅 | 99.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a22ef16d-f3f4-4e4b-bc80-2ba2c69970d9.jpg.296x216.jpg
20190504,浦东,世博,爵仕悦 2室2厅 670万,670万,爵仕悦  | 2室2厅 | 91.01平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2920bc41-804a-47c2-840b-6def33935528.jpg.296x216.jpg
20190504,浦东,世博,急售！！！精装4.3米面宽舒适度高拎包入住，满五唯一,220万,云台二小区  | 1室1厅 | 44.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c9a8a60c-751c-4847-89ec-4141261010b0.jpg.296x216.jpg
20190504,浦东,世博,中间楼层，双南两房，采光充足，诚心出售,490万,新世纪花苑(三期)(浦东)  | 2室1厅 | 79.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-41029b39-0b64-4e61-9001-b161d286bbf1.jpg.296x216.jpg
20190504,浦东,世博,房东诚心卖房，位置好，精装修。,218万,上南一村  | 1室1厅 | 34.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5e6e5c88-cb6a-41ee-a5ed-02a7796e6037.jpg.296x216.jpg
20190504,浦东,世博,世博新出精装小一房 自住 出租必备房,179万,上南四村  | 1室1厅 | 29.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-28bb53db-905e-467a-a375-bbea9865e8cd.jpg.296x216.jpg
20190504,浦东,世博,云台一小区 2室1厅 325万,325万,云台一小区  | 2室1厅 | 59.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9f2c9b41-7d30-460b-96fa-979cec10d68f.jpg.296x216.jpg
20190504,浦东,世博,齐河三小区 2室1厅 335万,335万,齐河三小区  | 2室1厅 | 60.17平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dab360ea-1fdb-4b11-8ecc-fec5b32e4622.jpg.296x216.jpg
20190504,浦东,世博,南北户型视野开阔、边套全明户型、近7、8号线耀华路,268万,上南五村  | 2室1厅 | 52.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-83bd5279-5a2f-4c59-b087-db27d641a497.png.296x216.jpg
20190504,浦东,世博,6/13号线东明站380米，满五唯一，中区楼层。,520万,昌七小区  | 3室1厅 | 105.48平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5990dbb3-99a7-4a09-b5b5-81f250ed7327.jpg.296x216.jpg
20190504,浦东,世博,上南二村 1室0厅 205万,205万,上南二村  | 1室0厅 | 35.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ae7ff147-3eee-4cee-ab18-9fb890799dd1.jpg.296x216.jpg
20190504,浦东,世博,昌四小区 1室1厅 220万,220万,昌四小区  | 1室1厅 | 42.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-81a0c153-99fd-4c12-9526-d3a7ff625fc7.jpg.296x216.jpg
20190504,浦东,世博,上南花苑一期 1室1厅 370万,370万,上南花苑一期  | 1室1厅 | 61.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-72d75d7a-3c19-4013-878a-3761e88a909b.jpg.296x216.jpg
20190504,浦东,世博,有钥匙 随时可看可签 交通便利 配套完善,230万,上钢六村  | 2室1厅 | 45.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e38312fa-29bc-4116-8c64-82aab6067cfb.jpg.296x216.jpg
20190504,浦东,世博,满五唯一税少，双南安静两房，业主诚意出售。,335万,齐四小区  | 2室1厅 | 63.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6ccaf3db-0c03-481e-b762-eaf3ab6730e9.jpg.296x216.jpg
20190504,浦东,世博,精装带阁楼一房，7/8/13叁轨，采光好，阁楼高2.3米,200万,上南四村  | 1室1厅 | 35.23平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2eca98bd-dac5-4b3c-b3cb-3e4efa992cb2.jpg.296x216.jpg
20190504,浦东,世博,凯德二期,地暖+新风,低噪音区,拎包入住,产权清晰!,700万,凯德嘉博名邸  | 2室1厅 | 89.93平米 | 南 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-46b7497e-c9a0-46e7-b823-bde266b15fa9.png.296x216.jpg
20190504,浦东,世博,7号线云台路地铁站 双南两房  生活设施完善，看房随时,250万,上南五村  | 2室1厅 | 48.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-23822562-0e8a-46b2-b799-63a4e201a961.jpg.296x216.jpg
20190504,浦东,世博,上钢六村 3室1厅 360万,360万,上钢六村  | 3室1厅 | 67.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bbf25101-eaaa-4822-8fb2-97b632ba78e7.jpg.296x216.jpg
20190504,浦东,世博,昌里花园三期，2000年以后电梯小三房，,775万,昌里花园(三期)  | 3室2厅 | 112.14平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d29f450f-9b6c-4bb5-bf47-96112291e75f.jpg.296x216.jpg
20190504,浦东,世博,济阳一村， 一梯两户大三房，房东诚心出售，随时看房,355万,济阳一村  | 3室1厅 | 76.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ee1b9a69-ba8b-4f0d-9c49-d7f3cd526541.png.296x216.jpg
20190504,浦东,世博,正气双南两房，看房方便，业主诚心卖，看中价格可谈,640万,逸翠公馆  | 2室2厅 | 103.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8587dd44-4bb1-463c-a7fa-9f41bd82cf3a.png.296x216.jpg
20190504,浦东,世博,双楠两房，电梯高层，前面没有遮挡，视野好,470万,东明苑  | 2室1厅 | 78.1平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-65fc101d-9a26-4c7c-868b-901f248fd8a3.png.296x216.jpg
20190504,浦东,世博,房东急卖  看房随时 免14万个税  另有产权车位 急卖,710万,凯德嘉博名邸  | 2室1厅 | 91.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-59179602-6764-4f87-a5dc-de5f86bb13a0.png.296x216.jpg
20190504,浦东,世博,地铁景观房，税费少、坐看小区后花园，业主诚意出售,888万,昌里花园(三期)  | 3室1厅 | 131.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7f855c87-5c35-4ea0-8a94-23ae28e97a90.jpg.296x216.jpg
20190504,浦东,世博,长清路地铁站~济阳三村双南两房一厅急售~房东到价签字,290万,济阳三村  | 2室1厅 | 58.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a84c21f3-a8de-4db7-9d90-46ac14e2cc1d.jpg.296x216.jpg
20190504,浦东,世博,德州二村 2室1厅 267万,267万,德州二村  | 2室1厅 | 46.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-534c8e0a-12aa-4523-b77f-37daeb06730d.jpg.296x216.jpg
20190504,浦东,世博,重磅来袭!商品房好户型楼层低！着急卖！近地铁！,500万,齐宏苑  | 2室2厅 | 90平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-29094a55-c0db-4f3c-985e-1a48e72ed87e.jpg.296x216.jpg
20190504,浦东,世博,满五唯一总价低 户型方正可改动 中间楼层地铁近,252万,上南九村  | 1室1厅 | 48.92平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a170fa98-d6c7-4539-8c2c-798cc03added.jpg.296x216.jpg
20190504,浦东,世博,德州六村 2室1厅 305万,305万,德州六村  | 2室1厅 | 58.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-01bd69fd-b8eb-4dbd-bb59-dcd4b6962316.jpg.296x216.jpg
20190504,浦东,世博,云台二小区 2室1厅 410万,410万,云台二小区  | 2室1厅 | 72.55平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-973e86e1-01ca-47cc-8e09-d8f82769a718.jpg.296x216.jpg
20190504,浦东,世博,昌七小区 1室1厅 235万,235万,昌七小区  | 1室1厅 | 45.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9ef87436-33c2-439e-b0a9-dcf2a9be4205.png.296x216.jpg
20190504,浦东,世博,世博两室一厅，一梯两户，小区安静，户型明亮。房主自荐,235万,济阳一村  | 2室1厅 | 54.93平米 | 西南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a36f5a41-9587-4c39-9bef-51522bcc1539.jpg.296x216.jpg
20190504,浦东,世博,新世纪花苑(二期)(浦东) 2室1厅 400万,400万,新世纪花苑(二期)(浦东)  | 2室1厅 | 67.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a2d1c8f-6289-4f39-b582-38fe20346bf2.jpg.296x216.jpg
20190504,浦东,世博,德州六村+近地铁  上钢菜市场  上南公园 +精装,253万,德州六村  | 2室1厅 | 54.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5d61599e-6cf7-4cb8-8aeb-8ff5e7c7f946.jpg.296x216.jpg
20190504,浦东,世博,近地铁，  一手动迁，税费少，格局通透，配套完善,389万,云台一小区  | 3室1厅 | 72.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cfc4719d-b0c4-462c-9206-283cbcbc7eb3.jpg.296x216.jpg
20190504,浦东,世博,非顶南北两房楼房改房税费少可改动诚意出售看房方便,380万,新世纪花苑(二期)(浦东)  | 2室1厅 | 68.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5b444b09-089c-4c7d-81d7-0d9934fabdb7.png.296x216.jpg
20190504,浦东,世博,济阳三村 2室1厅 275万,275万,济阳三村  | 2室1厅 | 60.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dfb62ef9-d747-40ff-8a8d-d82c4ce5aa65.jpg.296x216.jpg
20190504,浦东,世博,精装双南两房 采光好 非顶楼 诚意出售,305万,济阳一村  | 2室1厅 | 56.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bd2e220c-1d31-419c-8aa8-a3212dcdff56.png.296x216.jpg
20190504,浦东,世博,满五唯一，诚意出售，精装电梯房,899万,昌里花园(三期)  | 3室2厅 | 140.07平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3654165b-26ee-4d5a-8c72-e24740611a3d.png.296x216.jpg
20190504,浦东,世博,上钢二村 2室1厅 300万房主自荐,300万,上钢二村  | 2室1厅 | 47.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-966506db-0861-49e4-ab78-6d4aca778065.jpg.296x216.jpg
20190504,浦东,世博,双南电梯两房，户型正气，景观房，没有税费,350万,德西大楼  | 2室1厅 | 69.3平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9b229960-cd97-42e5-89de-1b8a03552425.png.296x216.jpg
20190504,浦东,世博,全明户型+精装修+中间楼层+近地铁6/8/13号线,328万,上南十村  | 2室1厅 | 59.38平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-00fe3572-290c-4be4-9ce8-90cea78ba517.jpg.296x216.jpg
20190504,浦东,世博,世博板块、一梯三户、户型正气 、中间楼层精装修,262万,上南八村  | 1室1厅 | 47.33平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ed72f028-9152-4f18-8090-ef28eb4abe53.jpg.296x216.jpg
20190504,浦东,世博,上南花城的飞机户型，小高层电梯房。,990万,上南花城  | 3室2厅 | 133.75平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bff5ad5c-86cd-4782-a785-949e2da9a35c.png.296x216.jpg
20190504,浦东,世博,双南两房有钥匙 房东房子已经看好诚意卖,390万,新世纪花苑(二期)(浦东)  | 2室1厅 | 64.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-257c4d6a-320f-4b39-8797-8571d920496e.png.296x216.jpg
20190504,浦东,世博,满五唯一感谢你的关注钥匙和价位已委托专属维护杜思燕,308万,上南五村  | 2室1厅 | 51.33平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fcd607df-2875-4447-b9e6-ddba1cdd5eba.jpg.296x216.jpg
20190504,浦东,世博,小区位置好，得房率高，地铁口小区，生活配套完善。,658万,上南花苑一期  | 3室2厅 | 116.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d689483e-c877-4196-b8f5-ce882326ea64.jpg.296x216.jpg
20190504,浦东,世博,一手动迁 南北双阳台 房东急卖  看房随时  免增值税,600万,浦虹苑  | 2室2厅 | 85.33平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e5fa345f-ee25-49a7-879b-5100a24b3f6d.jpg.296x216.jpg
20190504,浦东,世博,云台二小区 1室1厅 245万,245万,云台二小区  | 1室1厅 | 43.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-27dfb262-26e0-496c-928c-77a87ec7733a.jpg.296x216.jpg
20190504,浦东,世博,一楼带天井南北板式两房户型正气看房方便税费低诚意售,380万,新世纪花苑(二期)(浦东)  | 2室1厅 | 66.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5144c85b-46fd-4d23-a777-d817861414ef.png.296x216.jpg
20190504,浦东,世博,版式户型+双轨6/7号线高科西+门口上海实验+满五唯一,685万,博爱家园  | 2室2厅 | 101.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f46cd87a-1f7c-4a88-a953-1b00e46768e6.jpg.296x216.jpg
20190504,浦东,世博,中环核*心区域，非顶楼2房2厅，出众得房率。,573万,紫竹馨苑  | 2室2厅 | 88.46平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-38f98d22-cc90-41b9-9acc-13e7c1f7e716.jpg.296x216.jpg
20190504,浦东,世博,上钢五村 2室1厅 280万,280万,上钢五村  | 2室1厅 | 47.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-10dbac16-b204-4f91-98f4-d894871de5e4.png.296x216.jpg
20190504,浦东,世博,固定车位，卧室全朝南，视野开阔，采光充足，一梯两户房主自荐,468万,齐八小区  | 3室1厅 | 88.84平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-46eed397-fb33-4b83-8414-0b93c39b1917.png.296x216.jpg
20190504,浦东,世博,上钢二村 1室0厅 180万,180万,上钢二村  | 1室0厅 | 29.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-30750608-2fbb-4f01-a954-fd61df9c397c.jpg.296x216.jpg
20190504,浦东,世博,凯德二期  样板间格局  价格含车位,1080万,凯德嘉博名邸  | 3室2厅 | 144.5平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e189ef52-abee-4eb3-b71d-80f41e8789a0.png.296x216.jpg
20190504,浦东,世博,上南花城 3室2厅 1020万,1020万,上南花城  | 3室2厅 | 137.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a416f04e-bc20-432d-ac63-6f2b51b67305.png.296x216.jpg
20190504,浦东,世博,上南五村 2室0厅 298万,298万,上南五村  | 2室0厅 | 47.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-294a776a-4cbd-4d2a-ac10-f32ded583efc.jpg.296x216.jpg
20190504,浦东,世博,济阳二村 1室1厅 246万,246万,济阳二村  | 1室1厅 | 43.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1ce3d17f-3fbe-4276-98b0-74ad076c160f.png.296x216.jpg
20190504,浦东,世博,上南花城 3室2厅 840万,840万,上南花城  | 3室2厅 | 117.14平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-34a93649-cba8-458f-9237-3f85b92b013d.jpg.296x216.jpg
20190504,浦东,世博,世博一室一厅，满五唯一税费少，业主置换诚意出售。,218万,济阳一村  | 1室1厅 | 46.31平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a096147d-bbb2-499a-95d8-3c7154d08c68.png.296x216.jpg
20190504,浦东,世博,近67号线高科西路站 一梯两户 2001年商品房 居家三房房主自荐,735万,怡泰家苑  | 3室1厅 | 114.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c06c1c74-e0ad-4f0c-8d77-9cf115d37cd6.jpg.296x216.jpg
20190504,浦东,世博,爵仕悦 3室2厅 1000万,1000万,爵仕悦  | 3室2厅 | 125.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-24e1b2f6-9dec-4ac9-abcd-1fa1ed1c070a.png.296x216.jpg
20190504,浦东,世博,济阳新村+一梯两户   中间楼层+精装修+满五年唯一,230万,济阳二村  | 1室1厅 | 43.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-517b5fbc-85ef-49b1-b45e-08902b493f10.jpg.296x216.jpg
20190504,浦东,世博,地铁8/13号线  售后公房 满五年唯一 诚意售方便看,410万,德州五村  | 3室1厅 | 95.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-95102dc3-e59a-4034-b2f0-221540a31d82.jpg.296x216.jpg
20190504,浦东,世博,世博正气三房，业主看好房子诚意在售，价格可商谈,750万,都市庭院  | 3室2厅 | 128.97平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14181ae0-e3e3-4c0c-9624-453f718abf02.jpg.296x216.jpg
20190504,浦东,世博,上南九村 1室1厅 245万,245万,上南九村  | 1室1厅 | 42.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3343ee9b-e972-4e0e-a582-dbfe088a4747.png.296x216.jpg
20190504,浦东,世博,上钢九村+7/13号线+南北通透+前后滩辐射区+房东急售房主自荐,205万,上钢八九村  | 1室1厅 | 39.15平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b338bfe3-7b79-40a5-8e93-3a56502b6d66.png.296x216.jpg
20190504,浦东,世博,地铁上的房子，到地铁20米，便捷超乎想象,348万,成山小区  | 2室1厅 | 68.78平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2df80801-e6db-4e96-9fbb-32c622b22c1e.png.296x216.jpg
20190504,浦东,世博,成山站8/13线双线 满五唯一 电梯一房精装修 拎包入住,258万,上南九村  | 1室1厅 | 48平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d260f96e-e911-4558-bfc3-ac8fc5168910.jpg.296x216.jpg
20190504,浦东,世博,云台二小区 3室1厅 410万,410万,云台二小区  | 3室1厅 | 71.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-955f8380-711f-4067-afa2-6c716b02c5e6.jpg.296x216.jpg
20190504,浦东,世博,东明苑 1室1厅 245万,245万,东明苑  | 1室1厅 | 43.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c60f1c61-a369-4ee3-b86c-8fba7901ef7f.jpg.296x216.jpg
20190504,浦东,世博,直眺滨江风光带，7号线云台路站高区景观房，产权清晰,1000万,云台大厦  | 3室2厅 | 201.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-75e526f4-b1c9-41f2-bfc9-9a7f22764db1.jpg.296x216.jpg
20190504,浦东,世博,世博板块 配套齐全 小区位置佳 房型正气,660万,都市庭院  | 2室2厅 | 109.25平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8568d075-35a2-4199-83aa-7dd3e05c04cc.jpg.296x216.jpg
20190504,浦东,世博,复试 地铁口 带大露台 户型正气全明 精装 小区绿化高,770万,博文园  | 4室2厅 | 136平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ea913dc5-0b8b-477b-bc24-1c5a9b807865.jpg.296x216.jpg
20190504,浦东,世博,恒大小区 复式三房 一梯两户 买进满三年 增值税少,540万,恒大小区  | 3室2厅 | 101.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-57583d1e-d2d2-44d2-bfed-23167b29e822.jpg.296x216.jpg
20190504,浦东,世博,上钢一村 2室1厅 358万,358万,上钢一村  | 2室1厅 | 66.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cb27e0d1-8774-4bce-b020-964aebe83237.png.296x216.jpg
20190504,浦东,世博,非电梯房 一T两户 婚装一年 全明视野开阔,425万,新世纪花苑(一期)(浦东)  | 2室1厅 | 77.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-785d7958-9f86-4df3-a3a8-1285faa5d72b.jpg.296x216.jpg
20190504,浦东,世博,爵士悦  南北通，2梯4户 带产权车位，视野开阔 采光好,680万,爵仕悦  | 2室2厅 | 90.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6e29c5c3-5792-4950-a821-d0186dc822e2.jpg.296x216.jpg
20190504,浦东,世博,云台二小区 1室1厅 245万,245万,云台二小区  | 1室1厅 | 44.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e42bfdcf-9c06-4cf0-b428-212db791330a.jpg.296x216.jpg
20190504,浦东,世博,世博板块中间三楼 南北两房三轨交汇 出则繁华入则宁静房主自荐,299万,上南三村  | 2室1厅 | 52.51平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6bdbad21-87e5-4d05-acdd-c695cd856d8c.jpg.296x216.jpg
20190504,浦东,世博,红莲小区 1室1厅 280万房主自荐,280万,红莲小区  | 1室1厅 | 56.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6d49af07-e329-453c-8c31-fb2ef555c14f.png.296x216.jpg
20190504,浦东,世博,凯德嘉博名邸 2室1厅 700万,700万,凯德嘉博名邸  | 2室1厅 | 92.46平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f1650d0e-4fb8-4740-b53a-f8053659f438.png.296x216.jpg
20190504,浦东,世博,德州七村 2室1厅 263万,263万,德州七村  | 2室1厅 | 58.05平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6134492e-bc1d-472b-94b6-093f5ca1f2f5.jpg.296x216.jpg
20190504,浦东,世博,上南二村 3室1厅 405万,405万,上南二村  | 3室1厅 | 65.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-abe5452e-c495-40ae-9c60-7c5ddc613622.jpg.296x216.jpg
20190504,浦东,世博,上南花城 3室2厅 1030万,1030万,上南花城  | 3室2厅 | 134.86平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-67a42c38-4852-49b4-8fbd-cf9450c11294.jpg.296x216.jpg
20190504,浦东,世博,博文园 4室2厅 870万,870万,博文园  | 4室2厅 | 158平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-13f9cc37-a93b-4813-8c74-0483171521c3.jpg.296x216.jpg
20190504,浦东,世博,房子精装双南，满五唯一，置换诚售，到价签字,400万,昌七小区  | 2室1厅 | 74.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-550dfb33-fb8f-42f6-a696-7d3aef1d9b29.jpg.296x216.jpg
