20190504,奉贤,柘林,低总价大两房+可以上海何必环户+满五唯一税费低随时看,142万,海韵馨苑  | 2室2厅 | 106.89平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6e70e495-f8c8-40c7-95f0-f9431ff97518.png.296x216.jpg
20190504,奉贤,柘林,乐怡苑(奉贤) 4室1厅 152万,152万,乐怡苑(奉贤)  | 4室1厅 | 127.09平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2bb95bd7-7637-4034-baec-1cb263ad970b.png.296x216.jpg
20190504,奉贤,柘林,户型好，采光舒适，阳光直射家中，优质三房,170万,海畔家园(二期)  | 3室2厅 | 124.95平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0093a669-f0df-4f8e-a9e5-5f3a55c916c5.jpg.296x216.jpg
20190504,奉贤,柘林,2009年品质小区 带阁楼 露台 精装两室两厅两卫,136万,海韵馨苑  | 2室2厅 | 99.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8870944d-afcc-4452-a985-6aa3ecd4b8a8.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 170万,170万,海韵馨苑  | 2室2厅 | 109.14平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e73dd82f-5d82-4288-95bc-a6bf0f6a5901.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨园，精装电梯2房 ，高层采光视野佳房主自荐,159万,海韵馨苑  | 2室2厅 | 103.6平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2b52a30f-fecd-4332-ad2e-22d675bf2be3.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 6室3厅 220万,220万,海韵馨苑  | 6室3厅 | 110.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-20254033-6666-4828-9896-dd48b956cf31.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 155万,155万,海韵馨苑  | 3室2厅 | 111.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-47322f8d-79ac-41e9-b93e-71cc629d6152.jpg.296x216.jpg
20190504,奉贤,柘林,乐怡苑 大户型3房 全明户型 170万 诚心出售 单价低,170万,乐怡苑(奉贤)  | 3室2厅 | 127.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-39d7afb3-ba48-4c8e-b9cc-b99980413f76.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 125万,125万,海岸景苑  | 2室2厅 | 92.83平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-63e01812-51a0-4c7f-b5d8-7a2aae8f65a7.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 140万,140万,海韵馨苑  | 2室2厅 | 91.15平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc07cd0d-4cd3-4c2c-aebe-774246adab13.jpg.296x216.jpg
20190504,奉贤,柘林,此房为商品房 产权清晰 满五年 小区中间位置安静。,130万,海岸景苑  | 2室2厅 | 92.83平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-95a1e652-bf61-43de-bb38-ff518de459e6.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 200万,200万,海韵馨苑  | 3室2厅 | 137平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cb93311c-75ef-403f-9a65-c86467e57493.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 135万,135万,海岸景苑  | 2室2厅 | 99.24平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c387808-f585-4001-bd76-15e1add58bff.jpg.296x216.jpg
20190504,奉贤,柘林,乐怡苑(奉贤) 2室1厅 113万,113万,乐怡苑(奉贤)  | 2室1厅 | 77.84平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-80e0a07a-6873-4c8c-9573-36105846b369.jpg.296x216.jpg
20190504,奉贤,柘林,业主自荐 满五年 楼层好 采光佳 一家人入住 其乐融融房主自荐,170万,海韵馨苑  | 3室2厅 | 127.8平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5d12aaeb-bdda-4e01-93ad-816fafac42d7.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 188万,188万,海韵馨苑  | 3室2厅 | 127.78平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a06023c-18ff-49b8-96c8-5c6ccf317f32.png.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 142万,142万,海韵馨苑  | 2室2厅 | 99.6平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-db64f4f7-9b2d-4435-897f-4cfdf7a51a74.jpg.296x216.jpg
20190504,奉贤,柘林,多层复式楼，业主急售，方便看房，纯毛坯，产权清晰,165万,海韵馨苑  | 2室2厅 | 114.16平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-569e64f6-2c1f-4c18-b530-4ba8376e82df.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 3室1厅 148万,148万,海岸景苑  | 3室1厅 | 106平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4c58c4f6-4063-4b60-b783-98c4aba735bd.png.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 145万,145万,海岸景苑  | 2室2厅 | 92.83平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-552cf874-42ac-4b51-9bf9-7a130d11fd92.jpg.296x216.jpg
20190504,奉贤,柘林,柘林海畔家园 大三房纯毛坯 总价低 好看房,160万,海畔家园(二期)  | 3室2厅 | 140.02平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3c99bea0-ffca-44c3-8e7b-794a353d3e64.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 195万房主自荐,195万,海韵馨苑  | 3室2厅 | 137平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8ab462f6-1c19-4910-baee-5e44911cb95f.jpg.296x216.jpg
20190504,奉贤,柘林,此房满五年唯一 业主置换诚心出售 房龄新,116万,目华新村  | 2室1厅 | 86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3ac00c09-a254-46c0-bf98-f9353c85b897.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园(二期) 2室1厅 105万,105万,海畔家园(二期)  | 2室1厅 | 73.99平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-630566a6-c355-426d-8887-f297f72b0b27.png.296x216.jpg
20190504,奉贤,柘林,海岸景苑 3室2厅 160万,160万,海岸景苑  | 3室2厅 | 106.35平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-10bd652a-b093-49c3-8c4f-136232173999.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园(二期) 2室2厅 125万,125万,海畔家园(二期)  | 2室2厅 | 91.3平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f20317e6-561a-4b37-868a-3f7b9745eb30.jpg.296x216.jpg
20190504,奉贤,柘林,满五唯一，楼层好，拎包入住，2房2卫，业主诚意出售,122万,胡桥苑  | 2室2厅 | 97平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5e04444c-7b0d-4f35-9aac-19269dbe16a0.png.296x216.jpg
20190504,奉贤,柘林,花苑新村 1室1厅 68万,68万,花苑新村  | 1室1厅 | 43.37平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-992d31d1-3f77-44d1-bc3d-e2da233a7e2e.png.296x216.jpg
20190504,奉贤,柘林,双房朝南，精装户型，中等楼层，目前空置中，看房提前,125万,胡桥苑  | 2室1厅 | 96.02平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6afd6944-9e90-45ef-b357-acce4aeb51e9.png.296x216.jpg
20190504,奉贤,柘林,花苑新村 2室1厅 118万,118万,花苑新村  | 2室1厅 | 75.9平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-448f10a8-afd5-43d0-a61a-d49705d11392.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园(二期) 2室1厅 140万,140万,海畔家园(二期)  | 2室1厅 | 74.4平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49aaf1e2-e145-436e-ae9c-2d5d64b9b37f.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 1室1厅 120万,120万,海韵馨苑  | 1室1厅 | 65.9平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b30403be-ad3b-4c43-b7b2-036c6ba9bde0.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 150万,150万,海韵馨苑  | 2室2厅 | 103.6平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-321fe015-a650-4958-9dce-006ba2e4ecfd.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 171万,171万,海韵馨苑  | 3室2厅 | 132平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170831/537b986e-5e47-4ee9-9961-1db32047d08e.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园(二期) 3室2厅 150万,150万,海畔家园(二期)  | 3室2厅 | 128.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170912/b6be0f45-85cd-45d5-a064-238aed08afc0.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 142万,142万,海韵馨苑  | 3室2厅 | 103.6平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/112fb9d1-83f1-4df4-963c-c227716af0b2.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 3室1厅 160万,160万,海岸景苑  | 3室1厅 | 112.49平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9f381c6a-ec45-4170-b7f6-c952f69fc64a.jpg.296x216.jpg
20190504,奉贤,柘林,胡桥苑 3室1厅 150万,150万,胡桥苑  | 3室1厅 | 127.43平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170212/295dddb3-794f-49db-956a-758f018d671d.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 160万,160万,海韵馨苑  | 3室2厅 | 131.75平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161130/87f04c2f-7760-4223-8004-9473dae6d900.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 135万,135万,海韵馨苑  | 2室2厅 | 96.79平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/35f9e9ed-bae0-4e04-b5df-c605dac6affe.jpg.296x216.jpg
20190504,奉贤,柘林,精装大两房 花园位置 采光通风佳 急售 只等有缘人品鉴,113万,乐怡苑(奉贤)  | 2室1厅 | 77.84平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/2ffb8fce-a7eb-4350-bcc0-0db32b85db6e.jpg.296x216.jpg
20190504,奉贤,柘林,胡桥苑 3室2厅 160万,160万,胡桥苑  | 3室2厅 | 169.56平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171217/7072019d-f090-4761-b224-3c886cbb0ec6.jpg.296x216.jpg
20190504,奉贤,柘林,文化路28弄 3室3厅 240万房主自荐,240万,文化路28弄  | 3室3厅 | 155.47平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/f0e9b997-3025-4dd9-8e9e-94b84a1de316.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 180万,180万,海韵馨苑  | 3室2厅 | 132.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170704/c1336f69-b249-40fb-9dde-8727b8b264bf.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 170万房主自荐,170万,海韵馨苑  | 3室2厅 | 131.11平米 | 暂无数据 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20180106/17cda760-ebd5-4c6c-952b-8887d13a2d78.jpg.296x216.jpg
20190504,奉贤,柘林,海韵新苑 推门而入 感受不一样的风景与浪漫 来看看吧,200万,海韵馨苑  | 3室2厅 | 124.62平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3260251f-5250-4621-a9e6-c4cf9fdac251.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园(二期) 2室2厅 150万,150万,海畔家园(二期)  | 2室2厅 | 88.28平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/b5ed13f2-5642-40e3-a260-782f53c5e94b.jpg.296x216.jpg
20190504,奉贤,柘林,胡桥苑 3室2厅 170万,170万,胡桥苑  | 3室2厅 | 146.54平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/93433e0e-f16d-4c96-b80c-4129f40e0b43.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 140万,140万,海岸景苑  | 2室2厅 | 92.38平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/776cf106-10bd-4ed8-9f6a-a89583105f45.jpg.296x216.jpg
20190504,奉贤,柘林,胡桥苑 6室2厅 258万,258万,胡桥苑  | 6室2厅 | 239平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170212/cb8a64d8-b909-42fc-ae0e-b1269368552f.jpg.296x216.jpg
20190504,奉贤,柘林,满五年唯一 正三房 低总价 小区位置好 欢迎看房房主自荐,140万,海岸景苑  | 3室2厅 | 112.46平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170409/fc142b34-f083-42c5-8681-440a3529bfe4.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 170万,170万,海岸景苑  | 2室2厅 | 105.77平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/0a68837a-7548-4304-b1a9-9ec65bdeea1b.jpg.296x216.jpg
20190504,奉贤,柘林,乐怡苑(奉贤) 2室2厅 145万,145万,乐怡苑(奉贤)  | 2室2厅 | 95.56平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/ffac4123-a712-4724-bb1e-ad97f7155baa.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 4室2厅 275万,275万,海韵馨苑  | 4室2厅 | 226.16平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/0496826f-a329-4ca6-b146-489350f0de46.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 4室2厅 335万,335万,海韵馨苑  | 4室2厅 | 169.11平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/b930a961-04d9-48f0-afd8-faace8e28ce5.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 170万房主自荐,170万,海韵馨苑  | 3室2厅 | 132.51平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160624/d127836f-e43e-47f5-91f6-c141e9a2dae2.jpg.296x216.jpg
20190504,奉贤,柘林,新寺中街81弄 3室1厅 158万,158万,新寺中街81弄  | 3室1厅 | 90.4平米 | 南 | 简装 | 无电梯,
20190504,奉贤,柘林,文化路28弄 2室2厅 122万,122万,文化路28弄  | 2室2厅 | 85.86平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/727d81fe-ad2b-41e1-bf48-d247bf6715c8.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 140万新上,140万,海韵馨苑  | 2室2厅 | 103.6平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/bfb3bee5-3759-4fe5-b94d-8d51420b7400.png.280x210.jpg
20190504,奉贤,柘林,乐怡苑 大三房  南北通透 随时可看房,180万,乐怡苑(奉贤)  | 3室2厅 | 127.99平米 | 南 北 | 毛坯 | 无电梯,
20190504,奉贤,柘林,乐怡苑(奉贤) 2室2厅 141万,141万,乐怡苑(奉贤)  | 2室2厅 | 95.07平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/d68e4e21-5d2e-4bd6-94f7-6e46bc2e024c.png.280x210.jpg
20190504,奉贤,柘林,此房为商品房户型明亮南北户型通风性好客厅朝南带阳台,143万,乐怡苑(奉贤)  | 2室1厅 | 77.96平米 | 南 | 精装 | 无电梯,
20190504,奉贤,柘林,海岸景苑 2室2厅 130万,130万,海岸景苑  | 2室2厅 | 95.5平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/a21b2fbe-e6b9-452a-99b0-0a736f593d0b.png.280x210.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 200万,200万,海韵馨苑  | 3室2厅 | 132平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/97891734-8b30-4514-90d7-88ae937674b1.png.280x210.jpg
20190504,奉贤,柘林,海韵馨苑 大面积2房 南北通透 周。边配套成熟,168万,海韵馨苑  | 2室2厅 | 106平米 | 暂无数据 | 其他 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/1d36e9e7-098c-40ee-aca4-8c8a47269b69.png.280x210.jpg
20190504,奉贤,柘林,海韵新苑 现浇房 大三房 看房方便 业主诚意出售,240万,海韵馨苑  | 3室2厅 | 132.5平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/8432af50-149a-4326-97f2-08fb6be8fb24.png.280x210.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 155万,155万,海岸景苑  | 2室2厅 | 99.02平米 | 南 | 其他 | 无电梯,
20190504,奉贤,柘林,简装大三房，楼层好，前后无遮挡，业主诚心，随时看,160万,海韵馨苑  | 3室2厅 | 106.5平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/1d36e9e7-098c-40ee-aca4-8c8a47269b69.png.280x210.jpg
20190504,奉贤,柘林,房东置换诚意出售，2006年小区，精品你值得拥有,170万,目华新村  | 2室2厅 | 85.39平米 | 南 | 简装 | 无电梯,
20190504,奉贤,柘林,海韵馨苑 2室2厅 165万,165万,海韵馨苑  | 2室2厅 | 106平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/1d36e9e7-098c-40ee-aca4-8c8a47269b69.png.280x210.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 160万,160万,海岸景苑  | 2室2厅 | 92.83平米 | 南 | 精装 | 无电梯,
20190504,奉贤,柘林,海韵馨苑 2室2厅 165万,165万,海韵馨苑  | 2室2厅 | 106.53平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/cea8ee9e-b2a6-4278-9976-e54287ca9822.png.280x210.jpg
20190504,奉贤,柘林,新街三村 2室1厅 113万,113万,新街三村  | 2室1厅 | 64.06平米 | 南 | 其他 | 无电梯,
20190504,奉贤,柘林,海韵馨苑 2室2厅 150万,150万,海韵馨苑  | 2室2厅 | 99.38平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/1892b76d-5e8e-4d1b-a86b-23fcd0abf64d.png.280x210.jpg
20190504,奉贤,柘林,目华新村 3室2厅 150万,150万,目华新村  | 3室2厅 | 120.75平米 | 南 | 其他 | 无电梯,
20190504,奉贤,柘林,海韵馨苑 3室2厅 170万,170万,海韵馨苑  | 3室2厅 | 130.87平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/97891734-8b30-4514-90d7-88ae937674b1.png.280x210.jpg
20190504,奉贤,柘林,海畔家园(二期) 1室1厅 101万,101万,海畔家园(二期)  | 1室1厅 | 73.99平米 | 南 北 | 其他 | 无电梯,
20190504,奉贤,柘林,目华新村 2室2厅 128万,128万,目华新村  | 2室2厅 | 92平米 | 南 | 其他 | 无电梯,
20190504,奉贤,柘林,胡桥苑 3室1厅 136万,136万,胡桥苑  | 3室1厅 | 110.75平米 | 南 | 精装 | 无电梯,
20190504,奉贤,柘林,海岸景苑 2室1厅 160万新上,160万,海岸景苑  | 2室1厅 | 95.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/a21b2fbe-e6b9-452a-99b0-0a736f593d0b.png.280x210.jpg
