20190504,黄浦,黄浦滨江,华润九里一期，与外滩壹号院并肩， 蜗居拍摄地景观房,1830万,上海滩花园  | 3室2厅 | 152.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-df3ef232-bf91-4bf3-9d06-416cbc4dc2cc.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩旁边，低总价，采光好，有电梯,385万,悦来小区  | 2室1厅 | 47.61平米 | 东 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-81d03318-5b2a-4971-8cfe-cbe574388f47.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块，全南两房，楼梯房4楼，距离9号线420米,560万,悦来小区  | 2室1厅 | 63.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7f27b5a9-743c-455c-8110-4abf91fd0a11.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江，高区江景，两梯两户，保养不错，诚意出售,1500万,金外滩花园  | 2室2厅 | 136.37平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bb630d37-a491-41e2-923c-1c3566739aa9.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩，高区全南两房，厨卫全明，人车分流，刷卡到户,1300万,上海滩花园  | 2室2厅 | 104.77平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5466d865-9cce-47b1-b254-a3760564b0af.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩高.端住宅，居住舒适，对望汤臣一品，人车分流,1850万,金外滩花园  | 3室2厅 | 164.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-734775d2-3129-42c0-9cd7-d3c0bad9a4a7.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,小区唯一4房【有车位】无户口无抵押，产权一人诚意卖,2100万,金外滩花园  | 4室2厅 | 209.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7f1c4777-7b5e-48a0-94e4-9a6ef12a5ff7.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦江两岸，外滩大三房，现代刚挂石材，管家服务,2100万,浦江公馆  | 3室2厅 | 163.09平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f32aa5d3-c795-44e1-a4d0-c0f1ceef0ddd.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,悦来小区 2室1厅 550万,550万,悦来小区  | 2室1厅 | 65.57平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-102e7a3a-c7fa-46ce-aa3e-00dc4e199b9c.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块，一方小户型朝南带阳台，满五年，地铁房,360万,悦来小区  | 1室1厅 | 43.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-213ccd02-2a55-486c-8127-4d42a9869750.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江+南北通+双会所+人车分流。,1305万,华润外滩九里  | 1室2厅 | 90.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3e2c13ec-340e-455d-9032-957c7c696f49.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,城隍脚下外滩旁 精装一房 出行交通便利，诚电聊,280万,共和园小区  | 1室1厅 | 34.05平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f462b691-2b15-4f03-b340-8210349f74ac.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江地段+南北两房+满两年税少+随时看房,395万,共和园小区  | 2室1厅 | 51.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9405f12e-b811-4798-bd58-41b0b041213d.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,共和园小区 1室1厅 300万,300万,共和园小区  | 1室1厅 | 33.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-09e5cca0-e28f-4d33-aba2-bf49d1d3a48d.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,福鑫大楼 2室1厅 699万,699万,福鑫大楼  | 2室1厅 | 67.32平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-793f142d-bc84-454f-a146-3aadef0adf52.png.296x216.jpg
20190504,黄浦,黄浦滨江,三开间朝南4房 9号线小南门站,1200万,绿地名人坊  | 4室2厅 | 144.67平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171207/634c2ff9-7d07-43eb-8778-814173fc7c0c.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩家族大宅，看小区整个花园，人车分流带双会所,3800万,华润外滩九里  | 4室2厅 | 309.84平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171027/43be79c1-4a5d-4e05-9c71-27258071d6ce.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,对望陆家嘴，坐拥外滩滨江，媲美新天地，董家渡北侧新上,1130万,华润外滩九里  | 1室2厅 | 90.63平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160305/9cfc4e8a-2c8a-407c-9f83-e1b8c405b068.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩原石大宅 华润九里精品2+1设计 看房随时 业主委托,1850万,华润外滩九里  | 2室2厅 | 165.61平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171213/32acb061-fc21-40f9-a5ab-d244b8a52308.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,绿地名人坊：三开间朝南+户型方正+高区采光+小南门站,1350万,绿地名人坊  | 3室2厅 | 162.23平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/50de0b48-1d74-4155-b5ac-8668665d5971.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,同小区不惧对比、业主诚意度101%、就等有缘客户！,1600万,海琪园  | 3室2厅 | 168.75平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/aa66bfa5-ca54-4608-baae-9d2c40dfa7c0.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,东边套三面采光、朝北可看江景、与陆家嘴隔江相望,1300万,华润外滩九里  | 1室2厅 | 90.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160517/ed1d342a-7812-42c5-800b-a2e1c51aac57.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,高区全南大一房 业主自住 看房方便 业主急售 价格可谈,1050万,华润外滩九里  | 1室2厅 | 73.86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180119/7f6ed962-6a06-4633-b77d-ec4b8d259af1.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,新上绿地开发9号线地铁口全南2房.满五年1070万,1070万,绿地名人坊  | 2室2厅 | 113.4平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/49108e66-b8b5-46ed-adc7-bc2b2dfa220a.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,重金装潢3600万税费各付，小区中间位置，正看小区花园,3500万,华润外滩九里  | 3室2厅 | 244.25平米 | 暂无数据 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170902/75b5f3e4-66a4-435e-ae6b-c2756a2047bb.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,9号线小南门地铁口 15年婚房装修两房 二手买进税费低,800万,通达大厦  | 2室2厅 | 89.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2f92f9a5-8c69-4557-a710-431bb3ed3e45.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,3房朝南看九里花园泳池，客厅直面黄浦江，2梯2户,1375万,海琪园  | 3室2厅 | 155平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2985ed85-af42-459a-8403-5827ebd5ce7c.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,华润外滩九里 1室2厅 1200万,1200万,华润外滩九里  | 1室2厅 | 73.51平米 | 暂无数据 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160412/cd1d876b-aee7-4adc-aea2-10acc5659844.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,强调2点：各付价，空间大，正看小区花园，预约看房,1700万,上海滩花园  | 3室2厅 | 153平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5957f91a-9a0f-4480-a16b-741f28c0e331.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,海琪园大三房，宜家装修圆幅大厅，正对黄浦江,1850万,海琪园  | 3室2厅 | 168.75平米 | 东 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/7c6bc5c0-920a-4ecc-acb9-894d8bb03047.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,房型方正，看起来还不错，卧室    很多，适合居住用。,3700万,华润外滩九里  | 5室2厅 | 270.94平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/1f591969-372e-4319-9d3f-a18d1353aa1d.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,平进平出 不赚差价 精装全南一房 置换急售 有车位,860万,金外滩花园  | 1室2厅 | 81.06平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/f1a52f28-02ed-49d0-a286-d07ad08af046.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块、品质楼盘、人车分流、业主自住，预约看房,1350万,金外滩花园  | 2室2厅 | 136平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/63fcb065-9fa0-481a-a96f-0603fb81b09a.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,业主卖房置换，挂牌价低于同户型两百万，一周必售出,1180万,华润外滩九里  | 1室2厅 | 90.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/06728062-984a-4916-8923-604c68d32606.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,南北通透，单价便宜，大两房，开发商装修，业主诚意,1700万,华润外滩九里  | 2室2厅 | 165.61平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/bd2db627-2fcc-4044-b8a4-ab765deeb9c4.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,售后公房，南北通两房，精装，买入拎包入住房主自荐,460万,共和园小区  | 2室0厅 | 51.49平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload55acff6b-8495-4758-acdb-bfaa25599017.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,申江新苑，满5年唯一，婚房装修+精致1房+诚意出售,850万,申江新苑  | 1室1厅 | 70.66平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/0bed589a-432f-454f-8eb6-e00583088f36.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩九里样板房欧式风格，业主高价买进，小区仅此一套,1050万,华润外滩九里  | 1室2厅 | 73.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161004/0753e6c2-8538-400c-b544-bdba8be2e672.jpg.296x216.jpg
