20190504,浦东,潍坊,此房满五唯一，小区花园位置，中间楼层，诚意出售,480万,潍坊九村  | 2室1厅 | 48.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-132384bc-b8ba-4626-bfdd-75376fb54e9d.jpg.296x216.jpg
20190504,浦东,潍坊,南北小两房   满五唯一没有税  交通方便,485万,泉东(二)小区  | 2室0厅 | 42.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-614ed092-ff62-4aed-83f8-d1bdea015851.png.296x216.jpg
20190504,浦东,潍坊,急售房源，售后公房 满五唯一  ，通风采光极好！,540万,朱家滩小区  | 2室2厅 | 63.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4a3c9243-d411-44a0-8a18-a9428b571c50.jpg.296x216.jpg
20190504,浦东,潍坊,满五无2%个税/70年住宅产权/近世纪大道/诚售价格可谈,840万,爵士大厦  | 3室2厅 | 156.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-72de4b2a-9ba3-4e86-9f54-5d797b911d35.jpg.296x216.jpg
20190504,浦东,潍坊,精装修朝南一室户，业主诚心出售，中间楼层不靠马路,249万,潍坊二村  | 1室1厅 | 35.57平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8a8f339d-2660-4914-9917-e7f29aa76fce.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置+南北两房+全明户型+满五唯一+诚心出售,500万,泉东(二)小区  | 2室0厅 | 44.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-aba6d5b9-89e0-48c3-953a-d9fe8cfb1771.png.296x216.jpg
20190504,浦东,潍坊,双南户型+ 免增值税+ 不占用+ 产权清晰+诚意出售,440万,潍坊九村  | 2室0厅 | 46.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-48c0e10c-5407-4474-b686-88410d4aeabb.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 2室1厅 535万,535万,朱家滩小区  | 2室1厅 | 52.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7cd8da87-c8c6-403a-9dfc-e9ca7b06d366.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊二村，温馨舒适，双南两房，小区中间，近地铁,308万,潍坊二村  | 2室0厅 | 45.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9d907c7b-48d6-4227-b123-b04a9a96bdb3.png.296x216.jpg
20190504,浦东,潍坊,专属房源，电梯南北全明两房一厅，满五唯一，诚意出售,595万,开发浦东  | 2室1厅 | 67.07平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0fd42f4d-1676-4c28-bbfe-b10198a61e1f.jpg.296x216.jpg
20190504,浦东,潍坊,陆家嘴优质电梯房：中间楼层，户型正气，看房随时！,612万,南泉大楼  | 2室2厅 | 94.1平米 | 东南 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9e03cd3-586e-4d1b-bc7f-b225b7b09138.jpg.296x216.jpg
20190504,浦东,潍坊,泉东小区 南北两房 中间楼层 看房方便 业主诚意出售,495万,泉东小区  | 2室1厅 | 44.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9ec2169c-b31e-4730-8328-e42ab1fa282f.jpg.296x216.jpg
20190504,浦东,潍坊,东欣小区，精装修，便宜的两房，有钥匙，随时看,528万,东欣小区  | 2室1厅 | 64.89平米 | 南 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7e2b3eac-6f30-4fc6-a2a1-8e2734150d75.jpg.296x216.jpg
20190504,浦东,潍坊,急售 ming zhu A+电梯三房+业主诚意出售+世纪大道房主自荐,735万,繁荣昌盛  | 3室1厅 | 97.22平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8a53e31e-784e-49b0-a677-14901b947670.png.296x216.jpg
20190504,浦东,潍坊,泉东(二)小区 2室0厅 550万,550万,泉东(二)小区  | 2室0厅 | 52.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-01093d19-1c12-4461-b01d-5fd1a1e518ae.png.296x216.jpg
20190504,浦东,潍坊,此房，楼层好采光好视野佳，安静舒适,600万,东欣小区  | 2室1厅 | 65.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9ef1829-9faa-4a88-a0c5-1cfdcd6e237e.jpg.296x216.jpg
20190504,浦东,潍坊,满五年，朝南，带天井，通风很好，交通便利，不靠马路,400万,潍坊六村  | 1室2厅 | 37.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1ecb3336-acd4-47db-87c4-e893147299a5.png.296x216.jpg
20190504,浦东,潍坊,泉东小区、南北通风+一房一厅++满五唯一,470万,泉东小区  | 1室1厅 | 41.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f8afabfa-e87a-47d5-8783-bcc9451d5c30.png.296x216.jpg
20190504,浦东,潍坊,满五年，看房方便 位置好 视野辽阔无遮挡,380万,潍坊七村  | 1室0厅 | 36.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a64ad5da-8088-4787-b169-4f4c702e5111.jpg.296x216.jpg
20190504,浦东,潍坊,总价低  随时看  户型不错  近地铁  采光好,375万,潍坊九村  | 1室1厅 | 27.67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-87d89868-6eff-404a-aa0d-e659de65fef1.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村，宝钢式户型，南北两房，边套全明，出行方便,315万,潍坊四村  | 2室0厅 | 46.55平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9d69c542-cc2e-4f3c-916b-6a233888b011.png.296x216.jpg
20190504,浦东,潍坊,楼层佳，采光好，总价低，朝向好,260万,潍坊八村  | 1室1厅 | 34.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-26cdc6d9-16b9-4c90-a5a2-87fee7b64782.png.296x216.jpg
20190504,浦东,潍坊,中楼层，中间位置，边套南北通，满五唯一房主自荐,240万,潍坊二村  | 1室1厅 | 32.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6302142e-1367-49d8-879e-bde76ff2959f.jpg.296x216.jpg
20190504,浦东,潍坊,明珠 电梯高区两房产权户口清晰，诚意出售，看房随时,560万,开发浦东  | 2室1厅 | 67.41平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-aa8791dd-f9ec-4d92-9519-f5f7b5002667.png.296x216.jpg
20190504,浦东,潍坊,采光无遮挡，售后公房，满五税少，诚意出售，接受议价,550万,开发浦东  | 2室1厅 | 67.58平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0d7b3540-fc2f-4259-a4b2-46b65d7b6076.jpg.296x216.jpg
20190504,浦东,潍坊,新光大楼+楼层好+户型方正+满五+价格便宜,630万,新光大楼  | 2室1厅 | 69.83平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-946530a2-c728-4cee-a9d9-6d9e8642586e.png.296x216.jpg
20190504,浦东,潍坊,潍坊四村，满五唯一，位置优越，边套*明，精装修房主自荐,270万,潍坊四村  | 1室1厅 | 40.26平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9a274cab-49af-4b15-ae1a-73d067feb0dd.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置+南北两房+全明户型+售后公房+诚心出售,505万,泉东(二)小区  | 2室1厅 | 46.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5dd1cab4-6e52-4c0c-800e-3aacb921de01.jpg.296x216.jpg
20190504,浦东,潍坊,世纪大道地铁站旁边！交通便利，配套齐全！业主诚意卖,749万,众城公寓  | 3室2厅 | 138.78平米 | 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4a56fb96-ff82-417f-860c-eca26c6be28f.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 1室1厅 398万,398万,潍坊十村  | 1室1厅 | 37.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4dc60501-e874-4609-8282-b465f2e9407d.jpg.296x216.jpg
20190504,浦东,潍坊,电梯房，一房一厅，全明户型，位置好，楼层好,480万,南泉大楼  | 1室1厅 | 67.89平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d91470db-0fa7-40e7-b495-42cad9dca518.jpg.296x216.jpg
20190504,浦东,潍坊,二村好楼层，总价低一套，小区中间，近地铁,240万,潍坊二村  | 1室1厅 | 28.25平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b67cff68-9ed1-4955-9eb8-c1817b927427.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 1室1厅 445万,445万,朱家滩小区  | 1室1厅 | 32.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4da40687-8e97-43e3-a4b7-e07c361fa1ed.jpg.296x216.jpg
20190504,浦东,潍坊,中间楼层，南北边套带厅，空关，采光佳，诚意出售,386万,潍坊六村  | 1室1厅 | 39.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9327f34a-9d84-4be3-912a-fe6d39e6e474.jpg.296x216.jpg
20190504,浦东,潍坊,前排采光好、满五未用、位置安静、可有露台,620万,潍坊十村  | 3室1厅 | 73.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-82d2a67d-5071-45e0-b76f-646d6dd88748.jpg.296x216.jpg
20190504,浦东,潍坊,浦明未占，总价低，楼层好，南北通朝南一室，诚意出售,260万,潍坊二村  | 1室1厅 | 38.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aba61e96-d4d1-4db9-980a-60cb837be1cf.jpg.296x216.jpg
20190504,浦东,潍坊,双南双天井，看房方便，诚意出售,520万,朱家滩小区  | 2室0厅 | 58.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5bf2ccdc-7e7e-4ca6-9c73-f38c4a4b3d57.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 1室1厅 469万,469万,朱家滩小区  | 1室1厅 | 43.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-acd0ddea-6e69-4d83-842b-edc846ab3ed2.jpg.296x216.jpg
20190504,浦东,潍坊,售后公房+满五年+ 产权户口清晰+ 无抵押+无贷款,475万,泉东(二)小区  | 2室0厅 | 42.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-48bd8a48-19f2-41f6-840e-03c362379c54.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 1室1厅 386万,386万,潍坊十村  | 1室1厅 | 32.77平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-87f6a6a3-6161-4e6f-8035-17c947111254.jpg.296x216.jpg
20190504,浦东,潍坊,离校近、采光佳，交通方便，总价低，产权清晰，诚意售房主自荐,384万,潍坊十村  | 1室0厅 | 30.06平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-171773d6-8f4c-4ffd-8228-cf4b84c6d26a.png.296x216.jpg
20190504,浦东,潍坊,潍坊七村 35.24平 简单装修 诚心出售,390万,潍坊七村  | 1室1厅 | 35.24平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fecf160a-207c-4f56-95ad-9fc4190c0f04.png.296x216.jpg
20190504,浦东,潍坊,满五唯一税费少  看房方便  业主诚售  到价签字,590万,泉东小区  | 2室0厅 | 61.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-713c872a-c716-4f39-93f6-77e12be4a7df.png.296x216.jpg
20190504,浦东,潍坊,房 子 是 售 后 公 房 满 五 唯一,705万,开发浦东  | 3室1厅 | 88.54平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4281b0d4-113a-49c4-98f1-5b0d1df590ad.png.296x216.jpg
20190504,浦东,潍坊,潍坊三村 2室0厅 305万,305万,潍坊三村  | 2室0厅 | 46.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-029ea1f5-a376-4047-b6be-08adf6d25286.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置，中间楼层、满五年、浦明浦南未用新上,275万,潍坊四村  | 1室1厅 | 41.36平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-65ef7676-f96c-4749-b205-b5f5bc73a351.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村+近地铁+产权清晰+繁华地段,247万,潍坊一村  | 1室0厅 | 35.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dccf830f-5004-4b54-87f4-00ce9d938430.jpg.296x216.jpg
20190504,浦东,潍坊,满五、南北通、精装修、三年级、钥匙房、诚意出售,480万,潍坊九村  | 2室1厅 | 51.6平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c5f87f18-5df7-499e-8cac-5cfea4b21f84.jpg.296x216.jpg
20190504,浦东,潍坊,南北两房，不用爬楼梯，诚意出售，潍坊二村，不靠路,330万,潍坊二村  | 2室1厅 | 48.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e65a96e4-621a-4f28-a6f2-115690188a13.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 1室0厅 395万房主自荐,395万,潍坊十村  | 1室0厅 | 34.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bde80c02-febd-4105-96d5-c03d7e956f65.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 售后公房 双南两房 业主诚意出售 钥匙房,505万,朱家滩小区  | 2室0厅 | 55.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c23bca50-99c6-4085-a312-851de161f680.png.296x216.jpg
20190504,浦东,潍坊,潍坊九村 1室1厅 396万,396万,潍坊九村  | 1室1厅 | 35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b206d569-c76a-4c3c-b3f2-4dd988e3383a.jpg.296x216.jpg
20190504,浦东,潍坊,浦坊大楼 2室1厅 426万新上,426万,浦坊大楼  | 2室1厅 | 60.94平米 | 西北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4661c306-777e-4f42-b808-31b786a45dfc.jpg.296x216.jpg
20190504,浦东,潍坊,不靠马路一室半户型，小区花园位置，房东诚售,395万,潍坊六村  | 1室1厅 | 39.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19d8ba0e-0260-4faf-9cbd-8de03122a7d8.jpg.296x216.jpg
20190504,浦东,潍坊,高区精品房+边套南北户型+温馨舒适拎包入住,280万,潍坊二村  | 2室0厅 | 48.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b271fc18-c588-4122-8a80-a35483bc3e5e.jpg.296x216.jpg
20190504,浦东,潍坊,泉东小区精装一房 1993年房龄 世纪大道2/4/6/9线,440万,泉东小区  | 1室1厅 | 37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0417a5da-9327-4d45-a680-9ff5554aa476.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊三村非底层一房，精装修满五年，不靠路,240万,潍坊三村  | 1室1厅 | 33.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0ab3ae98-1e77-46d3-9a9e-40d9d322b0a9.jpg.296x216.jpg
20190504,浦东,潍坊,明珠A电梯高层 满五唯一 豪 两房 采光好,590万,开发浦东  | 2室1厅 | 67.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-410d72e0-68f7-456e-a890-47a787f0fa54.jpg.296x216.jpg
20190504,浦东,潍坊,繁荣昌盛+售后公房+税少+2469+八佰伴房主自荐,720万,繁荣昌盛  | 2室1厅 | 82.62平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-15e395a9-31b3-4e32-85b3-915d563af086.png.296x216.jpg
20190504,浦东,潍坊,mig zhu 电梯两房+满五唯一+离地铁世纪大道2.4.6.9,550万,东欣小区  | 2室1厅 | 62.43平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-df13c946-d491-4526-9de9-33a2ad6f45a9.png.296x216.jpg
20190504,浦东,潍坊,潍坊四村+精装修 +边套全明+看中可谈 +满五唯一,248万,潍坊四村  | 1室1厅 | 40.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8223f5a5-4a1f-4981-8b5e-05fc3d67a2ae.png.296x216.jpg
20190504,浦东,潍坊,满五唯一、单价9.6万、产权清晰、无户口、中等装修,395万,潍坊九村  | 1室1厅 | 40.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-def2d985-08c6-4739-b1a9-cd87b93bc88c.png.296x216.jpg
20190504,浦东,潍坊,潍坊十村 2室1厅 470万,470万,潍坊十村  | 2室1厅 | 52.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3937e662-235d-47ab-94c6-2b4337893d79.png.296x216.jpg
20190504,浦东,潍坊,双露台+近浦电路站+背靠东方明珠+明珠B+没占用,460万,潍坊九村  | 2室0厅 | 47.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7bd1235a-c0e5-4386-8e28-679353667941.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村少有大双南户型，之前48平成交价405万。,370万,潍坊八村  | 2室1厅 | 52.3平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-61be5ae1-65e3-4a89-9d05-b997e3f6cbca.png.296x216.jpg
20190504,浦东,潍坊,新光大楼，精装修，户型好，楼层佳，税各付,620万,新光大楼  | 2室1厅 | 73.43平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-70befb08-2e0d-4c06-b217-da8bbbab965d.jpg.296x216.jpg
20190504,浦东,潍坊,浦明师范，精装好楼层，总价低一套，小区中间，近地铁,260万,潍坊二村  | 1室1厅 | 37.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9a551d43-9160-4d6b-b227-c0199e86cd95.png.296x216.jpg
20190504,浦东,潍坊,稀有双南两房！过了此村没这店！看房很方便！不要犹豫,468万,潍坊九村  | 2室1厅 | 49.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f44a6179-4723-4a5f-80af-a855a6b8020a.png.296x216.jpg
20190504,浦东,潍坊,世纪大道精装三房 自住的好选择,820万,繁荣昌盛  | 3室1厅 | 112.88平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3342d901-a20c-4d06-8a85-1de9f3ecc373.png.296x216.jpg
20190504,浦东,潍坊,2楼一室半、南北通全明户型、看房随时方便,275万,潍坊四村  | 1室1厅 | 41.36平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4ad0fb4c-6556-4302-899f-5dfbe0bc7cfb.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村，双南两房，采光充足，精装修，诚意出售,315万,潍坊一村  | 2室0厅 | 49.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1f7c7ec5-f057-4f6b-881d-4b20c53507ad.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊七村 两房朝南 小区位置 产权清晰 看房方便,450万,潍坊七村  | 2室1厅 | 46.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4ba5025-10fd-4eb8-8ae5-176a2d75c7c7.jpg.296x216.jpg
20190504,浦东,潍坊,小区在卖的这种小户型比较少业主诚意看房随时房主自荐,550万,泉东(二)小区  | 2室1厅 | 61.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f4bc537a-ee63-46cf-ba17-7c7ee8a1e0c4.png.296x216.jpg
20190504,浦东,潍坊,潍坊十村 1室1厅 405万,405万,潍坊十村  | 1室1厅 | 37.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2a93f72c-c72d-4db9-a8a1-21e56e2084b1.jpg.296x216.jpg
20190504,浦东,潍坊,泉东小区 南北两房 看房随时 世纪大道2469号地铁 诚售,500万,泉东(二)小区  | 2室1厅 | 49.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2d0afadc-5a3a-41ab-870e-5cd1f76196e4.png.296x216.jpg
20190504,浦东,潍坊,繁荣昌盛，楼层佳，采光好，满五，随时看,688万,繁荣昌盛  | 2室1厅 | 82.62平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a83deec6-867b-40b8-b004-aab53d79b3eb.jpg.296x216.jpg
20190504,浦东,潍坊,竹南小区小两居   中间楼层   不靠路,355万,竹南小区  | 2室1厅 | 41.77平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c0bf60cf-7416-45b9-aef0-9a645d210b8d.png.296x216.jpg
20190504,浦东,潍坊,潍坊板块+稍有小户型+独门独户+中间楼层+房东诚意出售,341万,潍坊四村  | 2室1厅 | 52.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-be6cd42a-a8bb-4469-bd2d-21276f6f0b4f.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊七村 大面积两房 房东诚心出售,498万,潍坊七村  | 2室1厅 | 60.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-66e212ef-f355-4bb3-a8b5-2be39699e547.jpg.296x216.jpg
20190504,浦东,潍坊,二梯队，全明户型，四楼，满五年唯一，户型正,368万,潍坊五村  | 2室1厅 | 52.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c2a1571d-9259-4fbb-932a-36606493bbab.jpg.296x216.jpg
