20190504,虹口,曲阳,东边套低价+精装+北一室户+内环+曲阳路8号地铁站新上,135万,玉田新村  | 1室0厅 | 29.1平米 | 东 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-140227e7-732b-4e14-be26-68085c4adedd.jpg.296x216.jpg
20190504,虹口,曲阳,精装优选两房一厅，南北的房型，税少，无户口，有客厅房主自荐,442万,建工天峰公寓  | 2室1厅 | 60.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2a0fc963-e992-43dd-8fda-c0e837fbd4c1.jpg.296x216.jpg
20190504,虹口,曲阳,玉田新村 1室0厅 215万,215万,玉田新村  | 1室0厅 | 35.46平米 | 南 | 毛坯 | 无电梯,
20190504,虹口,曲阳,小区内总价便宜一房  业主诚意出售房主自荐,130万,东体小区  | 1室0厅 | 26.08平米 | 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-daec2012-18c6-4e00-8dd6-6929e0dd35c8.png.296x216.jpg
20190504,虹口,曲阳,售后公房， 满五唯一，中间楼层，两房朝南采光无遮挡,377万,密三小区  | 2室1厅 | 60.67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-074f6a82-d948-4a55-8315-f61d1e896db2.jpg.296x216.jpg
20190504,虹口,曲阳,密云路471弄 2室1厅 325万新上,325万,密云路471弄  | 2室1厅 | 46.7平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1b2c5dff-509f-4325-a069-89b6c74759df.png.296x216.jpg
20190504,虹口,曲阳,内环内双南双天井且单价低前面总高6楼不遮挡+高得房率,450万,西二小区  | 2室1厅 | 76.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c01f520c-af5c-4bea-b638-12ad179b08b9.png.296x216.jpg
20190504,虹口,曲阳,交通便利，中等楼层，全明户型，产权清晰！,216万,曲阳路594号  | 1室0厅 | 33.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-568204a8-6069-4272-9b62-63ce1b4c48c6.png.296x216.jpg
20190504,虹口,曲阳,新装修一年，售后公房，3/8两线地铁交轨，配套齐全,406万,双东小区  | 2室1厅 | 53.05平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-681ecb8c-062c-476d-884a-8234bc9c1c10.jpg.296x216.jpg
20190504,虹口,曲阳,采光好+楼层好+毛坯房改变风格+改成婚房风格价格可谈,335万,巴林小区  | 2室1厅 | 52.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f75ce74b-0556-4653-a7a3-e9babe1782fc.png.296x216.jpg
20190504,虹口,曲阳,电梯房，低于市场价40万，让你的孩子赢在起跑线,453万,东五小区(虹口)  | 2室1厅 | 66.13平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a60cc400-4abe-4ee6-a84f-e8f896ff4079.png.296x216.jpg
20190504,虹口,曲阳,一周急售，一楼带天井，遇见就不在错过,220万,密二小区  | 1室1厅 | 40.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6d1c18ec-1bb9-4ee8-b91d-3e0b8032f8d6.jpg.296x216.jpg
20190504,虹口,曲阳,女儿同学 6月份毕业  精装修 业主诚意  好房子,350万,建工天峰公寓  | 1室0厅 | 35.9平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9669b831-b654-40a5-8dba-698583ef8119.jpg.296x216.jpg
20190504,虹口,曲阳,8/10号线500米+一楼垫高+天井采光好+信链家+有钥匙房主自荐,282万,四平路幸福村  | 2室1厅 | 45.67平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a6fba7e-032a-4207-bc97-530a481efd98.jpg.296x216.jpg
20190504,虹口,曲阳,松花小区 3室1厅 540万,540万,松花小区  | 3室1厅 | 99.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a7347e74-9cea-43f6-9b83-2685d9002dba.png.296x216.jpg
20190504,虹口,曲阳,售后公房，满五年，西边套全明，精装修，地铁口。,208万,西南小区  | 1室0厅 | 33.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7970f8d3-465a-468f-a11b-83a5cf7fa703.jpg.296x216.jpg
20190504,虹口,曲阳,有产权车位，一梯两户，原始飞机户型！双轨线不靠马路,1080万,飘鹰东方花园  | 3室2厅 | 148.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7d1ce030-52c7-42a0-9968-2b7aa590ebfc.png.296x216.jpg
20190504,虹口,曲阳,大西小区 1室0厅 213万新上,213万,大西小区  | 1室0厅 | 30.59平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3c37b0c0-15e2-4181-b3d1-740432500d04.png.296x216.jpg
20190504,虹口,曲阳,西南小区 2室0厅 305万,305万,西南小区  | 2室0厅 | 42.8平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c4245c99-4c58-4308-9f17-aff89a0aabe8.jpg.296x216.jpg
20190504,虹口,曲阳,赤峰小区，交通方便，电梯两房，有钥匙随时可看！,400万,赤峰小区  | 2室1厅 | 64.54平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bbd0b6e4-15d1-40a1-ae43-99833dd1d149.png.296x216.jpg
20190504,虹口,曲阳,密云路471弄 1室1厅 235万,235万,密云路471弄  | 1室1厅 | 39.07平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0d0d426f-26f5-4ecf-81c0-037d03fe17fe.jpg.296x216.jpg
20190504,虹口,曲阳,虹四可改两房+高得房率好采光+满五年唯一+诚售！房主自荐,428万,银联花园  | 2室1厅 | 58.88平米 | 东南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-85e770ed-7130-4757-b4ab-595579faaab6.jpg.296x216.jpg
20190504,虹口,曲阳,税费少 地铁 精装修 拎包住 生活便利房主自荐,250万,大二小区  | 1室1厅 | 46.87平米 | 东 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ff9603d3-18ce-4bc5-92ac-d676f5273652.png.296x216.jpg
20190504,虹口,曲阳,朝南精装修一室一厅小户型双地铁、靠医院、近大卖场,315万,东渡名人大厦  | 1室1厅 | 48.46平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-37a2aa45-2e90-4cf6-bc78-6b74beb46b58.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳板块，朝北一门关，楼层好，交通便利,143万,玉田新村  | 1室1厅 | 30.05平米 | 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f45a6c24-0d1c-46c0-8043-72bd233b7453.jpg.296x216.jpg
20190504,虹口,曲阳,小区中间的好位置，楼层好，全 明，采光好，有钥匙,243万,东体小区  | 1室1厅 | 39.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-89db6625-2176-45ea-a152-6653b5dda972.jpg.296x216.jpg
20190504,虹口,曲阳,春风十里，不如找到好房给你，钥匙房，随时可看！房主自荐,296万,东体小区  | 2室0厅 | 46.36平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-888d9005-78e6-4a43-b2ba-5e7abfa57d04.jpg.296x216.jpg
20190504,虹口,曲阳,地铁口150米，非顶楼，新装婚房，另附5.4平大阳台！,236万,大三小区  | 1室1厅 | 39.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7aedb9fa-a66d-4397-a8d5-ea5ea9e83b73.png.296x216.jpg
20190504,虹口,曲阳,90年竣工，4楼，随时可看！双南双阳台，南北通风。,485万,蒋家桥路15号  | 3室1厅 | 76.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-64b510e3-c111-4755-836e-efd4f3b5b3ec.png.296x216.jpg
20190504,虹口,曲阳,三房朝南双阳台，售后公房，满五唯一新上,595万,赤峰小区  | 3室1厅 | 87.83平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8faa7de7-d8b7-4aa2-b0f3-4d65813d73d5.jpg.296x216.jpg
20190504,虹口,曲阳,密云路471弄， 一梯四户，小区环境优美,253万,密云路471弄  | 1室1厅 | 41.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7916dd64-c377-4a4c-9124-20faff42e827.jpg.296x216.jpg
20190504,虹口,曲阳,竣工于73年，一梯四户，实际大于产证，精装正气，诚售,460万,大二小区  | 2室2厅 | 68.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e01fed7c-5e58-4aae-bc34-faaaf74cfb6c.png.296x216.jpg
20190504,虹口,曲阳,内环内 总价低 全明户型 出行便利 诚意出售看房方便,195万,赤峰小区  | 1室1厅 | 35.17平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2381bc2f-21a2-48db-9851-39471daa2fad.jpg.296x216.jpg
20190504,虹口,曲阳,同济大学复旦大学双校区，看房方便,305万,运光路53号  | 2室1厅 | 52.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-894c8599-311b-4ec4-9ba7-6f7d712b8c10.png.296x216.jpg
20190504,虹口,曲阳,精选一室户+地铁超市就家门口+房子诚意出售+急售急售,230万,密三小区  | 1室1厅 | 39.53平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-81872c88-9824-4994-bae1-c027efcc31f2.jpg.296x216.jpg
20190504,虹口,曲阳,满五年唯一楼层好+视野宽阔采光充足曲阳百联9月份开业,1240万,复城国际(公寓)  | 3室2厅 | 160.86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6094363a-5128-4633-9215-9cc7cd611aff.png.296x216.jpg
20190504,虹口,曲阳,双南户型，采光好，楼层佳，地理位置优越,285万,八一小区  | 2室0厅 | 48.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3e1f2842-36ef-4e39-a323-aa3507070a76.jpg.296x216.jpg
20190504,虹口,曲阳,东体小区 1室1厅 243万,243万,东体小区  | 1室1厅 | 39.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-65b8d8e9-0674-4487-b8c2-8feb2b9f6b0e.jpg.296x216.jpg
20190504,虹口,曲阳,房型好 楼层佳 采光无遮挡 业主诚意出售,450万,密云花苑  | 2室1厅 | 64.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-84c971d7-a9e0-495d-94ee-2499bf0bd69f.jpg.296x216.jpg
20190504,虹口,曲阳,美丽家园，1985年竣工，一梯三户，满五唯一，8/10号线,318万,蒋家桥小区  | 2室1厅 | 54.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3194fe72-9112-40d3-a1a8-77fba26e854d.jpg.296x216.jpg
20190504,虹口,曲阳,家乐福后面，双轨交通，83年一室半，小区中间位置,220万,玉田新村  | 1室1厅 | 35.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-98539328-3d2c-41fa-b0c3-22a03b9b8341.jpg.296x216.jpg
20190504,虹口,曲阳,三条主干道,套内面积50平,满五唯一,20万精装,95成新房主自荐,380万,祥东小区(虹口)  | 2室1厅 | 60.57平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0fef195a-776d-4bcb-8692-c77b1f00035e.jpg.296x216.jpg
20190504,虹口,曲阳,内环内 双南户型 精装拎包住 苏大强看了都心动 诚售,285万,大三小区  | 2室0厅 | 49.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49bc7320-77d0-4281-8d70-ab5c552a5a7a.jpg.296x216.jpg
20190504,虹口,曲阳,文明楼，+全南户型+双阳台，家乐福就在家门口,400万,玉田新村  | 2室1厅 | 69.94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-13b530a4-371d-486e-b788-e68d004e9cee.jpg.296x216.jpg
20190504,虹口,曲阳,东四小区 3室1厅 515万,515万,东四小区  | 3室1厅 | 64.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b93492ea-6031-42e4-944b-969a539530d5.jpg.296x216.jpg
20190504,虹口,曲阳,两室两厅两卫，婚房装修，层高3.3米，拎包入住,505万,玉田新村  | 2室2厅 | 93.71平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4884a027-7186-4487-8c32-cd6f20f7aa3a.jpg.296x216.jpg
20190504,虹口,曲阳,东体小区 1室1厅 410万,410万,东体小区  | 1室1厅 | 57.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c6738297-4387-4625-a873-343beecf34d5.jpg.296x216.jpg
20190504,虹口,曲阳,采光好+单价低！确认过眼神遇见对的房子,185万,巴林路60弄  | 1室1厅 | 35.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1117864d-e360-4940-9502-579d324014cf.png.296x216.jpg
20190504,虹口,曲阳,曲阳东体 南北大两房 户型正气 楼层好,318万,东体小区  | 2室1厅 | 52.94平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f142a177-6e87-4e6d-80f0-bcca23cc25a4.jpg.296x216.jpg
20190504,虹口,曲阳,地铁8、10号线 一梯两户 南北两房 小区位置佳 诚售,295万,四平路幸福村  | 2室1厅 | 50.62平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-94154918-e87f-4965-9441-2746ff01c7fc.jpg.296x216.jpg
20190504,虹口,曲阳,房型好 楼层佳 采光无遮挡 业主诚意出售,430万,赤峰小区  | 2室1厅 | 66.46平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6d349e2c-6591-447e-9ffc-eb24c42670ee.jpg.296x216.jpg
20190504,虹口,曲阳,楼层好 总价低  满五唯一税费少 诚信出售,360万,曲阳林云小区  | 2室1厅 | 61.77平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fb4704ef-50e4-43c1-9be1-52f75ee38f7e.jpg.296x216.jpg
20190504,虹口,曲阳,电梯中间楼层两房，全明户型，急售价格可谈！！,472万,邮电二村  | 2室1厅 | 66.04平米 | 东 西 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6eb0bb6f-ffc1-46eb-a9fa-37008fe7cf65.jpg.296x216.jpg
20190504,虹口,曲阳,东体小区 精装修  看房方便 诚意出售,323万,东体小区  | 1室1厅 | 50.61平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-15c69b66-6e60-4c45-8734-84994a3ef422.png.296x216.jpg
20190504,虹口,曲阳,精装朝南一室户，正对小区花园，全天采光无遮挡房主自荐,210万,巴林小区  | 1室0厅 | 35.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2cae16c3-e4f2-4e66-8f1e-df42942ee17d.png.296x216.jpg
20190504,虹口,曲阳,精装一室户，南北户型，满五，86年房龄,215万,西南小区  | 1室1厅 | 34.84平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-458a24ca-522d-41d8-81b4-90a56e2b5c0b.png.296x216.jpg
20190504,虹口,曲阳,阁楼两房两厅，20平阁楼，高品质，地铁下楼就是随时看,335万,玉田新村  | 2室2厅 | 68.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc0896d1-6572-466e-8ff7-b895fbe7cd37.jpg.296x216.jpg
20190504,虹口,曲阳,邮电二村 3室1厅 710万房主自荐,710万,邮电二村  | 3室1厅 | 92.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a1b98e6-acf0-41c2-bbf3-52f0b172ed84.jpg.296x216.jpg
20190504,虹口,曲阳,运光小区 2室1厅 385万,385万,运光小区  | 2室1厅 | 62.01平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-27466289-db79-4085-9879-e00a933ef5c1.jpg.296x216.jpg
20190504,虹口,曲阳,鲁迅公园一路之隔 近地铁8号线上海外国语 拎包入住,195万,大连西路540弄  | 1室0厅 | 31.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2f2a43d1-4c13-48fb-bbf2-84227140b511.jpg.296x216.jpg
20190504,虹口,曲阳,三号线地铁站 两室户 总价低 满五年 配套齐备,380万,上农新村  | 2室0厅 | 45.21平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3ed23248-ab34-4fa8-b6a6-0c834a43faf8.png.296x216.jpg
20190504,虹口,曲阳,中间楼层一室半户型，精装修，小区里面，1梯4户,213万,祥东小区(虹口)  | 1室1厅 | 36.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-90721db5-027a-4cb2-acde-6dc2e25987f2.jpg.296x216.jpg
20190504,虹口,曲阳,内环内，全明一室户型，地铁出行方便，诚意出售,258万,密云路471弄  | 1室1厅 | 40.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-af34f21c-98cb-4d0b-b261-f2111658aa1a.jpg.296x216.jpg
20190504,虹口,曲阳,虹连大楼 1室1厅 295万新上,295万,虹连大楼  | 1室1厅 | 43.78平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b61a17ba-e332-4f1a-8801-29987f6e48ad.jpg.296x216.jpg
20190504,虹口,曲阳,边套全明小户型，近8/10双轨交通，自住/出租两相宜,225万,大西小区  | 1室1厅 | 34.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-67846070-b1a6-4efc-853a-b078403856b9.jpg.296x216.jpg
20190504,虹口,曲阳,精装修两房一厅，满五年无增值税，边套全明带天井,420万,密二小区  | 2室1厅 | 62.51平米 | 东 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b07e5aee-f3f2-45aa-a256-c628d48b309b.jpg.296x216.jpg
20190504,虹口,曲阳,南北格局，楼层好，采光足，一梯两户，精装修拎包入住房主自荐,485万,建工天峰公寓  | 2室1厅 | 60.52平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3f494912-f259-4a1f-b563-2ceb3aa17ace.png.296x216.jpg
20190504,虹口,曲阳,邮电二村 3室1厅 708万,708万,邮电二村  | 3室1厅 | 95.05平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-96afc130-a8d1-4fd1-a4e4-39b29679d6ae.jpg.296x216.jpg
20190504,虹口,曲阳,文明示范小区 可做顶楼复式 双轨 一梯三户 房东诚售！,325万,蒋家桥小区  | 2室1厅 | 54.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-56e9c502-b455-4c1f-823b-313832a8d560.jpg.296x216.jpg
20190504,虹口,曲阳,售后公房 满五年唯一 小三房 看房提前预约 花园小区,480万,巴林小区  | 3室1厅 | 67.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-36db06be-5329-4287-ada7-20689dd09120.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳林云小区 2室1厅 330万,330万,曲阳林云小区  | 2室1厅 | 52.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8c531570-b753-4d16-a8f7-f27d2fe65a9f.jpg.296x216.jpg
20190504,虹口,曲阳,蒋家桥小区 2室2厅 320万,320万,蒋家桥小区  | 2室2厅 | 51.72平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b232bec2-8122-438c-82e9-1d589606aefd.jpg.296x216.jpg
20190504,虹口,曲阳,电梯房南北套   全明  仅此一套  机会难得,512万,邮电二村  | 2室1厅 | 66.04平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ec48df0b-c29a-4200-8506-d3a33c95f800.jpg.296x216.jpg
20190504,虹口,曲阳,1987年房龄+曲阳路站+内环+带大阳台+五楼+品质小区,197万,玉田新村  | 1室0厅 | 31.73平米 | 西南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a18d7879-787e-4c3b-837a-0eaf54aab8eb.jpg.296x216.jpg
20190504,虹口,曲阳,楼层好，全明户型，交通便利，诚意出售,340万,密二小区  | 2室0厅 | 51.63平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-51e2a55b-a9e6-45db-b581-0c9a500cd743.jpg.296x216.jpg
20190504,虹口,曲阳,57年房龄+精装+朝北一室户+内环+曲阳路8号地铁站,143万,玉田新村  | 1室0厅 | 25平米 | 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bfef7ee4-672d-4d52-9025-7529039922b0.png.296x216.jpg
20190504,虹口,曲阳,宝钢式东南朝向，采光好，满五唯一，诚心出售,325万,西南小区  | 2室1厅 | 51.49平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c6555623-4863-4bee-ae8d-6198f025c639.jpg.296x216.jpg
20190504,虹口,曲阳,精装修 满五不唯一 周末方便看房 户型正气 诚意出售,350万,上外中山大楼  | 2室0厅 | 56.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6af9f29c-c0d3-48c5-8031-4f2a08dbf350.jpg.296x216.jpg
20190504,虹口,曲阳,密二小区 2室1厅 330万新上,330万,密二小区  | 2室1厅 | 46.06平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-63ae15bf-a272-4e3c-ab86-98a96ddffdf4.jpg.296x216.jpg
20190504,虹口,曲阳,正规一房一厅，边套全明，楼层高采光好，有钥匙随时看,238万,赤峰小区  | 1室1厅 | 39.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad53c0c8-6942-4928-beaf-ed3fe046f721.jpg.296x216.jpg
20190504,虹口,曲阳,振新大厦 2室2厅 475万,475万,振新大厦  | 2室2厅 | 89.5平米 | 东 东南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5e33f514-3a4f-42d7-a0e8-00011fce0a54.jpg.296x216.jpg
20190504,虹口,曲阳,运光路90弄 1室1厅 250万,250万,运光路90弄  | 1室1厅 | 41.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fab7f8fe-9af7-460c-8988-febbec9d09e7.jpg.296x216.jpg
20190504,虹口,曲阳,250米8号线，东,南朝向，一室一厅高层电梯房，家乐福,335万,东渡名人大厦  | 1室1厅 | 54.88平米 | 东 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-83ea1a29-c843-44b2-8942-4774dd783d4e.jpg.296x216.jpg
20190504,虹口,曲阳,满五年唯一，西边套全明，诚意出售，近地铁，有钥匙。,230万,大二小区  | 1室1厅 | 39.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5bed36d6-77e7-4d63-badc-7fab4e6792ff.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳路8号地铁站+1965年房龄+内环普通住宅+双南户型,335万,玉田新村  | 2室1厅 | 63.84平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3096e27f-7212-4b32-ba89-e3b2d03f9582.jpg.296x216.jpg
20190504,虹口,曲阳,东边套全明，一室半带天井，小区中间，位置安静,245万,密二小区  | 1室1厅 | 38.43平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c2e7dfd5-96ea-42df-8eac-95824251dcb7.jpg.296x216.jpg
20190504,虹口,曲阳,满五年 复式错层格局 现代风 采光好位置好，交通便利,440万,赤峰小区  | 2室1厅 | 74.9平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c0188579-5ec3-470a-8c6a-5231a8d5025a.jpg.296x216.jpg
