20190504,浦东,川沙,两房朝南 厅采光明亮 中等装修  位置好 楼层佳,215万,南桥小区  | 2室1厅 | 64.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecf3016d-2510-4b6d-9cbf-627bd8ea087b.jpg.296x216.jpg
20190504,浦东,川沙,此房满五唯一，采光好 ，有固定租赁车位  诚意出售,280万,界龙花苑  | 2室2厅 | 82.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-441e06de-8c55-460e-820c-8cd20cf19905.jpg.296x216.jpg
20190504,浦东,川沙,翔川家园 满五年 一手动迁 带天井 看房方便 价格可谈,330万,翔川家园  | 1室2厅 | 64.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-795032a4-ac46-464f-8490-c328ff1a6968.jpg.296x216.jpg
20190504,浦东,川沙,凌空路通车，精装修带阁楼，采光好，南北通透双阳台,305万,凌港城  | 3室2厅 | 103.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ebe11765-8131-4c62-b488-f51345736f87.jpg.296x216.jpg
20190504,浦东,川沙,此房满五唯一省个税，自住装修，楼层好，诚意出售。房主自荐,248万,城南小区  | 3室1厅 | 78.21平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-771ea4bf-6605-4729-a8e5-4f6a69777e4e.png.296x216.jpg
20190504,浦东,川沙,曙光南桥小区 两房朝南户型正气 满五年 带露台,240万,曙光南桥小区  | 2室1厅 | 68.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ce11dfa9-11eb-4485-beb6-e3826d81cc05.png.296x216.jpg
20190504,浦东,川沙,2001年商品房 新小区 满五唯一 精装 楼层好 诚心卖,415万,华盛名门  | 2室2厅 | 113.71平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d7baf994-5749-4b97-be93-26c078c046bc.jpg.296x216.jpg
20190504,浦东,川沙,川沙路4650弄 诚意出售 配套丰富 交通便捷,162万,川沙路4650弄  | 1室1厅 | 45.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9a6f2d93-6d02-4a33-a9b9-62c4a9c94313.jpg.296x216.jpg
20190504,浦东,川沙,次新房，位置好，一手动迁，总价低，看房方便，急卖！,312万,心圆西苑  | 2室2厅 | 74.3平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-4ecef46e-2a9a-49da-802f-0c611de7ae56.png.296x216.jpg
20190504,浦东,川沙,沙田公寓 精装两房 业主自住满五唯一 诚意出售可谈,255万,沙田公寓  | 2室1厅 | 70.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7f4dbecd-bf30-4376-9099-79e16455b9a3.jpg.296x216.jpg
20190504,浦东,川沙,金湾佳苑南北格局的2房，总价低，户型正气 看房随时新上,205万,金湾佳园  | 2室2厅 | 75.91平米 | 南 | 简装 | 无电梯,
20190504,浦东,川沙,绿地云悦房 精装修 复式小两房 总价低 刚需房源新上,140万,绿地云悦坊  | 2室1厅 | 38.89平米 | 南 北 | 精装 | 有电梯,
20190504,浦东,川沙,鼎鑫名流苑精装修两居，南北户型满五年唯一;带租车位房主自荐,390万,鼎鑫名流世家  | 2室2厅 | 92.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7e61f672-537b-4dc0-a3f8-0eb443e14184.png.296x216.jpg
20190504,浦东,川沙,界龙花苑 近地铁 左手家乐福右手百联 出行购物一条龙房主自荐,388万,界龙花苑  | 3室2厅 | 108平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1194ef49-1caf-41bc-a903-385ed875bf5d.png.296x216.jpg
20190504,浦东,川沙,天环苑2008年竣工，小区面对生活广场2居室中间楼层,220万,天环苑  | 2室1厅 | 76.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d824f970-4bc2-4a3d-a804-ddf41e417cb2.png.296x216.jpg
20190504,浦东,川沙,急售！满五唯一，双南两房；采光佳视野好。产权清晰,188万,河滨小区  | 2室1厅 | 59.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-49e78b3a-7b30-4d03-8073-16873fa47c86.png.296x216.jpg
20190504,浦东,川沙,南北户型，满5年，产权清晰，电梯楼层，拎包入住房主自荐,595万,鼎鑫名流世家  | 3室2厅 | 138.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-53de050c-b655-4bb7-9634-8e2aa50ec943.jpg.296x216.jpg
20190504,浦东,川沙,南市街小区，2房朝南，观澜边，沿河景观，随时看房,230万,南市街小区  | 2室1厅 | 63.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-851cfdaa-53db-4a1f-82b3-7d1be4cd9c81.png.296x216.jpg
20190504,浦东,川沙,08年商品房 小区中间位置 环境优美 读书的小区,500万,贝越水岸名邸  | 2室2厅 | 101.22平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ae11613d-37ea-4712-83f9-132677c1b4ac.png.296x216.jpg
20190504,浦东,川沙,合欢公寓 3室2厅 435万房主自荐,435万,合欢公寓  | 3室2厅 | 130平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-838dc351-8dea-440e-88e1-88f09b742668.png.296x216.jpg
20190504,浦东,川沙,南北通透+满五唯一!位置佳随时看房，产权清晰无户口,398万,鼎鑫名流世家  | 2室2厅 | 92.72平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-12638453-b334-4ef9-8841-cdba63b733a4.jpg.296x216.jpg
20190504,浦东,川沙,临丰小区  双南户型采光好楼层佳不临街视野开阔随时看,225万,临丰小区  | 2室1厅 | 65.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3714f6f4-6a7f-4320-b615-e2b4a8974a40.png.296x216.jpg
20190504,浦东,川沙,南北通3房，自住保养好，拎包入住，好谈价，诚心出售,470万,阳光城愉景湾  | 3室2厅 | 89.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a7333e20-ea38-401a-b093-8dd99a6ef331.png.296x216.jpg
20190504,浦东,川沙,中楼层 三房朝南好户型 总价适中 中等装修 诚意出售新上,300万,上浦小区  | 3室1厅 | 91.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0d066dac-ec63-494d-94bb-f31adb78717b.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 95年精装小两房 业主置换诚意出售 看中可谈,265万,沙田公寓  | 2室1厅 | 71.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-39102408-8575-4859-aada-0e714065cb36.png.296x216.jpg
20190504,浦东,川沙,和憬家园 双南 南北之通 高区景观楼层 华西,440万,和憬家园  | 2室2厅 | 88.61平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c570ff1e-457d-4cc8-8a5a-27cb74af81ab.jpg.296x216.jpg
20190504,浦东,川沙,一梯两户 满4年 没有增值税 观  兰 看房方便新上,238万,石皮路小区  | 2室1厅 | 63.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-01902731-0fd6-44c8-8e9d-df6f200f05ae.jpg.296x216.jpg
20190504,浦东,川沙,东方城市绿洲2009年电梯商品房，经典2房，自住装修,365万,东方城市绿洲  | 2室2厅 | 87.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e0a02325-c673-422a-a049-f1b05c6b1465.png.296x216.jpg
20190504,浦东,川沙,鑫唐绿波庭 南北2房 4楼精装修，直接拎包入住,209万,鑫唐绿波庭  | 2室2厅 | 76.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4d0702b3-1da7-48d9-8cb2-63124a8dad2b.png.296x216.jpg
20190504,浦东,川沙,不靠路的大三房 南北通正气户型 装修一年,635万,鼎鑫名流世家  | 3室2厅 | 139平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5824156f-0a74-4332-a53d-12b5704b76f3.png.296x216.jpg
20190504,浦东,川沙,妙栏小区3房 满五年且唯一 交通便利税费少 随时看急卖,320万,妙栏路392弄  | 3室1厅 | 87平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6e49a54-c6d8-44c1-8d95-278c047eefa3.jpg.296x216.jpg
20190504,浦东,川沙,精装修两房 双南户型 满五唯一税费少,270万,曙光路25弄  | 2室1厅 | 71.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8297e4ef-7503-40bc-a1b9-edfdb717ac9c.png.296x216.jpg
20190504,浦东,川沙,沙田公寓95年商品房 业主自住精装可拎包入住 诚心出售,320万,沙田公寓  | 3室1厅 | 90.25平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fc2ab7be-5be8-47db-aca5-21e4e47974cc.jpg.296x216.jpg
20190504,浦东,川沙,绿海三期复式房南北通透，即买即住附带露台！满五唯一,529万,绿海家园  | 3室2厅 | 174.74平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c7a8e9d4-d2b9-4b29-9bd4-5f3bdb9362e7.jpg.296x216.jpg
20190504,浦东,川沙,金湾佳园 2室2厅 210万新上,210万,金湾佳园  | 2室2厅 | 75.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-091a3e62-96fd-45bd-94dd-a26ff23d6d49.jpg.296x216.jpg
20190504,浦东,川沙,和憬家园 09年商品房 近华夏东路地铁站 看房方便,430万,和憬家园  | 2室2厅 | 88平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b51cd487-47ca-4285-9da4-fd95bf15f224.jpg.296x216.jpg
20190504,浦东,川沙,此房是商品房，满五唯一！经典3房，户型正气.。,440万,心圆东苑  | 3室2厅 | 100.62平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-711fab00-8ee6-4853-a94f-70e622c2cd75.png.296x216.jpg
20190504,浦东,川沙,12年电梯动迁房+南北通透+楼层好采光好+纯毛坯+急售,370万,心圆东苑  | 2室2厅 | 77.76平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f5f54b6a-70e4-4730-aba9-6dc9795530b2.jpg.296x216.jpg
20190504,浦东,川沙,小区中间位置，出入方便，居住清净，房龄新，房型好。,225万,海霞佳苑  | 2室2厅 | 83.31平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ba7f9616-de35-402e-8c08-0ba9a8af86b8.jpg.296x216.jpg
20190504,浦东,川沙,明厨明卫，卧室二房朝南一房北 的户型 房东诚心出售,360万,妙境一村  | 3室1厅 | 93.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9b7ef953-4313-4bfe-b999-a4a1e8be296b.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫名流苑是2009年次新房 带电梯户型方正 诚心售,550万,鼎鑫名流世家  | 3室2厅 | 138.76平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-343da096-4657-4545-826e-82a5cea479f7.jpg.296x216.jpg
20190504,浦东,川沙,房型正气无遮挡，一手动迁无增无个，楼层适中看房方便,415万,翔川家园  | 2室1厅 | 79.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-aa143525-3cd1-472a-95bb-196f7a3251a8.png.296x216.jpg
20190504,浦东,川沙,万馨变现价位可谈中市街园西税费少精装修满五唯一，,460万,万馨佳园  | 3室2厅 | 119.36平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-225ca633-0125-488a-8781-bf699e0024cb.jpg.296x216.jpg
20190504,浦东,川沙,思凡花苑一街坊 2室1厅 205万,205万,思凡花苑一街坊  | 2室1厅 | 73.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-03e19a43-6b37-40d4-975a-9160b0915427.png.296x216.jpg
20190504,浦东,川沙,房源，精装修，满五唯一，南北通透户型，置换诚意卖,325万,舒馨北苑  | 2室2厅 | 83平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-84b6eb12-9ba8-4dab-995a-80e4d969c026.png.296x216.jpg
20190504,浦东,川沙,象屿自住精装修三房 前后无遮挡 诚心出售 看房方便,640万,象屿鼎城(公寓)  | 3室2厅 | 122.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3446ab6e-6f44-47ef-ad8b-1e347201a3d2.jpg.296x216.jpg
20190504,浦东,川沙,自住装修    交通便利   配套齐全   上学方便,246万,妙栏路200弄  | 1室1厅 | 52.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fcd40861-39b0-4d0e-a5e0-d434b4fc549b.png.296x216.jpg
20190504,浦东,川沙,凯佳公寓优选房源，业主诚意出售。,745万,凯佳公寓  | 4室1厅 | 138平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-720c60a1-4205-4463-af35-ca3399b01fb5.png.296x216.jpg
20190504,浦东,川沙,阳光城愉景湾3房出售500万随时可以看房,475万,阳光城愉景湾  | 3室2厅 | 91平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1e862aaf-d282-46fe-b7a5-a4787d151698.png.296x216.jpg
20190504,浦东,川沙,运通路728弄 3室1厅 200万,200万,运通路728弄  | 3室1厅 | 74.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-00986872-8fa2-4e0e-9ffe-ca9e8cfcdd6c.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一免个税，购房省心上链家。,335万,妙境公寓  | 3室2厅 | 105.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2390104e-bed6-471a-ac90-5a32b1970c79.png.296x216.jpg
20190504,浦东,川沙,2012年次新房+总价低+一手动迁税费少+无户口无抵押,393万,心圆西苑  | 3室2厅 | 108.66平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c9babd1a-12fc-4865-bdc6-df9f2e979d65.png.296x216.jpg
20190504,浦东,川沙,城南小区精装两居室 一梯两户双南户型 厨卫全明,270万,城南小区  | 2室2厅 | 85.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4141d637-a26e-4d2a-b86a-f857f48a8928.png.296x216.jpg
20190504,浦东,川沙,临河小区，满五唯一，交通方便，诚心出售，可随时看房,272万,临河小区  | 2室1厅 | 75.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-58fa72c1-a0d8-4ab1-afed-8d6d96ad1455.png.296x216.jpg
20190504,浦东,川沙,舒馨北苑   环境优雅    交通便捷,430万,舒馨北苑  | 3室2厅 | 100.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cdd38891-5863-40bd-a6cf-fdd3ec98c665.jpg.296x216.jpg
20190504,浦东,川沙,舒馨北苑    园西              环境优雅,330万,舒馨北苑  | 2室2厅 | 74.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a44898c1-fe98-4795-ba85-2a4fb6fc30f3.jpg.296x216.jpg
20190504,浦东,川沙,六楼采光好 无遮挡 交通便利 配套设施齐全 户型方正,290万,晨光公寓  | 3室2厅 | 94.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ac24f645-0a16-475f-998c-e80bb0cba74e.png.296x216.jpg
20190504,浦东,川沙,06年商品房，带大院子，可以种花草树木房主自荐,310万,瀚龙苑  | 2室2厅 | 76.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-061b2730-b6d4-4cde-8bd9-3167475220e0.png.296x216.jpg
20190504,浦东,川沙,一手动迁带装修 楼层好 南北户型 川中九年制 看房约,480万,心圆西苑  | 3室2厅 | 100.66平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4c44b5cc-ec81-453c-8c7d-74a9e9e5ab0d.jpg.296x216.jpg
20190504,浦东,川沙,一楼带天井，精装小一房，总价低,185万,城南居委小区  | 1室1厅 | 40.01平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-69aefcfd-e843-467a-8001-7a8000555fc4.png.296x216.jpg
20190504,浦东,川沙,施湾商圈一房 楼层好 可随时看房 满五唯一 全款,148万,恒纬家苑  | 1室1厅 | 57.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dc37a9df-b2a2-4c6f-ad6d-d812af2991bb.png.296x216.jpg
20190504,浦东,川沙,思凡馨苑底楼两房带院子 户型好 诚意出售,223万,思凡馨苑  | 2室2厅 | 80.16平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f621cda7-bbae-4aad-abb1-55ecbe1c4363.jpg.296x216.jpg
20190504,浦东,川沙,房型方正南北通，原3房业主诚意出售,300万,妙境路715弄  | 3室2厅 | 93.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cf367b49-2e4e-4f48-bfa9-881297c38b29.png.296x216.jpg
20190504,浦东,川沙,舒馨北苑        环境优雅,460万,舒馨北苑  | 3室2厅 | 118.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-856528cb-0e33-4d4b-8b73-fc4a50c45ef8.jpg.296x216.jpg
20190504,浦东,川沙,金顺家园 07年小区 交通便利 毛坯装修装 顶楼带阁楼,208万,金顺佳苑  | 2室1厅 | 77.68平米 | 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f713d623-afb0-4e09-916e-d1a399dc7e92.png.296x216.jpg
20190504,浦东,川沙,界龙花苑 2室1厅 350万,350万,界龙花苑  | 2室1厅 | 81.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f63a7572-9e4c-47e0-ad94-72eb00c550dc.png.296x216.jpg
20190504,浦东,川沙,好房子 近地铁2号线南北两房 满五年随时看 诚心出手,360万,王桥苑  | 2室2厅 | 93.84平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c2d7fee1-1740-4df4-9d6b-2ac59b4cc8ad.jpg.296x216.jpg
20190504,浦东,川沙,64平两房、双南户型、地鉄800米 有钥匙随时看,215万,青厦小区  | 2室1厅 | 64.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f5c2073b-15f1-40ba-b42e-9563d5fdebb9.png.296x216.jpg
20190504,浦东,川沙,观澜 五三 楼层好 总价低 看房方便 房东诚心出售,215万,南桥小区  | 2室1厅 | 59.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9b556c0f-f116-4718-8844-57a77058bcc2.png.296x216.jpg
20190504,浦东,川沙,一手动迁税费少，户型不错带阁楼，拎包入住空置中！,425万,翔川家园  | 2室2厅 | 79.97平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ab45602b-a6dd-452f-9fbb-6e1d80cb6a10.jpg.296x216.jpg
20190504,浦东,川沙,电梯商品房，两房朝南采光好，靠迎宾高速，浦东机场。,300万,天和湖滨家园(公寓)  | 2室2厅 | 85.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-628fa239-fd9a-465a-979d-2a2dcc014a37.png.296x216.jpg
20190504,浦东,川沙,象屿精装修三房 高层电梯房 景观好 视野开阔无遮挡,690万,象屿鼎城(公寓)  | 3室2厅 | 122.17平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1e80f059-bdc9-43b9-b7f0-0a40266f8295.png.296x216.jpg
20190504,浦东,川沙,沙田公寓 正宗复式房 小区位置好 业主急售看中可谈,316万,沙田公寓  | 3室1厅 | 99.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8cdd8544-fd86-477f-8647-1202b20f0363.jpg.296x216.jpg
20190504,浦东,川沙,一手动迁 税费少 业主置换 诚意出售 看房方便,420万,翔川家园  | 2室2厅 | 79.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b2989357-c6bb-4d98-ac0e-ea0bee8f6d78.jpg.296x216.jpg
20190504,浦东,川沙,带大阁楼合欢公寓满五唯一原户型 采光好 诚心出售,286万,合欢公寓  | 1室2厅 | 70.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0d1fbb1f-bf23-4ff9-8774-fc9b720b6ab9.jpg.296x216.jpg
20190504,浦东,川沙,见龙苑精装大两房，看房方便 诚意出售  满五唯一,406万,见龙苑  | 2室2厅 | 100.6平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8604c74f-ca83-40ce-88eb-1abd81154e7d.png.296x216.jpg
20190504,浦东,川沙,满五唯一     小三房  总价低,310万,华沙一村  | 3室1厅 | 88.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2e900729-f6e2-404f-94d6-41d19a875193.jpg.296x216.jpg
20190504,浦东,川沙,妙城公寓 3室2厅 530万,530万,妙城公寓  | 3室2厅 | 139.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d048a5b2-b4c1-4c9b-87a3-bd5ccb0cf693.jpg.296x216.jpg
20190504,浦东,川沙,顺馨佳园一手动迁满五唯一 正气三房随时看房,505万,顺馨佳园  | 3室2厅 | 121.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fa7fcc9a-d06e-4d13-8864-9e1578a52051.jpg.296x216.jpg
20190504,浦东,川沙,益民路小区 2室1厅 220万新上,220万,益民路小区  | 2室1厅 | 66.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f57476b3-a3d8-4c34-8f63-ec0483a8b483.jpg.296x216.jpg
20190504,浦东,川沙,13年川沙品质小区 小区中间位置采光好,626万,象屿鼎城(公寓)  | 3室2厅 | 122.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7f09cad7-905f-4f3d-bbb6-18e7e12e27ea.jpg.296x216.jpg
20190504,浦东,川沙,新德三村自住装修 楼层好，居中位置 刚需人群速看！,157万,新德三村  | 1室1厅 | 43.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bc8ebd31-802d-44f1-9581-a8222cee4bbb.png.296x216.jpg
