20190504,闵行,吴泾,双卧朝南  户型正气  楼层好,220.5万,通海一小区  | 2室1厅 | 64.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2eec78e0-9a6a-42ab-a21a-6bdb5d678265.jpg.296x216.jpg
20190504,闵行,吴泾,万科精装大三房  小区位置佳  带产权车位房主自荐,572万,万科阳光苑  | 3室2厅 | 139.24平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4b49d2c9-4bf4-44ea-b982-d44a913dc26c.jpg.296x216.jpg
20190504,闵行,吴泾,一期商品房，双南双天井，客厅附带大飘窗 诚意出售,315万,紫晶南园  | 2室1厅 | 86.29平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-507c3cfd-bc1f-447c-87fe-403361bbdc1a.jpg.296x216.jpg
20190504,闵行,吴泾,少有户型 大三房 边套临河 装修50万房主自荐,660万,嘉怡水岸(公寓)  | 3室2厅 | 143.91平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ff3495ae-b3d8-46dc-876e-13c540531e47.jpg.296x216.jpg
20190504,闵行,吴泾,品质小区 配套完善 看房方便 随时可看,350万,万科阳光苑  | 3室1厅 | 88.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1017fb4e-28a3-4a65-9e42-251ff3cf5a4b.png.296x216.jpg
20190504,闵行,吴泾,满五唯一，双南大两房，采光好，价格可谈！房主自荐,260万,龙吴路5599弄  | 2室1厅 | 81.28平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-45c63668-a67c-4d88-9d92-062a2e6a72d8.jpg.296x216.jpg
20190504,闵行,吴泾,满五唯一免个税+南北通小三房+电梯好楼层,380万,万科阳光苑  | 3室2厅 | 93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a2383d11-bc0f-4620-a43e-9a5ad5e54caa.png.296x216.jpg
20190504,闵行,吴泾,通海二  靠剑川路 宝秀路   房型方正 随时看房,315万,通海二小区  | 2室2厅 | 95.77平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-49c014ef-0cf2-4df8-be83-408b2b5e5d85.png.296x216.jpg
20190504,闵行,吴泾,双柏小区 2室1厅 200万,200万,双柏小区  | 2室1厅 | 65.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d0a5f93d-207a-48f9-b4b3-e332b51620a4.jpg.296x216.jpg
20190504,闵行,吴泾,三房动迁 增值税无，南北通透，楼层好，阳光充足房主自荐新上,440万,虹梅新苑  | 3室2厅 | 119.9平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-226caf7c-ddd2-440f-8aa2-cb0c6d310e89.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区 近永德路步行街 闹中取静 配套便利,189万,双柏小区  | 3室0厅 | 59.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5e956cde-44ae-4463-b983-f90a5ff7b919.jpg.296x216.jpg
20190504,闵行,吴泾,精装修 入住舒适 诚意出售 精装两房 入手拎包入住,210万,通海二小区  | 2室1厅 | 65.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f9ba99e7-571e-42e2-ba1a-530f4d192f47.jpg.296x216.jpg
20190504,闵行,吴泾,满五唯一房源，楼层适中，看房方便。房主自荐,335万,虹梅新苑  | 2室2厅 | 92.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-86fe9557-ade3-4f67-a2c3-e76370391e0c.png.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 精装修三房 楼层好 位置佳 诚心出售房主自荐,368万,万科阳光苑  | 3室1厅 | 91.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a5f5c923-dcdf-426f-ad9f-57e462da0377.jpg.296x216.jpg
20190504,闵行,吴泾,龙吴路5599弄，双南两房带天井，满五唯一,220万,龙吴路5599弄  | 2室1厅 | 75.01平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-30977f16-a2ec-400f-b8ed-298771a243ea.jpg.296x216.jpg
20190504,闵行,吴泾,精装两房，楼层佳、采光好、诚心出售、看房方便,320万,万科阳光苑  | 2室2厅 | 79.44平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4dd409fd-eb10-4ca0-ae49-63e03abdfb04.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛一期B区104平，房东诚心出售，看房方便,650万,紫竹半岛花园  | 2室2厅 | 104平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-59711826-e29b-4271-a12a-e838043f017b.png.296x216.jpg
20190504,闵行,吴泾,现代苑 房子精装带阁楼 视野开阔 房子空间格局好,320万,现代苑  | 2室2厅 | 100.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-67876bf1-d6fd-472a-ac62-51a722f3b662.png.296x216.jpg
20190504,闵行,吴泾,虹梅景苑精装两房 房东置换诚心卖 价格好谈 随时可看,345万,虹梅景苑二街坊  | 2室2厅 | 92.71平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-48b7e7ce-8359-4553-baeb-da1d4b60711e.jpg.296x216.jpg
20190504,闵行,吴泾,5599弄新华小区双南大两房，视野佳 诚心出售看房方便房主自荐,225万,龙吴路5599弄  | 2室1厅 | 81.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-504c9656-512c-4b20-aa07-5a8a0b7e70a5.jpg.296x216.jpg
20190504,闵行,吴泾,紫晶新出庭院三房、精装修、拎包入住、看房方便房主自荐,460万,紫晶南园  | 3室2厅 | 133.82平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ec3a8d47-a478-4586-8928-9140cfeb5468.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛B区104平小区位置好630万，看房提前约房主自荐,630万,紫竹半岛花园  | 3室2厅 | 104平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-294c1235-02c9-4e92-90c1-b196ee6eb252.jpg.296x216.jpg
20190504,闵行,吴泾,万科小两房 带阁楼，满五唯一，拎包即住！位置佳房主自荐,310万,万科阳光苑  | 2室2厅 | 79.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f73b83a5-a144-4e60-8209-afc30e4a1d96.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅新苑精装大两房 中间楼层 房东诚心出售,330万,虹梅新苑  | 2室2厅 | 93平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9a74edcc-594a-44cc-a79b-35ed7d57b3e4.jpg.296x216.jpg
20190504,闵行,吴泾,双南两房，电梯中间楼层，采光通风好，房东诚心出售,410万,嘉怡水岸(公寓)  | 2室2厅 | 93.88平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0fbdbd87-cf6c-46e2-8a21-0e0d7974c197.jpg.296x216.jpg
20190504,闵行,吴泾,高层景观房，眺望远近风景。东边套采光无遮挡,630万,紫竹半岛花园  | 3室2厅 | 95.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7abdcdad-0807-47c3-b374-57ef730dfa6d.png.296x216.jpg
20190504,闵行,吴泾,紫竹半岛全新三房，中间楼层位置好，看房方便！房主自荐新上,640万,紫竹半岛花园  | 3室2厅 | 104.87平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-106ceb01-26af-43cc-a605-ac1c23b34bdb.jpg.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 一楼带花园 装修好 房东自住 诚心出售,345万,万科阳光苑  | 3室1厅 | 88.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ac9da7ad-5035-4fbd-a0e2-422bd870f858.png.296x216.jpg
20190504,闵行,吴泾,双柏小区 大两房 交通便利 业主诚心出售 欢迎致电看房,188万,双柏小区  | 2室1厅 | 68.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-151993ff-deee-40ef-a903-0d0483fb3c58.png.296x216.jpg
20190504,闵行,吴泾,新房从未入住过，高楼层景观房欢迎看房，诚意出售,460万,紫竹半岛花园  | 1室2厅 | 73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-11e965ea-ba15-4efe-b983-52bf79cfa427.png.296x216.jpg
20190504,闵行,吴泾,通海小区 小户型 房型正气 楼层好 房东诚心卖,168万,通海一小区  | 1室1厅 | 51.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0511cbd0-bb81-4bc8-b15c-ce3f720dc783.png.296x216.jpg
20190504,闵行,吴泾,新华小区，满五唯一，中等楼层带储物间，双南采光好,238万,龙吴路5599弄  | 2室1厅 | 80.15平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-67d68701-8e65-442d-8812-9b862426bc54.png.296x216.jpg
20190504,闵行,吴泾,永德小区 1室0厅 128万,128万,永德小区  | 1室0厅 | 36.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bead6327-2fb2-4351-b7e1-5413ede57fa7.jpg.296x216.jpg
20190504,闵行,吴泾,房东诚心出售，看房方便，全明户型。新上,230万,龙吴路5599弄  | 2室1厅 | 80.15平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-51870caa-3c7c-4763-8e9e-407d6276ed7b.jpg.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 三期小三房 装修好 一楼带花园 采光好,375万,万科阳光苑  | 3室1厅 | 90.3平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-198d46ac-54e8-4986-8871-86eec52d061e.jpg.296x216.jpg
20190504,闵行,吴泾,房型正气，采光无遮挡，动迁房  满五减税,380万,紫晶南园  | 3室2厅 | 105.45平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f92c2b0a-5578-465e-8f58-9270b1b3dc7f.png.296x216.jpg
20190504,闵行,吴泾,品质小区  精装小三房  东边套  采光好,359万,万科阳光苑  | 3室1厅 | 89.77平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cbf82637-c76f-48cd-9707-6a324c5cd5ca.jpg.296x216.jpg
20190504,闵行,吴泾,万科花园小城 三期装修好 采光好 位置好 满二年,320万,万科阳光苑  | 2室2厅 | 79.48平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9df660e7-f007-416f-a748-5937e3ccab55.jpg.296x216.jpg
20190504,闵行,吴泾,此房满五唯一免个税，户型正气，房东诚心出售,180万,双柏小区  | 2室1厅 | 59.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3ccba2b7-0730-4b28-b0a0-99e32b10ad77.png.296x216.jpg
20190504,闵行,吴泾,氯碱小区 两室出售 中间楼层！房主自荐,152万,氯碱小区  | 2室1厅 | 51平米 | 南 西 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-684501b0-bcef-4df2-8afa-83b2a059b822.png.296x216.jpg
20190504,闵行,吴泾,永德小区双南全明户型 诚心出售 随时可看房！,176万,永德小区  | 2室1厅 | 58.68平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b62bcc3b-af9e-41ad-ac06-668221cfdb69.png.296x216.jpg
20190504,闵行,吴泾,新出房源，很便宜，双南房，业主诚心卖，价格可谈！房主自荐,270万,通海二小区  | 2室2厅 | 92.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-58e6eec6-4186-4200-8a5b-c1555b2b4905.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛花园 1室2厅 460万,460万,紫竹半岛花园  | 1室2厅 | 73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-548bedd1-07bf-43ab-baa6-f8dbc0edb988.jpg.296x216.jpg
20190504,闵行,吴泾,一房全明小户型，低总价，采光通风好，业主急售,125万,双柏小区  | 1室1厅 | 39.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7ba8e7e5-b9c6-4fd8-a33e-7a00882341ea.png.296x216.jpg
20190504,闵行,吴泾,双柏小区，双南房，满五唯一，税少，价格可谈,185万,双柏小区  | 2室1厅 | 59.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-73970828-08b1-4a35-9f72-7a3dadbe5681.jpg.296x216.jpg
20190504,闵行,吴泾,双南户型，舒适度高，业主诚心出售,180万,氯碱小区  | 2室1厅 | 56.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e097c4e4-1716-49cc-8dbb-d8664ea307a6.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅新苑电梯两房+婚房装修+自住保养，诚心出售,340万,虹梅新苑  | 2室2厅 | 93.06平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-77548204-be83-4a02-8f6e-47930a196239.jpg.296x216.jpg
20190504,闵行,吴泾,万科精装大三房 楼层好采光好 拎包入住 诚心出售 价格房主自荐,475万,万科阳光苑  | 3室2厅 | 113.95平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1a262df8-6582-469e-bfc4-19ef710536ae.png.296x216.jpg
20190504,闵行,吴泾,双柏小区 一梯两户 中间楼层 看房方便 诚心出售,195万,双柏小区  | 2室1厅 | 59.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7402a80a-7d74-4959-9e73-8bef36a00fbe.jpg.296x216.jpg
20190504,闵行,吴泾,新华小区 龙吴路5599弄 一楼带院子诚意出售越快越好,220万,龙吴路5599弄  | 2室1厅 | 75.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0cdbb586-3d42-46ca-b307-04676419f8d0.jpg.296x216.jpg
20190504,闵行,吴泾,此房楼层好价格低，看房子方便，业主诚心,265万,虹梅景苑四街坊  | 1室2厅 | 67.83平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-52a99457-fbf6-4714-b8d6-869876d644ff.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区 两室一厅  业主诚心出售！,175万,双柏小区  | 2室1厅 | 56.49平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e2c0de83-cd22-4eda-8946-a074b0d53392.png.296x216.jpg
20190504,闵行,吴泾,永德小区 全明户型 房屋通透 毛坯房,169万,永德小区  | 2室1厅 | 53.19平米 | 东南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f874e158-18c4-4790-9982-adabb07a69c4.png.296x216.jpg
20190504,闵行,吴泾,塘泾南苑 景观楼层 可改2房 交通便利,308万,塘泾南苑  | 1室2厅 | 68.76平米 | 南 | 毛坯,https://image1.ljcdn.com/310000-inspection/test-b92f3a2b-bf74-40ae-bd7d-de94b950ae9b.png.296x216.jpg
20190504,闵行,吴泾,钥匙房，看房随时方便，楼层好。房龄03年,240万,龙吴路5599弄  | 2室1厅 | 69.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-934f5997-3577-4328-a696-0390ae4bdab4.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区南北两房，沿永德路步行街，中间楼层，,163万,永德小区  | 2室0厅 | 46.82平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6141f93a-c064-43a2-9333-99c0e80de5cb.png.296x216.jpg
20190504,闵行,吴泾,业主诚心卖，动迁房不唯一，位置安静，视野开阔,335万,虹梅新苑  | 2室2厅 | 92.2平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c538536f-9f73-4fb7-94c5-ec54ff2ee596.png.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 精装修二房 楼层好 位置佳 诚心出售房主自荐,365万,万科阳光苑  | 2室2厅 | 90.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f676aaf9-d795-4e51-a6cb-0b597a4808dc.jpg.296x216.jpg
20190504,闵行,吴泾,万科精装2房，一楼带花园，户型正气，诚心出售,360万,万科阳光苑  | 2室1厅 | 88.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9a7b2a26-8ba4-4acc-b5fd-fc36001c7fe0.jpg.296x216.jpg
20190504,闵行,吴泾,户型好，两南一北三房，南北通透，楼层佳，位置好房主自荐,380万,紫晶南园  | 3室2厅 | 106平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5a38da4e-748a-4e59-ab87-d4f5a9d137cd.jpg.296x216.jpg
20190504,闵行,吴泾,高品质小区，精装大两房，南北通透,,315万,万科阳光苑  | 2室2厅 | 79.48平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-564b55bb-b24b-4b2c-bb54-59b96352af74.png.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 自住三期小三房 装修好 楼层好 边套采光好,365万,万科阳光苑  | 3室2厅 | 89.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-af83839d-25ee-4513-9d04-10f322f5272c.jpg.296x216.jpg
20190504,闵行,吴泾,精装两房 双南户型 采光充足，满五唯一。房主自荐,210万,通海一小区  | 2室1厅 | 73.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8a0d9291-49f9-48bb-a445-743c47b9d235.png.296x216.jpg
20190504,闵行,吴泾,双柏小区三房一厅，全明自住装修诚心出售,285万,双柏小区  | 3室1厅 | 86.62平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-de17a5d7-2fac-4967-ace3-fad2e1caed91.jpg.296x216.jpg
20190504,闵行,吴泾,诚售 吴泾新村120平大三房，2006年的房龄单价低到2万7,345万,吴泾新村  | 3室1厅 | 120平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e24a8819-3853-414b-81f1-760482fedbd5.png.296x216.jpg
20190504,闵行,吴泾,虹梅景苑一街坊 免增值税 楼层好 采光充足,345万,虹梅景苑一街坊  | 2室2厅 | 86.37平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0b15e245-0c3c-4ede-abe9-48e98129425f.png.296x216.jpg
20190504,闵行,吴泾,枫桦二期 一改二双南两房+一楼带花园 满两年看房方便房主自荐,328万,枫桦景苑  | 2室1厅 | 79.91平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9ab44206-e25a-4b4a-83dd-6880d87422f7.jpg.296x216.jpg
20190504,闵行,吴泾,本房源一手动迁，税费少、户型方正、采光充足！,230万,紫晶南园  | 1室2厅 | 63.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8e3dc79-198a-49e8-8443-331c74f2396f.jpg.296x216.jpg
20190504,闵行,吴泾,万科阳光苑、品质小区、精装两房、带地暖、带院子,350万,万科阳光苑  | 2室2厅 | 90.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4c73ca13-f60e-40c7-89fb-7d07a48005fa.jpg.296x216.jpg
20190504,闵行,吴泾,刚需看过来，南北两房近期必卖价格少，,175万,龙吴路5599弄  | 2室1厅 | 61.07平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71e98c23-8bc3-4c1a-8975-e43924ada7f8.jpg.296x216.jpg
20190504,闵行,吴泾,氯碱小区三房、诚心出售、有钥匙看房方,220万,氯碱小区  | 3室1厅 | 71.66平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f8e7b667-152c-4d3a-adf4-afc4bdc513f3.jpg.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸 诚心出售 品质小区 位置好 总价低！房主自荐,375万,嘉怡水岸(公寓)  | 2室2厅 | 93平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dca903b1-cf17-4e3f-9048-ed80905cd5cb.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛一期B区中区，前后花园位置，诚心出售！！,450万,紫竹半岛花园  | 1室2厅 | 73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f198e26d-12aa-4db4-82c0-e7a138a6cf5b.jpg.296x216.jpg
20190504,闵行,吴泾,新华小区，大户型一房，诚心卖，价格可谈！房主自荐,165万,龙吴路5599弄  | 1室1厅 | 60.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-518f0f3f-df83-421b-8509-77ba975a26bd.jpg.296x216.jpg
20190504,闵行,吴泾,满五年唯一，双南格局，楼层好，采光充足，交通便利。,180万,氯碱小区  | 2室1厅 | 57.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0699e73d-6d18-4bcc-8452-8d63f399ba2d.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区，南北两室，房屋总价低，业主诚意出售,150万,永德小区  | 2室0厅 | 50.3平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-79ef795d-f6a6-4c45-8045-3f030e9a8177.jpg.296x216.jpg
20190504,闵行,吴泾,精装修，双南户型，客厅有窗户，中间楼层,260万,龙吴路5599弄  | 2室1厅 | 80.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-46e585b6-456f-4d36-bd9e-0d1afa535f80.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区 2室1厅 175万,175万,永德小区  | 2室1厅 | 52.99平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c555513-5e0d-4aba-8436-66d6c74256b7.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅新苑精装修大二房，拎包入住，诚心出售。,350万,虹梅新苑  | 2室2厅 | 94.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5b5e327b-217a-47fc-8438-b04325f19145.png.296x216.jpg
20190504,闵行,吴泾,2003年的房子，配套成熟，无遮挡采光好，两房朝南。,328万,龙吴路5599弄  | 3室2厅 | 116.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-63d68d50-c690-4144-967f-69bc3147f28b.jpg.296x216.jpg
20190504,闵行,吴泾,精装两房，满五唯一，楼层好，采光好，诚心出售,325万,万科阳光苑  | 2室2厅 | 79.25平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a52f20f7-059d-40ae-8ae1-382736253dee.png.296x216.jpg
20190504,闵行,吴泾,紫晶南园 正气南北两房 纯毛坯 满五年唯一房主自荐,340万,紫晶南园  | 2室2厅 | 97.01平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ac528095-9610-49d9-bc66-d238b067e095.jpg.296x216.jpg
