20190504,普陀,真光,阳光威尼斯(二期) 1室2厅 375万新上,375万,阳光威尼斯(二期)  | 1室2厅 | 76.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6a9f704-7e5f-46ed-9b5c-78f5badd1049.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯AB区 2室2厅 465万,465万,阳光威尼斯AB区  | 2室2厅 | 95.38平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1717d8e5-c359-4545-9398-1f2b86fdcb92.png.296x216.jpg
20190504,普陀,真光,一梯两户 南北通户型 厅朝北有大窗 适合年轻人,225万,真光第四小区  | 1室1厅 | 52.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a154294d-cf1f-43a2-96a2-13920f6238d8.jpg.296x216.jpg
20190504,普陀,真光,全南户型+满五唯一+楼层好+视野宽阔+精装修+交通便利,359万,阳光威尼斯C区  | 2室1厅 | 78.86平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e555ba5d-0c7d-46c2-b885-09ef9a6e8e81.png.296x216.jpg
20190504,普陀,真光,此房满五年，高层视野景观好。浦东外滩亦在眼中,428万,阳光威尼斯AB区  | 2室2厅 | 92.8平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-058be90b-1960-43b0-85e6-254d741fc51c.jpg.296x216.jpg
20190504,普陀,真光,售后公房，户型明，楼层采光好，业主置换诚意出售,340万,清涧三街坊  | 2室1厅 | 79.42平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e6bbd7cc-3894-44fd-958b-288383af1815.jpg.296x216.jpg
20190504,普陀,真光,旁边就是幼儿园 空关随时交房 户型正 税少 价格可谈,360万,阳光威尼斯(三期)  | 2室1厅 | 76.23平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cd79fb14-ab49-4f51-841f-5f172bd5d386.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 360万新上,360万,清涧四街坊  | 2室1厅 | 75.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ddde0ca2-c12c-4ffd-a69d-94c573e041a9.jpg.296x216.jpg
20190504,普陀,真光,满五唯一，双室朝南，采光充足，配套齐全,330万,真光新村第五小区  | 2室1厅 | 63.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fa51077d-2374-4722-b488-8d04275c744b.jpg.296x216.jpg
20190504,普陀,真光,真光十小区 3室1厅 310万,310万,真光十小区  | 3室1厅 | 72.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bc022370-41c8-4cf1-ae25-470f7a67701d.png.296x216.jpg
20190504,普陀,真光,南北通透+满五唯一+楼层好+视野宽阔+精装修+交通便利,475万,阳光威尼斯AB区  | 2室2厅 | 101.89平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d2564535-1729-451a-9a31-9b0278a987b7.jpg.296x216.jpg
20190504,普陀,真光,自住，看房随时方便，诚心卖房.,425万,阳光威尼斯AB区  | 2室2厅 | 91.4平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2c5298ae-0fe3-4127-a722-f5e130e74f3e.jpg.296x216.jpg
20190504,普陀,真光,高区全南景观三房！楼层高，满五唯一！诚意出售,520万,阳光威尼斯(三期)  | 3室2厅 | 108.92平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-351d7c33-fb55-4983-b7a0-bebf0c06b670.png.296x216.jpg
20190504,普陀,真光,：小区标准一房 一体两户 居家装修 可令包住,245万,真光第四小区  | 1室1厅 | 52.06平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-53adf974-cd7b-4b8c-ad32-2ffa203cd371.jpg.296x216.jpg
20190504,普陀,真光,一梯两户，低层，双南格局，双天井，环境优美！,320万,清涧六街坊  | 2室1厅 | 68.37平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-54c4de6b-61ff-44b3-8b4d-39e77def3952.jpg.296x216.jpg
20190504,普陀,真光,宜家装修+干净清爽+满五唯一+房型正气+单价低+随时看,460万,真情公寓  | 2室1厅 | 90.75平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2930c90f-27f9-4868-be82-a299a7f8c461.png.296x216.jpg
20190504,普陀,真光,三房朝南，中间楼层，一梯两户，厅有窗，品质高！房主自荐,430万,清涧三街坊  | 3室1厅 | 90.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8284d85-e8d7-4ccf-840c-950a39eb3423.jpg.296x216.jpg
20190504,普陀,真光,有钥匙，业主诚意出售，看房方便。业主诚意出售。,540万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 122.7平米 | 南 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a654c21e-5a96-41fe-92c3-517518e16f00.jpg.296x216.jpg
20190504,普陀,真光,钥匙房 看房方便 南北通透 满五唯一,580万,阳光威尼斯(二期)  | 2室2厅 | 116.25平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6edf7866-43aa-4675-9532-84374e9b42f3.png.296x216.jpg
20190504,普陀,真光,清涧六街坊 2楼 1房1厅1卫   可改全明小两房  满五,220万,清涧六街坊  | 1室1厅 | 45.35平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c0c058e8-f775-4a3f-8d23-b88062931723.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊  1房1厅1卫   厅东边有大窗 通透明亮,225万,清涧八街坊  | 1室1厅 | 44.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4bdc675c-6aa6-4094-8f66-2b8b4ce03230.jpg.296x216.jpg
20190504,普陀,真光,清涧三街坊 3室2厅 525万新上,525万,清涧三街坊  | 3室2厅 | 118平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-206e7bf2-1011-43a0-be7b-7a8df1a8f640.jpg.296x216.jpg
20190504,普陀,真光,四期精装修两房，无遮挡采光好 有钥匙 随时看房,430万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 93.94平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ca254eab-698f-4e59-9c5d-e105cdc6327a.jpg.296x216.jpg
20190504,普陀,真光,此房是2001年的房子，南北通明户型 税费各付，诚售,398万,昆仑花苑  | 2室2厅 | 100.72平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-96ac95aa-fc6a-4ba6-8fb7-ae622dcb440f.png.296x216.jpg
20190504,普陀,真光,小高层一梯两户南北通楼间距60米，采光全天有值得一看,450万,阳光威尼斯C区  | 2室2厅 | 97.03平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-943db6b0-5f4d-45a4-9ce1-1dad7509c377.jpg.296x216.jpg
20190504,普陀,真光,采光好，毛坯房，户型好，楼层佳，诚意急售,245万,真光新村第五小区  | 1室1厅 | 47.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1542b267-f6e8-4511-94fc-8c4c97885a64.jpg.296x216.jpg
20190504,普陀,真光,南北通透+一梯两户+业主诚意卖+采光好,460万,阳光威尼斯AB区  | 2室2厅 | 97.64平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bee5c6f1-5268-4996-adb1-fcd3ceb9eced.png.296x216.jpg
20190504,普陀,真光,清涧八街坊 1室1厅 188万,188万,清涧八街坊  | 1室1厅 | 38.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7fef0753-f843-472a-8376-e8b171027eb7.jpg.296x216.jpg
20190504,普陀,真光,板式南北通两房  全明通透 视野采光很好 前后无遮挡,405万,阳光威尼斯(三期)  | 2室2厅 | 102.52平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ba279a47-9c16-40b9-90c8-4ccedabc4e4d.png.296x216.jpg
20190504,普陀,真光,阳光威尼斯三期 二房 低区甄选 珍品房源 人气聚焦,310万,阳光威尼斯(三期)  | 2室1厅 | 78.85平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9d03d91-83a0-4196-b48b-8c658fd2257b.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 天井搭好  厅北边有窗 满五唯一 位置佳,230万,清涧七街坊  | 1室1厅 | 50.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b88a7b22-475b-49f4-9316-834e03b4ee09.png.296x216.jpg
20190504,普陀,真光,小户型，双南二房，总价不高，可以拥有,390万,阳光威尼斯(二期)  | 2室1厅 | 82.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c9965666-acc8-4afd-89a4-ce820330f48b.png.296x216.jpg
20190504,普陀,真光,全朝南两房 总价低 房东诚意出售 次新小区,385万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 83.03平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e179241b-72d0-4a8d-bf85-c41ea309cdce.png.296x216.jpg
20190504,普陀,真光,动迁房，无增值税，中高层，全明户型，看房有钥匙。,530万,长征家苑  | 2室2厅 | 93.01平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-50d21aad-41d6-4a30-a371-084f5d1ef84b.jpg.296x216.jpg
20190504,普陀,真光,真光四街坊 采光好 位置好 满五唯一 看房方便 大窗户,235万,真光第四小区  | 1室1厅 | 50.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1edf82b4-387f-482b-83ef-454896b5f82c.jpg.296x216.jpg
20190504,普陀,真光,楼层佳+双南户型+看房预约。。。,330万,真光新村第二小区  | 2室1厅 | 62.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-81ca908d-bcf4-42d1-92fd-ed08c1687520.jpg.296x216.jpg
20190504,普陀,真光,急售低楼层，小两房，满五唯一，看房方便，价格可谈,229万,真光七街坊  | 2室1厅 | 50.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-362769e7-e6be-4c98-b7cb-86980d9ede13.jpg.296x216.jpg
20190504,普陀,真光,真光五街坊 一房一厅 南北户型 中间楼层 诚意出售,245万,真光新村第五小区  | 1室1厅 | 47.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9a3a0067-1bc2-477c-aed1-263c25002cc8.png.296x216.jpg
20190504,普陀,真光,一梯两户的双南好户型 采光通风佳，诚意出售,310万,清涧七街坊  | 2室1厅 | 64.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-30b9c71c-fb83-489a-a384-caaf484c7f62.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(三期) 2室1厅 338万,338万,阳光威尼斯(三期)  | 2室1厅 | 77.95平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b45c7cdb-8f86-43e5-8fe9-021bd494da86.jpg.296x216.jpg
20190504,普陀,真光,此房为商品房 满五年唯一 一梯两户 顶楼复式 单价低,500万,昆仑花苑  | 3室2厅 | 132.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9927526-76c4-45a1-898f-a475c9afbf20.jpg.296x216.jpg
20190504,普陀,真光,一个房间朝南，一个房间朝北，全明户型，低总价小两房,365万,阳光威尼斯C区  | 2室1厅 | 77.52平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-56efe002-6d4d-42ba-9ce5-e469aa475a9e.png.296x216.jpg
20190504,普陀,真光,好楼层 好户型电梯两房  价格合理  靠利群医院,300万,清涧三街坊  | 2室1厅 | 65.92平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0193af1e-e84d-4e8d-a076-0c59ffec99cc.jpg.296x216.jpg
20190504,普陀,真光,中鼎豪园 3室2厅 660万,660万,中鼎豪园  | 3室2厅 | 126.74平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-12a05592-0ac3-41c5-b452-fc6942f4f80e.jpg.296x216.jpg
20190504,普陀,真光,低总价一室可改两室  光线足  钥匙房 随时看！,340万,阳光威尼斯(三期)  | 1室2厅 | 74.68平米 | 东南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fd8c1dc9-8bc8-4bbb-aac5-f3d064ff295c.png.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 320万,320万,清涧四街坊  | 2室1厅 | 71.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71fdb8e0-c5e6-4880-95b0-ac33a1601a61.jpg.296x216.jpg
20190504,普陀,真光,昆仑花苑 1室1厅 220万新上,220万,昆仑花苑  | 1室1厅 | 50.35平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ae7ad7a7-2676-4c50-af5d-83c1b931e6be.jpg.296x216.jpg
20190504,普陀,真光,真光九街坊 总价低 精装两房 拎包入住,253万,真光九街坊  | 2室1厅 | 56.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-709c4685-7e9e-425b-9356-722d185e414b.jpg.296x216.jpg
20190504,普陀,真光,满五唯一税费少，精装修，采光充足 业主诚意出售,460万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 100.29平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8c300e43-1f87-490a-a155-3ab7266b817e.jpg.296x216.jpg
20190504,普陀,真光,全南大两房，婚房装修，每个角落都是精心设计，,440万,阳光威尼斯(三期)  | 2室2厅 | 99.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2703c1c3-f788-4de0-be88-715657416147.png.296x216.jpg
20190504,普陀,真光,双南户型 全明 配套设施齐全 交通便利 诚意出售,425万,真情公寓  | 2室1厅 | 86.05平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-da3e608a-576c-4eba-b2ca-82f3d19200aa.jpg.296x216.jpg
20190504,普陀,真光,动迁房，双天井，厅有窗，无个税，一梯两户,340万,清涧六街坊  | 2室1厅 | 64.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6f29be32-8e35-4612-b394-8756f76525d7.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 3室2厅 550万,550万,清涧四街坊  | 3室2厅 | 124平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e7825910-1d61-4ab2-a33c-fef77d2fb840.jpg.296x216.jpg
20190504,普陀,真光,高区景观好，厨卫都有窗户，电梯两房，诚意出售,450万,真情公寓  | 2室1厅 | 90.75平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e3062b93-2067-4432-94f3-767af33b60a1.jpg.296x216.jpg
20190504,普陀,真光,真光七街坊+满五唯一+全明户型+价格可谈+看房方便,257万,真光七街坊  | 1室1厅 | 48.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-58a17e06-c51a-4312-8980-1f089d42f13a.jpg.296x216.jpg
20190504,普陀,真光,真光四小区  小区环境好 出门公交 近高陵路菜市场,338万,真光第四小区  | 2室1厅 | 70.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dfed839c-1a7d-40cb-a57c-a5a1801d5c83.png.296x216.jpg
20190504,普陀,真光,精装板式南北通3房2厅2卫中区楼层看房随时诚意出售,600万,阳光威尼斯(二期)  | 3室2厅 | 126.06平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-db53b86f-c84d-442b-8556-b20d88e39803.jpg.296x216.jpg
20190504,普陀,真光,总价低，楼层好，户型正，配套齐全,515万,上海家园  | 2室2厅 | 97.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c2ae952-5216-4b22-9de4-4a7d169e3876.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 3室1厅 360万,360万,清涧七街坊  | 3室1厅 | 72.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2e633842-0d2d-4fce-8619-b1b9ff7dae3f.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯 精装修 小三房 看房方便 小区安静位置,435万,阳光威尼斯(三期)  | 3室1厅 | 97.33平米 | 东 南 西 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-76272467-22a2-403a-8ab5-57ade768b749.jpg.296x216.jpg
20190504,普陀,真光,位置好 南北通户型，采光可以，价格诚心出售 税费少,580万,阳光威尼斯AB区  | 3室2厅 | 114.67平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5721bca9-ab06-449d-a935-782783d250c7.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯南北通三房 位置楼层好 房型正气 急卖！,548万,阳光威尼斯(三期)  | 3室2厅 | 116.15平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-25de4608-ff23-409a-ac9d-2da2937a51a3.jpg.296x216.jpg
20190504,普陀,真光,四期新出南北通大三房  自住精装修 满五年唯一,615万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 133.16平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5603cec0-fdd3-451e-9740-de410dfae7ad.jpg.296x216.jpg
20190504,普陀,真光,必看好房，看一看？精装南北通2房，中层景观，视野佳,365万,阳光威尼斯C区  | 2室1厅 | 77.52平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fe9b6afe-f698-47ab-b140-c2bc915a5dcd.jpg.296x216.jpg
20190504,普陀,真光,小区花园位置，全明户型，一梯两户新上,210万,昆仑花苑  | 1室1厅 | 47.35平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0b2d7e80-d2c0-466f-93f2-15dcd22e2591.jpg.296x216.jpg
20190504,普陀,真光,户型正气+楼层好+采光无遮挡+交通便利+诚意出售,410万,阳光威尼斯C区  | 2室2厅 | 92.77平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-97ddff49-25c2-4454-83f7-7cb37846dc13.png.296x216.jpg
20190504,普陀,真光,低楼层，一梯两户，全明户型，配套设施齐全！,360万,清涧四街坊  | 2室1厅 | 76.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e9f6acde-e931-4f73-b424-488353b66bc9.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 1室1厅 245万,245万,清涧六街坊  | 1室1厅 | 49.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5ee7f978-1dc3-404a-acb7-0345c3be1cd7.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 2室1厅 299万,299万,清涧六街坊  | 2室1厅 | 59.11平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-44a5575a-dc12-49b9-bad8-f8d9c07fe2ef.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 345万,345万,清涧四街坊  | 2室1厅 | 71.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd7a090f-7407-44c4-9dcf-1e0e5a8a959d.jpg.296x216.jpg
20190504,普陀,真光,力荐好房诚售！满五唯一双南小两房！电梯中层视野开阔,360万,阳光威尼斯C区  | 2室1厅 | 78平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f2296108-4ee5-4541-83e4-be2d50adfc5d.jpg.296x216.jpg
20190504,普陀,真光,一梯四户 ，双南户型，楼层好，交通便利，社区安静！,305万,清涧八街坊  | 2室1厅 | 62.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-571dd05b-2a7a-4922-a553-5fa3f0d1fa4e.png.296x216.jpg
20190504,普陀,真光,一梯两户 诚意出售 南北通  满五唯一 房型正气,452万,阳光威尼斯AB区  | 2室2厅 | 95.83平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fb523a44-5a48-4a4a-8952-292cf32a31e7.jpg.296x216.jpg
20190504,普陀,真光,满五唯一 一梯两户  正规全明小三房 户型方正,385万,真光九街坊  | 3室1厅 | 74.45平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a371f00b-d25e-4e4f-928b-5db8f5fc58ee.jpg.296x216.jpg
20190504,普陀,真光,中层一房 一梯四户 视野开阔 商圈成熟 到价签字,235万,真光新村第二小区  | 1室1厅 | 50.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-59b145fc-bf4d-47ef-9024-5f0f3f917d97.jpg.296x216.jpg
20190504,普陀,真光,高区双南 两房 视野开阔建议实地看房可拎包住适合老人,430万,真情公寓  | 2室1厅 | 86.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8931f678-37ff-4432-a166-ef86d620713f.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯全南两房，采光好总价低，楼层佳，婚房装修,425万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 80.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b6f02485-79a6-4583-bfaa-0f8b6f262368.jpg.296x216.jpg
20190504,普陀,真光,花园洋房 一梯两户带电梯 房东移民国外 诚意出售,730万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 136.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4f6ee5bf-ac9f-49b7-b4d3-7cd0bbd7ca64.png.296x216.jpg
20190504,普陀,真光,房子满五年唯一，精装修，诚意卖，前面无遮挡,545万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 122平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f132f192-3072-48fd-bde2-658619db8788.jpg.296x216.jpg
20190504,普陀,真光,精装大一房，总价低，采光好，看房方便，价格可谈房主自荐,185万,真光七街坊  | 1室1厅 | 41.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a73b283-ea1e-428f-9af2-20f38e51d4e3.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 2室2厅 295万,295万,清涧七街坊  | 2室2厅 | 59.02平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-61dc2c0b-82a3-407a-9221-8e0aaa444c5b.jpg.296x216.jpg
20190504,普陀,真光,清涧二街坊 2室1厅 280万,280万,清涧二街坊  | 2室1厅 | 62.02平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8e208d61-31c9-421f-acdf-a4281fbf57ac.jpg.296x216.jpg
20190504,普陀,真光,婚房装修，通明大一房，总价低，单价低，可谈,178万,真光十小区  | 1室1厅 | 45.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-42b8ab3d-ce4c-4d79-92f2-da91e59c171f.jpg.296x216.jpg
20190504,普陀,真光,一梯两户 位置佳 诚意出售 精装修 拎包入住,200万,清涧六街坊  | 1室1厅 | 49.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-67f6e237-be7d-48fe-b788-65b76b073209.jpg.296x216.jpg
