20190504,杨浦,黄兴公园,一梯3户+地铁8号线+满五唯一,295万,延吉五村  | 2室1厅 | 50.12平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f8787f68-8825-4683-b669-87f7efb8ee01.jpg.296x216.jpg
20190504,杨浦,黄兴公园,望春新出房源  精装修三房  诚心出售,830万,望春都市家园  | 3室2厅 | 114平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-eefef160-3831-452a-b36e-b67463295aac.png.296x216.jpg
20190504,杨浦,黄兴公园,售后公房  满五唯一   看房方便,424万,双阳路604弄  | 2室1厅 | 63.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3475c094-e111-441e-afa0-c0cbbf127dab.png.296x216.jpg
20190504,杨浦,黄兴公园,近黄兴公园、看房方便、小复、挑空大客厅宽敞舒适、,710万,绿景家苑  | 3室3厅 | 114.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b0f43a05-e3d9-4d70-9915-0b64dfa02c4b.png.296x216.jpg
20190504,杨浦,黄兴公园,新出好房，好户型带花园，目前小区总价低 位置正,1000万,香阁丽苑  | 3室2厅 | 122.91平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6124b0ba-87b3-4ef3-a13b-47789a814959.png.296x216.jpg
20190504,杨浦,黄兴公园,钥匙房，满5年唯一，税低，拎包入住，诚意售，采光好,480万,杨浦欣园  | 2室1厅 | 74.06平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c94c4626-b136-455a-a706-d731295ac24d.png.296x216.jpg
20190504,杨浦,黄兴公园,电梯高层景观房、诚意出售、到价签字、便利,526万,杨浦欣园  | 2室2厅 | 76.13平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2d09e720-cb5c-410a-9c55-5a37d00f7571.png.296x216.jpg
20190504,杨浦,黄兴公园,楼层佳 灯光璀璨 景观房 能看到五角场和东方明珠,625万,九州花苑  | 3室2厅 | 117.72平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/37d44b4e-19e7-4cd0-b63d-42ea13433743.jpg_600x450.jpg.296x216.jpg
20190504,杨浦,黄兴公园,次顶楼、蝴蝶户型、全明通透、一梯两户、可做四房,650万,宏翔公寓  | 3室2厅 | 135平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e36393d7-6f5e-4897-9d69-56435505dfc2.png.296x216.jpg
20190504,杨浦,黄兴公园,房子是满五年唯一的03年竣工，接受置换客户单纯卖房主自荐,790万,兰馨雅苑  | 2室2厅 | 105平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ead5ade6-6042-4187-9d5f-c7887cc681c7.png.296x216.jpg
20190504,杨浦,黄兴公园,有钥匙，随时看房。延吉中路站150米左右,277万,长白三村  | 2室1厅 | 50.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8f0d4431-d4c9-473c-9e8e-acbbee5bbbf0.jpg.296x216.jpg
20190504,杨浦,黄兴公园,西三墙全明，带天井，看房有钥匙，满五唯一,410万,双阳路594弄  | 2室1厅 | 55.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-37c9b5ab-595a-4cb4-8adc-9a3a84eaa20d.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江四村 2室1厅 265万,265万,控江四村  | 2室1厅 | 57.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bb71daac-a29c-48c4-aeed-939b5cb81fdd.png.296x216.jpg
20190504,杨浦,黄兴公园,地铁沿线》毗.邻公园》高区电梯房》厨卫朝东看房方便,530万,浣纱五村  | 2室1厅 | 92.31平米 | 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-707ba166-f37d-4c9e-8da2-736d8ee5f2a2.png.296x216.jpg
20190504,杨浦,黄兴公园,03年次新小两房，近地铁，一梯两户，南北全明户型房主自荐,730万,兰馨雅苑  | 2室2厅 | 88.71平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2e4f1124-3985-45b6-ae2a-fd2693f7095a.png.296x216.jpg
20190504,杨浦,黄兴公园,电梯房，南北通一房，地铁8号线延吉中路站,205万,延吉七村  | 1室1厅 | 43.92平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2b2df725-e789-4314-803b-43054ff8c118.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一+8号翔殷路地铁+一楼带花园+生活设施齐全+车,570万,兰花教师公寓  | 2室1厅 | 82.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5120abe0-1a2e-4284-a3d2-ad2ae636117f.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一视野开阔+黄兴公园+看房方便,788万,文化佳园  | 2室2厅 | 103.14平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bb40f8a9-cb55-4f9a-b687-00f7be78dd1f.png.296x216.jpg
20190504,杨浦,黄兴公园,西山墙全明，厅房同宽，高区采光足，诚意出售,268万,翔顺公寓  | 1室1厅 | 49.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f5a4c7b8-c362-4bb0-92bc-680af982a03c.jpg.296x216.jpg
20190504,杨浦,黄兴公园,地铁沿线》毗.邻公园》中区电梯房》全明户型看房方便,516万,浣纱五村  | 2室2厅 | 89.05平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9e1ef6c4-f1f4-459c-8c40-98c7783bc946.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一无个税，正规户南北全明户型,720万,望春都市家园  | 2室2厅 | 86.76平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dd4c5694-13c5-4451-b837-0988fbe916a8.png.296x216.jpg
20190504,杨浦,黄兴公园,此房是满五唯一 ，小区中间位置，房主自荐,910万,佳泰花园  | 3室2厅 | 136.07平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e46b1fba-c2b4-42f2-9a5c-df39923cea9e.png.296x216.jpg
20190504,杨浦,黄兴公园,万佳苑 3室2厅 870万,870万,万佳苑  | 3室2厅 | 126.64平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-39969e26-a814-44dc-8bb4-baa28fbd96dc.png.296x216.jpg
20190504,杨浦,黄兴公园,带花园+明户型+无户口+价能谈+看房方便,850万,公园3000黄兴花园  | 3室2厅 | 115.59平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8ca1965d-e0d4-4641-ad32-c4d28e57c747.png.296x216.jpg
20190504,杨浦,黄兴公园,产权地下车位+小区里面位置+高区楼层+电梯房,1030万,公园3000黄兴花园  | 3室2厅 | 126平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5e5c70dc-43b6-40d9-a924-27a11846ccb2.jpg.296x216.jpg
20190504,杨浦,黄兴公园,靖宇家园 1室1厅 545万,545万,靖宇家园  | 1室1厅 | 77.26平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6a885d6e-6dcb-46ee-b433-3b27787631ef.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江二村107弄小区 3室1厅 400万,400万,控江二村107弄小区  | 3室1厅 | 65.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0a5e16b2-4508-433f-8d39-8b487f70ad55.jpg.296x216.jpg
20190504,杨浦,黄兴公园,3+1，户型正气，看房方便，价格可谈房主自荐,688万,台益公寓  | 4室1厅 | 121.3平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0c1e3faf-1036-4a81-b1d5-663897b24f74.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江四村 朝东一门关 房东急售,190万,控江四村  | 1室1厅 | 40.05平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ebb2bec8-57e2-40c4-9450-b45536554935.png.296x216.jpg
20190504,杨浦,黄兴公园,总价低+2楼+南北通+采光无遮挡+诚意售,710万,公园3000黄兴花园  | 2室2厅 | 85.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3029e558-6b48-44ef-b1a6-7e713eb5bef4.png.296x216.jpg
20190504,杨浦,黄兴公园,麻雀虽小五脏俱全，内有阁楼，产权清晰，随时可走流程,140万,控江二村107弄小区  | 1室1厅 | 28.38平米 | 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6585b5ff-820f-424a-b407-010e55f76a5d.png.296x216.jpg
20190504,杨浦,黄兴公园,一梯两户，买入价高，税费少，地铁八号线，黄兴公园,490万,浣纱四村  | 2室1厅 | 82.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f3dbb7ad-ed36-4b61-9bd7-ea224185108c.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一+视野开阔+文化佳园+黄兴公园+大润发,825万,文化佳园  | 2室2厅 | 109.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-fc49555b-af65-4101-b8f0-2074752a6a95.png.296x216.jpg
20190504,杨浦,黄兴公园,双阳路604弄 2室1厅 425万,425万,双阳路604弄  | 2室1厅 | 62.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3cebcc6a-7429-40fb-a123-52531f6f9143.jpg.296x216.jpg
20190504,杨浦,黄兴公园,沧州路180弄 2室0厅 368万,368万,沧州路180弄  | 2室0厅 | 52.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-deb31c79-12ab-40b8-8874-2bc5cdeb6e01.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江东三村 2室1厅 360万,360万,控江东三村  | 2室1厅 | 59.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6951d59e-3bbc-4a4c-9d35-41e7cb6a67cc.png.296x216.jpg
20190504,杨浦,黄兴公园,朝南一门关，一室半，采光，通风效果佳，,205万,延吉五村  | 1室1厅 | 35.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-973cf963-79be-416d-9b53-93565ad8d939.png.296x216.jpg
20190504,杨浦,黄兴公园,公园3000黄兴公园 两房朝南 钥匙随时可看 中等楼层,760万,公园3000黄兴花园  | 2室2厅 | 99.1平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4fd47db-19aa-4520-ada9-69725a305fae.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江四村 非顶楼 带小阁楼 使用面积大 总价低,155万,控江四村  | 1室0厅 | 30.8平米 | 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aa04ac24-796f-417b-ac67-244a24ce8834.jpg.296x216.jpg
20190504,杨浦,黄兴公园,带产权车位  房东诚意出售  随时看房,740万,靖宇家园  | 2室1厅 | 98.72平米 | 东 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d43c5c11-cf82-4da6-9ed5-d9f978456e2d.png.296x216.jpg
20190504,杨浦,黄兴公园,控江四村，正气户型，南北通透，采光良好，看房方便,325万,控江四村  | 2室1厅 | 56.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3545c8a9-90cf-44a3-b855-a0af4a853179.png.296x216.jpg
20190504,杨浦,黄兴公园,松苑小区 2室1厅 390万,390万,松苑小区  | 2室1厅 | 64.65平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-96d1d936-2128-4efa-bad0-78e1c8c4062f.png.296x216.jpg
20190504,杨浦,黄兴公园,2楼 钥匙房 户型好 离地铁近 可贷款,285万,控江东三村  | 2室1厅 | 51.67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8255b5fb-4ad8-4029-9b2e-1cfeb756226a.jpg.296x216.jpg
20190504,杨浦,黄兴公园,装修不错 直接可以住 诚心出售,170万,长白三村  | 1室1厅 | 34.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5aa9cdc5-d87d-4dd2-84bb-1f0824eec3b6.jpg.296x216.jpg
20190504,杨浦,黄兴公园,南北通全明，精装修，拎包入住。主卧朝南带阳台,378万,双阳路594弄  | 2室1厅 | 53.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b3f9c8d8-cabe-48d7-a5b2-9bac6797f7a9.jpg.296x216.jpg
20190504,杨浦,黄兴公园,次新品质小区，满五唯一，高层景观房,728万,佳龙花园  | 2室2厅 | 89.9平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-160cf7a4-9368-4d80-8fa0-39fe36f1488e.jpg.296x216.jpg
20190504,杨浦,黄兴公园,长白新城 2室1厅 600万,600万,长白新城  | 2室1厅 | 78.6平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-86a0d317-a7ab-4f7d-a0af-2ed4b6679c12.jpg.296x216.jpg
20190504,杨浦,黄兴公园,长华绿苑 3室2厅 825万,825万,长华绿苑  | 3室2厅 | 137.95平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-da5cbca7-7f4d-42ac-8843-1b08cd6fc463.png.296x216.jpg
20190504,杨浦,黄兴公园,文化佳园 高区南北通电梯两房 厨卫皆明 业主诚售,768万,文化佳园  | 2室2厅 | 103.01平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa5b361e-aea1-4e2c-82ba-3bac0dbad4cf.jpg.296x216.jpg
20190504,杨浦,黄兴公园,宏翔公寓 2室1厅 338万,338万,宏翔公寓  | 2室1厅 | 63.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ef92f2a6-747f-45ba-a71e-6ee8dad62407.jpg.296x216.jpg
20190504,杨浦,黄兴公园,长白三村 1室1厅 227.300万,227.3万,长白三村  | 1室1厅 | 37.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-eb1db1dd-f569-4a7e-84d6-f57967ae1c2a.png.296x216.jpg
20190504,杨浦,黄兴公园,控江东三村 1室1厅 195万,195万,控江东三村  | 1室1厅 | 35.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-32ac8c19-559b-4469-b295-a9de2f50a3cb.jpg.296x216.jpg
20190504,杨浦,黄兴公园,靖宇中路70号 2室1厅 465万,465万,靖宇中路70号  | 2室1厅 | 71.34平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-44753cf3-9494-4017-8b2e-026edc271458.png.296x216.jpg
20190504,杨浦,黄兴公园,朝北一门关，四楼采光好，小户型，低部价,129万,控江五村  | 1室0厅 | 29.29平米 | 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fb626e74-7b4e-49ca-9b7d-0f87c9364d6f.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一，小区中间位置景观房 精装修   一梯一户,1150万,文化佳园  | 3室2厅 | 154.03平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6cdefb0d-1cec-4437-889e-3a5056f6a798.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一视野开阔+黄兴公园+看房方便,1030万,文化佳园  | 3室2厅 | 137.86平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-961eef75-9110-4232-87cd-9c800d267a0a.png.296x216.jpg
20190504,杨浦,黄兴公园,延吉七村 2室1厅 270万,270万,延吉七村  | 2室1厅 | 49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-29347d37-9d5f-478c-94f6-3a619dc5c488.png.296x216.jpg
20190504,杨浦,黄兴公园,双阳路594弄 2室1厅 550万,550万,双阳路594弄  | 2室1厅 | 73.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-302f5bce-e030-447d-ad3f-460e6cb6516d.jpg.296x216.jpg
20190504,杨浦,黄兴公园,双南两房，客厅朝南，朝南户型，采光良好房主自荐,340万,控江四村  | 2室1厅 | 67.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-421f6ab5-531f-45a1-a2b2-a9083f45d9ec.png.296x216.jpg
20190504,杨浦,黄兴公园,带25平大花园，次新小区，地铁8号线，板楼，南北户型,920万,兰馨雅苑  | 3室2厅 | 118.96平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6269359a-af91-4120-8edd-3cc8f9d71722.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五年唯一 无户口 带固定车位 楼层好 采光佳,220万,怡佳苑  | 1室1厅 | 43.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-40e163a3-d0b5-4b0b-a335-132e396b945a.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江五村 1室1厅 210万,210万,控江五村  | 1室1厅 | 35.69平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4b5022e3-eb3d-4886-89ea-fadcd57b674f.png.296x216.jpg
20190504,杨浦,黄兴公园,控江二村107弄小区 2室3厅 380万,380万,控江二村107弄小区  | 2室3厅 | 65.66平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f71e9048-ce5c-4b1b-8087-68f72ecc9349.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一，正对花园，楼层好，房东诚意出售！,960万,公园3000黄兴花园  | 3室2厅 | 129.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-53ffd878-793f-418d-8bfd-364f53bf1884.png.296x216.jpg
20190504,杨浦,黄兴公园,房子满五年唯一，看房有钥匙很方便，诚意出售房主自荐,215万,怡佳苑  | 1室1厅 | 43.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3d940680-5f94-42dc-a6c8-fed0cebbdaa7.png.296x216.jpg
20190504,杨浦,黄兴公园,满五年大四房复式带露台，适合三代人居住，接受置换！,1250万,文化佳园  | 4室3厅 | 186.82平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8c59a802-89a5-433e-82d3-52eed8e7faaa.jpg.296x216.jpg
