20190504,浦东,陆家嘴,电梯房高区全南全明户型，一手售后公房，满五年唯一,568万,东园一村  | 2室1厅 | 69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa0019ca-33fc-4826-b4ac-be096a43474c.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴高规格之风华碧玉！滨江国际高尚居家！静美！,1120万,滨江兰庭  | 2室2厅 | 138.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c7675ae5-68bd-45d9-8907-bd1727e28b3f.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂滨江，高区景观三房，看江无遮挡,2550万,世茂滨江花园  | 3室2厅 | 225.34平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f99e6fce-bfec-435b-8540-0bfa040c0834.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂临江两房，主卧带圆弧落地窗，看房方便有钥匙！,1170万,世茂滨江花园  | 2室2厅 | 132.17平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-71595d2a-1946-463f-9fff-8e58121e9ea6.jpeg.296x216.jpg
20190504,浦东,陆家嘴,高区南北通透四房，全新装修，层高3.4米，带车位房主自荐,2099万,仁恒滨江园  | 4室2厅 | 187.06平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-43a4f0bf-9377-4dea-9548-fbafebfa0c6f.jpeg.296x216.jpg
20190504,浦东,陆家嘴,16年底新装小三房，诚意出售，保养好拎包入住房主自荐,1240万,汇豪天下  | 3室2厅 | 130.9平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c69536e6-9803-4cc8-88bf-0cf887fb2218.jpeg.296x216.jpg
20190504,浦东,陆家嘴,陈家宅小区(潍坊西路) 2室1厅 470万,470万,陈家宅小区(潍坊西路)  | 2室1厅 | 60.33平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a9349d71-69c3-4206-a7ca-7c1efb587a69.jpg.296x216.jpg
20190504,浦东,陆家嘴,诚意出售陆家嘴朝南 河景 三房,800万,京城大厦  | 3室2厅 | 140.05平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4ef77811-4c36-4721-8797-83252c7b5a2d.jpg.296x216.jpg
20190504,浦东,陆家嘴,房龄新，精装修，看房有钥匙，中间位置，出门是地铁,215万,崂山四村  | 1室0厅 | 32.49平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e5f39168-ab3b-4aad-9c1a-9a53774ebec4.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园四村两居室  婚房装修保养好  业主诚意出售,470万,东园四村  | 2室1厅 | 53.14平米 | 东 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b12626e0-4514-4d30-81cc-47253b997f44.jpg.296x216.jpg
20190504,浦东,陆家嘴,新陆家嘴一房复式，住宅产权，满五年，采光通风俱佳,480万,久阳滨江公寓  | 1室1厅 | 70.77平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/cf101030-2d33-4595-9079-2516f357aff8.png.280x210.jpg
20190504,浦东,陆家嘴,陆家嘴景观房，2房南，西看明珠北看江，出门4号14号线,770万,荣城花苑  | 2室2厅 | 97.33平米 | 南 | 精装 | 有电梯,
20190504,浦东,陆家嘴,西南三房，产权清晰，满五年，唯一买进830万税费少,1680万,世茂滨江花园  | 3室2厅 | 204.85平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-397e9707-09ad-43e6-b069-c38e06489ae6.jpg.296x216.jpg
20190504,浦东,陆家嘴,大三居陆家嘴江景房同时可以看陆家嘴三大神器,1550万,仁恒滨江园  | 3室2厅 | 167.17平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-12af84a2-c767-4761-8210-75a15016e941.jpg.296x216.jpg
20190504,浦东,陆家嘴,江临天下四房+温州业主+随时签字+价格可谈,1400万,江临天下  | 4室2厅 | 163.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-745f0966-4c97-4150-abbd-614bbd450189.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区三房，满五唯一税费少，业主诚意出售！,1010万,菊园  | 3室2厅 | 120.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-57375829-94f9-4bd1-b9db-d51bcf67d61c.jpeg.296x216.jpg
20190504,浦东,陆家嘴,楼号新满5年唯一税少赏江景英式大草坪国际社区钥匙房,1800万,世茂滨江花园  | 3室2厅 | 205.85平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-97cecbf7-4390-473b-b781-d1490c687f96.jpg.296x216.jpg
20190504,浦东,陆家嘴,此房是菊园大面积三房，三房朝南，现单价7.8万,1250万,菊园  | 3室2厅 | 153.18平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ba003a27-ac22-4821-b4a4-d794bdb80935.jpeg.296x216.jpg
20190504,浦东,陆家嘴,朝西看江景 满五年 保养不错 拎包入住 有钥匙,1580万,仁恒滨江园  | 3室2厅 | 165.76平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bc721aae-fbbb-4cb9-b492-92967dd4d22d.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴+浦江茗园+顶楼复式+带露台+朝南+精装修,1650万,浦江茗园  | 4室2厅 | 181.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-338bc262-615d-4d68-b1f5-02f0be61cfe3.jpeg.296x216.jpg
20190504,浦东,陆家嘴,房子满五年，业主名下就这一套房子，3+1房，有车位,1500万,江临天下  | 4室2厅 | 165.73平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d1dc7728-6fb8-447b-bf5d-2dac80fcbb11.png.296x216.jpg
20190504,浦东,陆家嘴,财富高区实用型三房，业主重新装修诚意急售,2200万,财富海景花园  | 3室2厅 | 185平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cf47f495-9fad-4a5b-9dda-962d6ac08341.jpeg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴，品质小区，品质装修，南北通，温馨舒适，诚售,2280万,盛大金磐  | 3室2厅 | 194.28平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7942abc5-a03c-401c-9cc9-29976ac987ff.jpeg.296x216.jpg
20190504,浦东,陆家嘴,世茂滨江花园 2室2厅 1339万,1339万,世茂滨江花园  | 2室2厅 | 135.71平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a33c5a24-3ef9-4fe1-ac38-7904003fa184.jpeg.296x216.jpg
20190504,浦东,陆家嘴,本月新出西南向高区18年200万欧风装修全屋地暖新风,2500万,世茂滨江花园  | 3室2厅 | 250.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d8b5fdfc-e897-4271-845b-8d3f51e145a6.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂50层以上 高层 景观 三房，业主诚意出售,2190万,世茂滨江花园  | 3室2厅 | 237.93平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1093c4ce-a6d1-4707-a1a9-4f2c9604a27f.jpeg.296x216.jpg
20190504,浦东,陆家嘴,总裁户型，保养好，正对英式大草坪，前后景观好！,2650万,世茂滨江花园  | 4室2厅 | 334平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9ff0850-2bb3-490e-b2fb-bd1002775533.jpg.296x216.jpg
20190504,浦东,陆家嘴,塔尖 高区在卖的景观户型 舒适 采光足 看房方便 满五,2149万,世茂滨江花园  | 3室2厅 | 232.56平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e2095245-8a35-4d1e-8800-5dc9a53ce323.jpeg.296x216.jpg
20190504,浦东,陆家嘴,天科苑 3室2厅 1050万,1050万,天科苑  | 3室2厅 | 151.12平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ec3b5b57-5ee3-4f55-a34d-7aa5300c7d51.jpeg.296x216.jpg
20190504,浦东,陆家嘴,新上房源+2年前买进+正南正北通风+税费少,1320万,菊园  | 3室2厅 | 144.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9dee4acc-9da2-4a2f-b11a-a773eeae4926.jpeg.296x216.jpg
20190504,浦东,陆家嘴,此房满5年唯一，厨房和卫生间重新装修过，诚意出售,1040万,仁恒滨江园  | 2室2厅 | 88.99平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-934c72d2-4b70-4f8d-81ad-a3a5e2491f88.jpg.296x216.jpg
20190504,浦东,陆家嘴,财富高区景观3房，满五唯一，有车位，看房方便,2200万,财富海景花园  | 3室2厅 | 200.18平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6f0c3e23-02d1-4589-9dbe-d361a03cc121.jpeg.296x216.jpg
20190504,浦东,陆家嘴,亚洲典范 扛鼎之作 8000平私定会所 重新定义 精益表里,4900万,滨江凯旋门  | 4室2厅 | 285.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-db475e8d-c27d-4a2d-82d8-f303f8612c43.jpg.296x216.jpg
20190504,浦东,陆家嘴,一梯两户南北通透两房，诚意出售看房方便。,1020万,浦江茗园  | 2室2厅 | 109.81平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e2c62274-e7ee-407e-b612-7c246198665b.jpg.296x216.jpg
20190504,浦东,陆家嘴,江临天下通透户型 ，全新装修带地暖三房，提前约看,1245万,江临天下  | 3室2厅 | 125.34平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-70b53739-67ce-41bd-a383-1140b236ae30.png.296x216.jpg
20190504,浦东,陆家嘴,浦江茗园 3室2厅 1350万,1350万,浦江茗园  | 3室2厅 | 167.87平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a8345888-f631-4e87-aebe-cb8ebb43f815.jpeg.296x216.jpg
20190504,浦东,陆家嘴,新推好房，诚意出售，价格好谈，户型好，景观好。,1100万,江临天下  | 2室2厅 | 116.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c2129ac7-714c-4c23-a731-eb91c0025589.jpeg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴舒适小三房，朝南可看江景，看房方便提前预约房主自荐,1260万,汇豪天下  | 3室2厅 | 130.9平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ba781e58-7767-405a-82a6-29d9dda95373.jpeg.296x216.jpg
20190504,浦东,陆家嘴,业主自住随时看，二次装修，景观楼层，采光好视野开阔,1200万,世茂滨江花园  | 2室2厅 | 132.17平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2add5558-1952-49ab-82a2-3f15294dc0f8.jpeg.296x216.jpg
20190504,浦东,陆家嘴,世茂滨江花园 2室2厅 1600万,1600万,世茂滨江花园  | 2室2厅 | 164.78平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-35572508-7d11-48da-8bf1-ae36f3104116.jpg.296x216.jpg
20190504,浦东,陆家嘴,封疆养云 平墅归来 清晨黄昏 自然万象 俯首皆是房主自荐,3299万,仁恒滨江园  | 5室2厅 | 327.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-db8e36ef-e812-43af-ab81-5c0b20e92d9e.png.296x216.jpg
20190504,浦东,陆家嘴,正气三房，陆家嘴一线江景，陆家嘴高档小区，随意改动,2600万,财富海景花园  | 3室2厅 | 200.18平米 | 西北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3e133e84-b33a-4193-9df8-f84aeed9bf25.jpeg.296x216.jpg
20190504,浦东,陆家嘴,满五税少，166.49平 1300万看房随时,1300万,仁恒滨江园  | 3室1厅 | 166.49平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1fef6ba1-04fe-4078-9f56-85a5b83e201e.png.296x216.jpg
20190504,浦东,陆家嘴,刚挂牌+45楼以上全江景 +二次装修+有车位新上,2450万,世茂滨江花园  | 3室2厅 | 251平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3f3fa9ae-5655-49f9-b500-c65754d56e06.jpg.296x216.jpg
20190504,浦东,陆家嘴,金鼎公寓(浦东) 5室3厅 1350万,1350万,金鼎公寓(浦东)  | 5室3厅 | 243.94平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e5fb7c7a-f691-4aa3-a9a9-6a6465bdd41c.jpg.296x216.jpg
20190504,浦东,陆家嘴,盛大低总价，看小区绿化景观，钥匙房，业主诚意出售,2250万,盛大金磐  | 3室2厅 | 194.65平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-20d4ca44-c670-4b70-b22c-d0f3f0e6df0a.jpg.296x216.jpg
20190504,浦东,陆家嘴,有钥匙随时可看房，景观房甄选270度圆弧窗震撼景观房主自荐,2260万,世茂滨江花园  | 4室2厅 | 278.97平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-65deda5e-cc6b-42a8-8808-7ecdd58663b3.png.296x216.jpg
20190504,浦东,陆家嘴,财富海景前排02户型 朝南 新装修 高区 270度观景阳台,6000万,财富海景花园  | 3室2厅 | 351.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7439cc26-fd8d-46cb-871b-e4466cebafb0.jpg.296x216.jpg
20190504,浦东,陆家嘴,12玥31号新推：高区看天鹅湖看江，大四房，业主诚售！,2790万,世茂滨江花园  | 4室2厅 | 303.15平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ad2a9666-a408-4bfe-baa7-57954edca8a7.jpeg.296x216.jpg
20190504,浦东,陆家嘴,此房满五唯一包车位，楼层好视野宽阔，配套设施齐,1850万,世茂滨江花园  | 3室2厅 | 206.06平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b0a526c5-7036-4f41-95f5-7d2e2193136c.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂5号楼09年次新房、方正H户型、看小区景观看天鹅湖,1570万,世茂滨江花园  | 2室2厅 | 147.39平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-63331b0f-92ca-442e-b003-e97b029c0fef.jpeg.296x216.jpg
20190504,浦东,陆家嘴,样板房全屋地暖附车位，主卧通透保养好观花园全景江景,2450万,财富海景花园  | 3室2厅 | 200.18平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dfb30567-56a4-4986-830d-0449e5e2fb61.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区朝南2房，采光佳，住家好选择  随时可看,1350万,世茂滨江花园  | 2室2厅 | 135.71平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b121133f-f0db-4c83-8b42-738b41c78590.jpeg.296x216.jpg
20190504,浦东,陆家嘴,中粮海景高区4个房间均观江景丨标准板式通透居家户型,7300万,中粮海景壹号  | 4室2厅 | 347.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0459e2ef-dcf1-4339-864d-f3884671b61c.jpeg.296x216.jpg
20190504,浦东,陆家嘴,罕见朝南户型观天鹅湖做坐拥黄浦江，有阳台，采光佳。,1300万,世茂滨江花园  | 2室2厅 | 139.02平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7a6b3d8e-6f46-4ffb-b793-0279025ed286.jpeg.296x216.jpg
20190504,浦东,陆家嘴,朝南两房满五年税费少   业主诚意出售有钥匙随时看,1350万,世茂滨江花园  | 2室2厅 | 131.3平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-16f28f32-b329-4c26-b590-c35c344a9b20.jpg.296x216.jpg
20190504,浦东,陆家嘴,罕见朝南户型观天鹅湖坐拥黄浦江！满五唯一税费少,1400万,世茂滨江花园  | 2室2厅 | 139.02平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1d5ec7ad-339e-49d3-b6fe-ab6c1ec54dd4.jpeg.296x216.jpg
20190504,浦东,陆家嘴,正看天鹅湖及南浦大桥、黄浦江景观，有钥匙，诚售！,1900万,世茂滨江花园  | 3室2厅 | 204.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-564d2461-7fbf-405c-89e4-31fbd41f2f85.jpg.296x216.jpg
20190504,浦东,陆家嘴,菊园 3室1厅 1150万,1150万,菊园  | 3室1厅 | 119.33平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d374a7e2-782b-4970-96d9-1d7a11c5b1ce.png.296x216.jpg
20190504,浦东,陆家嘴,盛大方正3房，业主诚意卖房，目前此户型总价便宜,2300万,盛大金磐  | 3室2厅 | 205.61平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-73a6275a-7ebe-4c5b-b8bb-4e5d4bc5697c.png.296x216.jpg
20190504,浦东,陆家嘴,复式，实际使用近200平，客厅挑高四房朝南。,1100万,天科苑  | 4室2厅 | 104.41平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8f3109a7-b739-4828-a986-d3b528b545fc.jpg.296x216.jpg
20190504,浦东,陆家嘴,小陆家嘴业主自住，精装4房，且看江景，预约看房,1648万,江临天下  | 4室2厅 | 197.07平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-662909d8-3327-4305-8cde-a7082e35ea84.jpeg.296x216.jpg
20190504,浦东,陆家嘴,繁华地段朝南三房，板式南北通采光好。,2300万,盛大金磐  | 3室2厅 | 194.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-787f7cef-2900-4517-aa56-b5ac2c90d96d.jpeg.296x216.jpg
20190504,浦东,陆家嘴,一线临江 陆家嘴铂金  从天际线到地平线  从北到南,5185万,财富海景花园  | 4室2厅 | 346.87平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9035d109-9b30-443d-8627-d180e3d2aef8.png.296x216.jpg
20190504,浦东,陆家嘴,看江景无遮挡，业主从未入住过，随时看房,1800万,滨江凯旋门  | 2室2厅 | 135.6平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3baf3b2b-c284-4f68-bfb9-8ad3221e7c73.jpg.296x216.jpg
20190504,浦东,陆家嘴,八佰伴地铁新装修 满五唯一 房东急卖看房方便,650万,天后宫大楼  | 3室1厅 | 95.4平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-526149ac-66e4-43fe-a035-da47fcdceb01.jpg.296x216.jpg
20190504,浦东,陆家嘴,正对小区花园 房子保养好 业主诚意出售 随时拎包入住,1070万,江临天下  | 2室2厅 | 116.85平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b4aeaf2b-3363-4bab-a5d2-db5ef9984407.jpeg.296x216.jpg
20190504,浦东,陆家嘴,高区全南户型，电梯入户，业主诚意出售，税费少,1300万,瑞苑公寓  | 3室2厅 | 181平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7fb676df-7a6d-42d9-9166-04b9a34ecabe.jpg.296x216.jpg
20190504,浦东,陆家嘴,一线天超高区   看江 看外滩 看金融城 看摩天大楼,4280万,财富海景花园  | 3室2厅 | 340平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cac02dce-393b-472d-a6e1-0967bd1f35f6.jpeg.296x216.jpg
20190504,浦东,陆家嘴,中粮海景壹号 4室3厅 5000万,5000万,中粮海景壹号  | 4室3厅 | 340.31平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b8f3e5b1-0e93-4ed4-bec7-0e0981b30c79.jpg.296x216.jpg
20190504,浦东,陆家嘴,主卧朝南+次新房+还未住过人+小陆家嘴,2400万,盛大金磐  | 3室2厅 | 264.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-07e70925-ee89-486e-add1-fdebbe890e62.png.296x216.jpg
20190504,浦东,陆家嘴,5号楼带地暖及阳台，两卧和客厅均看江，总价低大四房,2850万,世茂滨江花园  | 4室2厅 | 315.74平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4635c864-ea1f-4866-886e-0893e20924a5.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴，全南大两房，业主诚意出售，满五唯一税费少,1100万,江临天下  | 2室2厅 | 116.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7f8fff16-897d-4a8b-a9d5-8b369da8894e.jpg.296x216.jpg
20190504,浦东,陆家嘴,遥想百年沧桑 俯瞰现代繁华 汤臣壹品 一品再品房主自荐,8000万,汤臣一品  | 4室2厅 | 431.89平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-69abbec8-d1bd-4aef-8b08-5d8124aacc5e.png.296x216.jpg
20190504,浦东,陆家嘴,境外业主，一楼带花园，满五唯一，全南户型,1188万,菊园  | 4室2厅 | 142.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f288a90a-18c7-4a82-990a-a5ae271f3a07.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园三村 2室1厅 490万,490万,东园三村  | 2室1厅 | 56.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f2ccf886-39c4-4aa3-8930-09f8e60937ef.png.296x216.jpg
20190504,浦东,陆家嘴,经典三房 东南朝向 户型方正 中间楼层  安静采光好房主自荐,1229万,江临天下  | 3室2厅 | 135.37平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-01b52835-634d-4f52-9f50-f13268553f12.png.296x216.jpg
20190504,浦东,陆家嘴,正看天鹅湖，落地观景窗，税费少！,2500万,世茂滨江花园  | 3室2厅 | 335.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d8fe6ad8-9114-4705-ade8-63b2fd21cb53.jpg.296x216.jpg
20190504,浦东,陆家嘴,瑞苑公寓 3室2厅 1370万,1370万,瑞苑公寓  | 3室2厅 | 180平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b36cf5db-d935-493b-b589-cf801a3b57a7.jpg.296x216.jpg
20190504,浦东,陆家嘴,18年底业主斥资千万装修+全屋智能操控+满五唯一,4800万,财富海景花园  | 4室2厅 | 337.3平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-623bffaf-a932-45dc-9851-c8dd9ca29c61.jpg.296x216.jpg
20190504,浦东,陆家嘴,顶楼大平层     1号楼高区02户型 看陆家嘴3大建筑看江,6078万,财富海景花园  | 3室2厅 | 379.88平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-19c8ee1d-fccc-4610-8777-f59f564d149a.png.296x216.jpg
20190504,浦东,陆家嘴,一线前排，江景房，270弧形阳台,4600万,财富海景花园  | 3室2厅 | 355平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2be84da2-b301-402f-bd07-afbe68fa9eb7.png.296x216.jpg
20190504,浦东,陆家嘴,高区看整条S型江景！陆家嘴全景！房屋整体通风G户型！,1750万,世茂滨江花园  | 2室2厅 | 166.04平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7b1d633b-8e04-495a-8be0-f07ff3ca61f8.jpeg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴品质小区，经典两房，采光无遮挡，朝南户型,1060万,汇豪天下  | 2室2厅 | 107.95平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-354ed6e8-4821-44f5-a6c9-935fb5dcea19.jpg.296x216.jpg
