20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,上海未来临河视野开阔大三房，房型正气。,1150万,上海未来  | 3室2厅 | 140平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0f0b7938-c3d9-448f-a136-3c3862760f43.jpeg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 2室1厅 330万新上,330万,香山新村东南街坊  | 2室1厅 | 62.36平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-50abdcfe-b478-4344-8984-acceab3f31e5.png.296x216.jpg
20190504,浦东,金杨,精装修两年看房随时，诚意出售 2楼 采光无遮挡,235万,香山新村东北街坊  | 1室1厅 | 45.11平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a565eab8-12c3-48fe-9927-797a214187e5.png.296x216.jpg
20190504,浦东,金杨,动迁房，满五年，金杨大两房，舒适户型，厅大楼层好,355万,金杨七街坊  | 2室1厅 | 68.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fe7af56e-1dd6-43a5-86a7-99f41d7495aa.jpg.296x216.jpg
20190504,浦东,金杨,朝南电梯房，满五唯一，居家装修，可拎包入住。,360万,仙都绿苑  | 1室2厅 | 73.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5e4f13f3-8ae0-49b5-849a-3571305c6a5e.png.296x216.jpg
20190504,浦东,金杨,满五唯一+精装修+得房率高+采光好,1050万,金桥瑞仕花园  | 2室2厅 | 115.19平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-839fe541-6728-4ab0-9847-826f67b5501e.jpg.296x216.jpg
20190504,浦东,金杨,动迁房两房，无增值税，一个点的个税，看房随时,600万,始信北苑  | 2室2厅 | 71.85平米 | 西南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0e211faa-9c1e-4e1a-8d82-a57633418add.jpg.296x216.jpg
20190504,浦东,金杨,房东诚售，自住装修，满五唯一，边套全明户型。,530万,黄山新村  | 2室1厅 | 71.07平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6af095e4-e939-48d9-8f71-c5d6edee2a42.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东北街坊 1室1厅 355万房主自荐,355万,香山新村东北街坊  | 1室1厅 | 53.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a5fbf1a-0608-4adb-905a-3afac2cf5601.jpeg.296x216.jpg
20190504,浦东,金杨,小区中间位置，全明户型。高区楼层，,1070万,东方知音苑  | 3室2厅 | 125.87平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0e72aca6-6007-4130-ad7f-e764d56aafad.jpeg.296x216.jpg
20190504,浦东,金杨,俯瞰中间花园 视野开阔 客厅南北通透 全明双卫户型,730万,弘扬公寓  | 2室2厅 | 98.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-28e45add-dce2-4a28-bd01-1f65d4665ddf.jpg.296x216.jpg
20190504,浦东,金杨,香山东南街坊(一梯两户)全明两房朝南，一手动迁,325万,香山新村东南街坊  | 2室1厅 | 62.24平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cac8faa9-67b0-45ca-a62c-1e3d8a0b4f5d.jpg.296x216.jpg
20190504,浦东,金杨,新出 直套1房 厅可改大 满5年唯一 近地铁6+14号线,240万,香山新村东北街坊  | 1室1厅 | 46.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8b1b8e7c-cf68-47d5-97f4-22df1e75653e.jpg.296x216.jpg
20190504,浦东,金杨,遥想百年沧桑 俯瞰现代繁华 少有三复四 央座复式,1100万,住友名人花园  | 3室2厅 | 161.84平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc046c6c-fed3-44eb-bce7-ccdfcada9788.jpeg.296x216.jpg
20190504,浦东,金杨,满五年唯一，中间楼层，近地铁，房子税费少，减少支出,238万,罗山六村  | 1室1厅 | 51.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-01f4d13f-b90c-4410-8360-ba5fb70a8755.jpeg.296x216.jpg
20190504,浦东,金杨,双南两房 一梯两户 全明户型 产权清晰 诚意出售,370万,金杨一街坊  | 2室2厅 | 69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-249ef161-50da-4bef-b2c3-ea58351c9b26.jpg.296x216.jpg
20190504,浦东,金杨,2004年商品房，两南一北，双卫全明，满五唯一免个税,750万,昕泰苑  | 3室2厅 | 135.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e7196d30-9401-40bd-b94d-d95ac03c1721.png.296x216.jpg
20190504,浦东,金杨,小区央座，近建平，动迁税费少，非顶层双南两房,315万,栖山路1861弄  | 2室1厅 | 61.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cfa7d021-bbfd-4e1b-ab1d-45a10c6f51e4.jpeg.296x216.jpg
20190504,浦东,金杨,金桥瑞仕花园 2室2厅 1200万,1200万,金桥瑞仕花园  | 2室2厅 | 116.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7b88f90c-1c8d-440c-a332-cf94ef5fb3d4.png.296x216.jpg
20190504,浦东,金杨,{专属服务，精装修,中间楼层,中间位置，双南户型，},370万,罗山六村  | 2室1厅 | 67.77平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5bb76cda-a0b1-4761-8535-5643aac04811.jpg.296x216.jpg
20190504,浦东,金杨,紧靠内环，地铁口100米，大一房，中间楼层，价格可谈,270万,艾山新村  | 1室1厅 | 54.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8b10e06e-6fa9-454d-ba47-28bb51f49538.jpeg.296x216.jpg
20190504,浦东,金杨,03年商品房+精装大三房+南北通透+带有南北双阳台,900万,天虹苑  | 3室2厅 | 130.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-851c8902-7191-4713-9ba0-0418067ced38.jpeg.296x216.jpg
20190504,浦东,金杨,近地铁9号线蓝天路站，一楼带院子，居家装修拎包入住,295万,金杨新村五街坊  | 2室1厅 | 55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-28e8c464-3e10-4031-bb7b-5018c98c179c.png.296x216.jpg
20190504,浦东,金杨,满五年唯一  双阳台 价格低 看房方便 房东诚意出售,1050万,海德苑  | 3室2厅 | 147.45平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a14c7956-a987-4643-a23b-fb6b3c25644a.jpeg.296x216.jpg
20190504,浦东,金杨,金桥瑞仕花园  中楼层  高品质 房型正气 开发商样板房,1700万,金桥瑞仕花园  | 4室2厅 | 179.21平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cb3401b5-452f-4e2e-9f9a-be52ca4e0f9e.jpeg.296x216.jpg
20190504,浦东,金杨,有钥匙看房方便 双南 寒冷冬天给您温暖的阳光,1020万,金桥瑞仕花园  | 2室2厅 | 112.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-72d66b5d-9a91-4e61-98ad-ee449673010d.jpeg.296x216.jpg
20190504,浦东,金杨,附带8平米大阳台，中 心水景位置，税少带固定车位房主自荐,1035万,东方知音苑  | 3室2厅 | 123.77平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6d351473-c3a7-40b6-b3b7-da4529c76486.png.296x216.jpg
20190504,浦东,金杨,直套1房 近地铁6+9号线 空关钥匙房 满5年唯一 急售房主自荐,220万,香山新村东北街坊  | 1室1厅 | 46.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-810db97d-acec-433a-9b38-ca134912c289.jpeg.296x216.jpg
20190504,浦东,金杨,一梯两户 双南全明两房 产权清晰 楼层好 面积大,348万,金杨一街坊  | 2室1厅 | 67.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-41b578c7-6100-4a8b-84fe-0629a8c816ca.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁，户型方正，不靠马路，采光好，楼层好,580万,金樟花苑  | 3室1厅 | 92.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a997f2a-6b5c-40cc-8e28-25010d795c9f.jpg.296x216.jpg
20190504,浦东,金杨,有钥匙，满五唯一，交通便捷，看房方便。,290万,浦东大道2511弄  | 2室1厅 | 59.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1fb14715-04d2-49d0-87d3-4067ab58eb1a.jpg.296x216.jpg
20190504,浦东,金杨,香山东北街坊+2楼带露台+南北2房+有钥匙+房东诚意卖,290万,香山新村东北街坊  | 2室1厅 | 55.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-92e5c9a6-1b8d-4255-a070-b2d23682f774.jpeg.296x216.jpg
20190504,浦东,金杨,双南户型，房型房东改动过，房型好改！采光好！,338万,罗山六村  | 2室1厅 | 71.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f92899db-9b57-4dfe-8435-0d44184acbbc.png.296x216.jpg
20190504,浦东,金杨,南北通风两房，钥匙在手，看房随时。诚售,270万,香山新村东北街坊  | 2室1厅 | 58.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-95cd854c-8e53-472d-a244-91b924441c45.jpeg.296x216.jpg
20190504,浦东,金杨,05年次新房+精装修+双轨交通+拎包入住,830万,云山星座苑  | 2室2厅 | 94.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7f2fe1f6-88de-4a18-a143-45a5b8b6a551.jpg.296x216.jpg
20190504,浦东,金杨,2005年商品房，商圈成熟，视野可看东方明珠。,252万,仙都绿苑  | 1室1厅 | 54.61平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-51069a1b-1cca-41d1-a0cd-f1b2f08ec960.png.296x216.jpg
20190504,浦东,金杨,三房朝南改两室两厅，底楼带双天井，动迁少税,450万,香山新村西北街坊  | 2室2厅 | 81.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a97dae8-b20b-42ec-92aa-edc6f603b889.jpg.296x216.jpg
20190504,浦东,金杨,罗山二村 中间三楼，位置安静，不靠路 自住装修,235万,罗山二村  | 1室1厅 | 43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2950559c-6646-4188-8377-dad89a5e7498.png.296x216.jpg
20190504,浦东,金杨,陆家嘴新景园 2室2厅 640万,640万,陆家嘴新景园  | 2室2厅 | 85.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5b896b89-3431-4e27-9cfd-35e58149a02b.jpeg.296x216.jpg
20190504,浦东,金杨,小区中间位置+三楼位置+一梯两户+精装修一年,465万,金杨新村九街坊  | 2室2厅 | 79.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6f20ae7f-8953-4e61-90af-f23d610aa69f.jpg.296x216.jpg
20190504,浦东,金杨,一楼带天井，双天井，诚心出售。,300万,罗山四村  | 2室1厅 | 59.97平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19057543-720e-4d37-90f5-2ed4ce5703db.jpg.296x216.jpg
20190504,浦东,金杨,金杨五街坊，59.63平，南北套俩室一厅。自住装修,305万,金杨新村五街坊  | 2室1厅 | 59.58平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6673f908-ecdd-4b01-a9b2-7ea858873177.png.296x216.jpg
20190504,浦东,金杨,店长推荐+非顶楼满五唯一+模范小区+近地铁+精装三房房主自荐,420万,金杨二街坊  | 3室1厅 | 74.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c346a2d7-c81e-470a-bd44-b62fd3b6e7e6.jpg.296x216.jpg
20190504,浦东,金杨,寺前浜 2室1厅 350万,350万,寺前浜  | 2室1厅 | 66.62平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-054d14cb-4fa4-4e5d-b83a-0719176f4acf.png.296x216.jpg
20190504,浦东,金杨,双南两房，一梯两户，中上装修，中间楼层,360万,香山新村西南街坊  | 2室1厅 | 65.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1cc7c49f-b9ef-4e14-bbf8-a2f904ef606c.jpg.296x216.jpg
20190504,浦东,金杨,复式结构，楼上带大露台，采光充足，看房方便。,660万,黄山始信苑  | 3室1厅 | 92.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c157cf53-8c0d-4475-ad90-9c98b9eda3bd.jpg.296x216.jpg
