20190504,长宁,天山,仁恒一期大平层，看小区景观，带产权车位，看房有钥匙,1750万,中楼层(共26层)                                                    | 2004年建 |                                 4室2厅 | 213.2平米                                  | 西北 北,https://ke-image.ljcdn.com/310000-inspection/prod-edc81d42-ae28-4d9d-8eea-ef195be1a309.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,飞机户型+精装修+近地铁+出行方便+满五唯一,960万,高楼层(共15层)                                                    | 2002年建 |                                 3室2厅 | 119.56平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-854959b2-7758-4938-9a1c-58908a26a72c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,位置好，业主诚意出售，买进价高，税少，看房方便,720万,低楼层(共18层)                                                    | 2006年建 |                                 2室1厅 | 76.78平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/03ceebda-fc58-44a1-81e4-013183c84fef.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新天地河滨花园 2室2厅 南,808万,中楼层(共26层)                                                    | 2011年建 |                                 2室2厅 | 85.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a0976d83-ed09-47b8-865f-141fef130315.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,09年新小区，天山板块，缤谷广场，威宁路站，精装一房,410万,低楼层(共12层)                                                    | 2009年建 |                                 1室1厅 | 52.76平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-58626778-498d-48f7-8331-a3d719504509.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,业主诚意 南北板式两房 朝南看小区花园,810万,低楼层(共18层)                                                    | 2009年建 |                                 2室2厅 | 93.18平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-aa261cc7-f3cf-45f0-95fc-87ad827e44f2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山河畔花园 2室2厅 南,880万,低楼层(共26层)                                                    | 2008年建 |                                 2室2厅 | 101.68平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-df6179dc-3108-4257-8c88-bed9943e933f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,房子保养很好，和开发商交房时差不多，诚意售房,1470万,低楼层(共25层)                                                    | 2005年建 |                                 3室2厅 | 163.1平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-4e6707b6-794a-4f5e-a9c8-095bbd2e89dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,12年次新房+南北通透+价格美丽+中区楼层+采光好视野好,1270万,低楼层(共34层)                                                    | 2011年建 |                                 3室2厅 | 144.75平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/174f86d6-2cc6-4d04-82bf-2f011b1c1c27.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,婚房装修+户型全明+配套完善+满五唯一（无个税）,390万,高楼层(共6层)                                                    | 1998年建 |                                 1室2厅 | 55.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7c53c36b-24ab-4f08-bb18-10f428cfce1a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,业主诚意出售，总价低+近地铁+出行方便,689万,低楼层(共18层)                                                    | 2009年建 |                                 2室2厅 | 79.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-76521c85-f553-4902-907c-2408eae829ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,带30平花园，南北通风板式户型，方便看房,880万,低楼层(共12层)                                                    | 2002年建 |                                 3室2厅 | 127.92平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-edbaf655-99f9-4a3e-9430-25e55395d56d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,07年园林小区+中间位置+满五唯一税少+双会所+有车位,1160万,高楼层(共24层)                                                    | 2005年建 |                                 3室2厅 | 140.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-9d427ec9-68b8-4727-970e-bcf27225c0f0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,地铁口南北通两房  业主诚售 满五年唯一新上,785万,中楼层(共11层)                                                    | 2005年建 |                                 2室2厅 | 91.35平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/c521d898-b171-4a56-a9d6-90ba36cf2b39.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新挂牌，楼层好，总高6楼的三楼！,220万,中楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 43.55平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-58bda7bb-afc6-4019-82f7-ae314fe541b5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一可以省税，业主诚意出售,305万,低楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 65.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/cffde554-03a4-4951-9c4a-71e041ee849f..jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,全明户型+房东诚意出售+近威宁路地铁,910万,高楼层(共12层)                                                    | 2002年建 |                                 3室2厅 | 113.27平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-10e4d37b-5d31-4eb5-bd56-d2223d2d7237.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,近地铁+房型正+房东诚意出售+看房方便,480万,高楼层(共14层)                                                    | 2008年建 |                                 1室1厅 | 51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f8c23474-3e71-4d06-945f-f83461dc2b0f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年唯一    税少    带产权车位,1330万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 143.48平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171031/9752c5b0-3c4f-424c-89d7-197cc2fe513e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一没有个税，2号线地铁，诚意出售，看房方便,610万,低楼层(共10层)                                                    | 2007年建 |                                 2室2厅 | 81.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8867c040-f050-45cc-b466-21109192bab8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区会所位置，唯一税费少，全南采光好，出价就卖,860万,低楼层(共24层)                                                    | 2006年建 |                                 2室2厅 | 104.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1a3d76a7-89a5-4108-809f-12eca4cdf6fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号线地铁200米、顶楼附带大露台、精装修、看房方便。,1320万,高楼层(共24层)                                                    | 2005年建 |                                 4室2厅 | 172.68平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-52e9e28e-6955-4cd9-8f03-5a78d3df6300.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区花园位置；南北通透；全明户型；全新诚意出售,788万,低楼层(共20层)                                                    | 2009年建 |                                 2室2厅 | 90.01平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-7f9f070d-5e7a-49c8-9b81-821cd1cc2ef2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,标杆楼盘，业主诚意出售，房子五年了，就一套,1570万,低楼层(共25层)                                                    | 2004年建 |                                 3室2厅 | 179.24平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/4b83b694-a6c3-4253-9887-ee4fb7ff92b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,婚房装修，地铁近，安静环境好，中间位置，动迁不唯一,730万,中楼层(共13层)                                                    | 2009年建 |                                 2室2厅 | 83.61平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-294df280-edb6-4a57-9a19-bce7bb1eb6c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年唯一，房东诚意出售，采光没有任何遮挡,200万,高楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 43.29平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170702/044fb66d-0497-4dcf-905f-eb93c1150e0c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,全南户型，位置好不靠马路，业主诚意出售,745万,低楼层(共19层)                                                    | 2009年建 |                                 2室2厅 | 78.81平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b6178c2f-68d8-4d9d-9dd4-fbf739150d3c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,地铁口，电梯大2房，中高区，阳光无遮挡，诚意出售。,665万,中楼层(共18层)                                                    | 1999年建 |                                 2室2厅 | 106.02平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-aa0bc6c0-6e04-40f6-abb2-ecd3a8700a6a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区位置好，全南户型采光无遮挡，诚意出售,820万,中楼层(共17层)                                                    | 2009年建 |                                 2室2厅 | 89.3平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/af11987c-b473-4ef2-97a7-c60cd698bb98.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号线地铁200米、五年唯一税少、视野开阔、百平大露台,1330万,高楼层(共24层)                                                    | 2005年建 |                                 3室2厅 | 155.22平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8854f0c8-1258-4a6e-9c09-0fa7f991e3b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一楼带花园，采光无遮挡，诚意出售，全南户型,820万,低楼层(共26层)                                                    | 2007年建 |                                 2室2厅 | 98.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0e0ed416-d100-48b5-9eda-a47cdd97befe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,特殊户型，一房南北通，满五唯一税费低，业主诚意出售,550万,低楼层(共17层)                                                    | 2009年建 |                                 1室2厅 | 68.15平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-071fb943-8b43-4d5a-8497-7dee16cc67cb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2房朝南，高区，满五年，到价签字，近地铁,858万,高楼层(共27层)                                                    | 2005年建 |                                 2室2厅 | 105.03平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/2014/0707/C4B7FD47C57E45C29416470E81251C11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新鲜全明方正2房，不靠马路，保养好，到价就卖,870万,高楼层(共26层)                                                    | 2008年建 |                                 2室2厅 | 102.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b67f6f46-f216-4a89-8a7d-52086184f292.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2012年次新房，业主诚意出售，看房方便,729万,高楼层(共30层)                                                    | 2012年建 |                                 1室2厅 | 75.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-401172ee-8483-41be-a0f7-91d218f3ba8f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒河滨花园 2室2厅 东北,839万,低楼层(共27层)                                                    | 2005年建 |                                 2室2厅 | 84.84平米                                  | 东北,https://ke-image.ljcdn.com/310000-inspection/prod-256f0157-fdb8-41ad-a7f4-66690a825bb1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,户型方正，楼层好，小区位置安静，业主急售。,1200万,中楼层(共18层)                                                    | 2004年建 |                                 3室2厅 | 161.39平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/4cf94371-07a5-4690-b5d4-7e2a38b51a48.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,07年次新园林小区+中间位置+100平露台+双会所产权车位,1272万,高楼层(共24层)                                                    | 2005年建 |                                 3室2厅 | 155.22平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-3b99701b-cd95-4801-929a-e49040de43b1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年唯一，朝南大一房，精装修,625万,低楼层(共18层)                                                    | 2007年建 |                                 1室2厅 | 83.98平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-ecb782fc-ca30-4e43-980d-baf16a6bc16c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,《满五含车位，南北通透格局好》《私家花园，隐私好》,1100万,低楼层(共26层)                                                    | 2008年建 |                                 3室2厅 | 139.18平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-57f1fb75-ef30-4f1c-bf32-70d42e2620af.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2012年次新房 满五唯一 高区精装两房 总价低 可看房,750万,高楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 71.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-332690b9-a06d-4a6c-a793-8803fd98011d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区房龄新 户型正气 位置安静 视野采光好,870万,低楼层(共17层)                                                    | 2009年建 |                                 2室2厅 | 103.02平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/d61b0107-e833-46b8-96a9-02a631d0ee77.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,正气大四房 南北错通 层高3.25米 居住舒适,2220万,低楼层(共31层)                                                    | 2006年建 |                                 4室2厅 | 252.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cd4e5e87-58ff-418c-adf0-bc4b4fd2d2ed.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,《满五唯一》《距地铁口750米》，自住保养好,268万,高楼层(共18层)                                                    | 1999年建 |                                 1室1厅 | 43.6平米                                  | 北,https://ke-image.ljcdn.com/shfdfs-image/20161106/ab87e466-ffbe-4358-bd6c-72863f65bae8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,地铁口精装1房  高层  看房方便  诚意出售,480万,高楼层(共16层)                                                    | 2005年建 |                                 1室1厅 | 47.78平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a88b8f69-ac02-40b0-9d02-b00bcc7812de.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一梯一户，刷卡到户，小高层，得房率高，业主诚意出售,1215万,低楼层(共11层)                                                    | 2009年建 |                                 3室2厅 | 147平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_uploade2048f89-862c-409d-aa33-ccd7ba4df4d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区人车分流 自带会所室内外泳池  房型正气紧凑,1470万,中楼层(共27层)                                                    | 2005年建 |                                 4室2厅 | 151.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-030ba07c-e0e7-43e1-8099-1b2e53fcc733.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满两年买进价517万，差额增值税比较少，一楼带花园,750万,低楼层(共6层)                                                    | 1998年建 |                                 3室1厅 | 113.17平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/328991e1-e7c1-4b80-b515-f959e4e5900b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一 四房 新装修 视野开阔 境外房东诚意出售,2222万,中楼层(共32层)                                                    | 2006年建 |                                 4室2厅 | 228.44平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-8f9ffbfb-0356-48f0-b6f5-018a09a58366.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,房子是小区二期07年的，精致三房 户型好,970万,高楼层(共8层)                                                    | 2007年建 |                                 3室2厅 | 133.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e5cb09e1-ab5d-4087-bbb3-cfb2b02a67e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山板块，高区楼层，自住装修，诚意出售,588万,高楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 93.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-50fb46b1-97b7-4930-a317-cfa7b438071f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,外销房，建造材质好，房型好，空间很大自住舒服，好看,970万,中楼层(共5层)                                                    | 2001年建 |                                 3室2厅 | 133.48平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170430/f24db554-56c1-4e6d-a0b1-74b6f57b280f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一，精致小户型！房子保养很好，拎包即可入住！,388万,高楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 57.23平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-3717a24d-bdbd-4020-b7ee-8bd5ea2d9211.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山板块第 一批外销房，毛坯交付，户型可随心改动,920万,低楼层(共33层)                                                    | 2002年建 |                                 3室2厅 | 133.37平米                                  | 西南,https://ke-image.ljcdn.com/shfdfs-image/20160618/444a4ddd-af67-41da-8ef4-70d3544508d4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,板式结构，一梯两户，电梯房，业主诚意出售,720万,中楼层(共7层)                                                    | 1999年建 |                                 2室2厅 | 103.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8902ef7d-e16d-4911-9e8c-b5de1d00b42b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,品质商品房，房东自住，小区旁边的菜场已被政府征收,640万,中楼层(共18层)                                                    | 1999年建 |                                 2室2厅 | 101平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-afc80ff1-3a20-4f7d-9bc3-eb1ee3dd0ac3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房满5年唯一   个税免征 带一个20平花园,595万,低楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 80平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/6e732cee-843d-458e-bd25-a7be801d4549.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一，税少，精装修，带地暖，拎包入住，闹中取静,830万,高楼层(共15层)                                                    | 2009年建 |                                 2室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/6e8b277b-36bd-4d14-87e3-54fe542ed44b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,房东急售 正气精致小一房 采光充足  自住装修保养好,725万,高楼层(共26层)                                                    | 2011年建 |                                 1室2厅 | 74.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9373498b-1982-4104-b29b-ff3d1c42e305.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,两房朝南，售后公房，采光充足，交通便利，诚意出售。,296万,高楼层(共6层)                                                    | 1982年建 |                                 2室0厅 | 48.38平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171221/6b08c444-d884-492e-96b7-88663fb396dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新出笋盘 业主上门挂牌 带高租约  诚意出售,610万,低楼层(共19层)                                                    | 2009年建 |                                 1室2厅 | 62.01平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20141203/0e41dfab-da09-4457-bf9b-6134b9b2cdad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一期高区大平层，看小区花园景观，满五唯一，诚意急售,1835万,高楼层(共21层)                                                    | 2004年建 |                                 4室2厅 | 213平米                                  | 西,https://ke-image.ljcdn.com/310000-inspection/prod-657b6350-9dbf-46b2-b954-aef941dd8d16.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年，南北朝向。采光好，带产权车位。,1000万,中楼层(共18层)                                                    | 2004年建 |                                 3室2厅 | 153平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-12ddc223-8422-40be-95c0-bdbf41058fce.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号线威宁路站+品质小区+高区景观房+配套成熟+税低,500万,高楼层(共12层)                                                    | 2006年建 |                                 1室1厅 | 51.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8aac9798-8eab-4989-9349-498eeba2ecc5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,精致小2房，房东诚意出售，看房方便！,380万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 71.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b4f0176b-520e-4e1e-9dac-0914de99b5de.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,原开发商保留房，大四户型，楼间距近百米采无光挡,1780万,低楼层(共28层)                                                    | 2007年建 |                                 4室2厅 | 226.24平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170408/60eb181d-c5a1-46f3-88fa-4aeedde8c170.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五唯一，税费少，户型方正，房东诚售。,880万,高楼层(共19层)                                                    | 2000年建 |                                 3室2厅 | 141.46平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-7dcf6a31-86aa-41ac-8828-ab304a4dbc50.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五自住保养好，会所位置景观好，2南2北户型好+急售,1320万,高楼层(共28层)                                                    | 2005年建 |                                 4室2厅 | 158平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a67d7042-a129-4804-ae3c-5671b68d2f13.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山新苑  少有的电梯房    带16.2平米的转角大阳台,840万,中楼层(共8层)                                                    | 1999年建 |                                 2室2厅 | 109.05平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/9adfd850-e9ee-48f4-a9c5-87b2b409c176.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一楼带花园、精致小三房，户型方正,510万,低楼层(共5层)                                                    | 1998年建 |                                 3室1厅 | 89.3平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20161230/57c29967-cf07-4e81-95d2-9f3c100b9f7b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,衡辰公寓 1室1厅 南,415万,中楼层(共18层)                                                    | 2007年建 |                                 1室1厅 | 57.73平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fd22b0f6-c120-4d5b-b2f3-93787a5bde85.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,中高区 双南房型   精装修  诚意出售 装修2年多的时间,720万,中楼层(共19层)                                                    | 2004年建 |                                 2室2厅 | 88.12平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/014e8b8f-ee26-4b42-bd66-df8c0bc45c8f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,成熟地段，威宁路地铁站，视野好采光棒，随时看房,570万,中楼层(共20层)                                                    | 1996年建 |                                 2室2厅 | 93.11平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-c83f0aef-2f73-4985-b0fd-610faac32a27.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,楼层好，采光充足，房东诚意出售,360万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 71.82平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170316/f8797c92-53d5-4b2f-aaef-1cc0a7157fa6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
